Broodmother,3.3745,56.3228,34304
Templar Assassin,2.8149,51.5509,64154
Visage,2.555,46.9567,18664
Phantom Lancer,2.3119,45.0454,86304
Arc Warden,2.2753,50.762,28738
Tinker,2.2714,49.1982,92544
Elder Titan,1.8639,44.7616,23080
Silencer,1.8575,42.7338,90949
Spectre,1.7735,38.5209,89707
Nature's Prophet,1.7665,52.5453,86805
Tidehunter,1.7616,45.278,49609
Beastmaster,1.7516,51.3363,19419
Puck,1.7344,53.0942,55927
Weaver,1.7152,44.7227,108902
Winter Wyvern,1.7066,46.1648,37039
Earth Spirit,1.6656,53.2757,32298
Oracle,1.5482,54.3605,20261
Phoenix,1.5103,46.2436,31334
Naga Siren,1.5018,51.7839,23656
Abaddon,1.3905,41.1205,41675
Warlock,1.3362,43.0655,36470
Kunkka,1.2778,47.3728,112024
Enigma,1.25,44.2911,58856
Zeus,1.2299,38.5332,101424
Centaur Warrunner,1.228,40.3175,51903
Pugna,1.1822,47.1003,55783
Undying,1.1598,43.8172,37613
Lycan,1.143,47.6919,34314
Io,1.1117,58.6628,20103
Faceless Void,1.091,45.6469,121857
Clockwerk,1.0781,44.0417,50770
Ember Spirit,1.078,48.9707,69611
Magnus,1.0698,50.572,70978
Techies,1.0589,46.678,38817
Riki,0.9838,40.3472,143799
Shadow Demon,0.9551,49.2581,24601
Brewmaster,0.942,44.6266,22314
Wraith King,0.9348,38.8799,121124
Underlord,0.8314,38.765,32163
Bane,0.8182,48.7998,28246
Earthshaker,0.7889,43.8294,184415
Medusa,0.7217,48.6414,56310
Treant Protector,0.6886,44.4014,37456
Sven,0.6193,41.6883,176330
Chaos Knight,0.5553,39.3675,87562
Doom,0.5484,48.8112,42988
Chen,0.5468,52.129,11625
Enchantress,0.5123,50.4455,35010
Meepo,0.5112,49.2404,44766
Venomancer,0.4354,42.3468,104010
Bristleback,0.4258,45.7479,121846
Shadow Shaman,0.4207,40.8441,104441
Invoker,0.4052,46.4586,285764
Dark Seer,0.3902,47.4226,26093
Clinkz,0.3552,45.0609,90260
Rubick,0.352,48.5769,81022
Razor,0.3482,47.9929,44792
Windranger,0.3044,44.9673,147309
Jakiro,0.3017,41.0979,58419
Lion,0.2842,46.747,97172
Mirana,0.2623,43.3258,154776
Outworld Devourer,0.2535,46.3285,70831
Tusk,0.2263,51.758,43742
Sand King,0.1903,45.1938,89094
Witch Doctor,0.1786,44.147,63216
Vengeful Spirit,0.1388,41.6888,64317
Nyx Assassin,0.1094,44.5089,71462
Luna,0.0989,42.6846,101608
Night Stalker,0.0859,44.5332,52810
Gyrocopter,0.0795,47.4771,37022
Anti-Mage,0.0771,44.6915,208046
Disruptor,0.0516,44.57,50415
Storm Spirit,0.0467,46.2669,76640
Dragon Knight,0.035,44.1126,68622
Juggernaut,0.0154,46.0222,187277
Queen of Pain,0.0064,49.9537,76833
Lich,-0.0024,40.0074,67195
Sniper,-0.0268,42.8545,283060
Death Prophet,-0.0288,47.6528,42499
Pudge,-0.0412,42.1911,300710
Tiny,-0.0594,47.7422,78197
Lina,-0.0638,48.6407,95753
Bounty Hunter,-0.0694,44.8738,89823
Batrider,-0.1011,51.1169,25248
Omniknight,-0.1614,39.4877,56848
Lone Druid,-0.1772,54.77,24528
Spirit Breaker,-0.1829,38.117,149529
Terrorblade,-0.203,44.6372,49378
Keeper of the Light,-0.2115,45.3312,55690
Necrophos,-0.2331,37.5645,221275
Axe,-0.3415,41.1467,169768
Ogre Magi,-0.3466,41.7431,87794
Skywrath Mage,-0.3635,42.6685,65144
Drow Ranger,-0.4688,42.1782,114258
Dazzle,-0.5202,43.4303,48671
Leshrac,-0.5265,47.6959,22786
Slardar,-0.5272,42.7709,97178
Legion Commander,-0.5843,45.06,221418
Bloodseeker,-0.6163,40.2176,218287
Ursa,-0.6208,39.9026,114391
Crystal Maiden,-0.6638,39.1574,108743
Shadow Fiend,-0.6796,45.5289,165229
Phantom Assassin,-0.7792,39.7665,288318
Huskar,-1.0548,45.0599,94543
Monkey King,-1.157,45.5871,147026
Troll Warlord,-1.1711,40.5418,128815
Lifestealer,-1.4618,45.8921,84849
Morphling,-1.5074,46.1534,65371
Ancient Apparition,-1.5289,39.7488,135868
Slark,-1.7027,44.6978,144676
Timbersaw,-1.8019,45.9385,73472
Viper,-1.9694,41.0498,141282
