Huskar,4.1193,58.159,83999
Dazzle,3.051,55.0895,53954
Necrophos,3.0274,48.758,215101
Bristleback,2.8909,56.1625,85598
Alchemist,2.0818,60.252,135748
Axe,1.7738,51.2342,111564
Omniknight,1.719,49.5141,48471
Dragon Knight,1.3759,53.5281,45023
Winter Wyvern,1.2704,53.7885,33364
Timbersaw,1.2699,57.0233,50076
Undying,1.2626,52.0385,29384
Slark,1.2571,55.57,102298
Morphling,1.1611,56.907,73230
Monkey King,0.971,55.6397,107177
Underlord,0.9003,46.9945,27167
Dark Seer,0.8926,55.9659,20089
Sand King,0.826,53.8664,72689
Death Prophet,0.8237,56.5132,29340
Warlock,0.7591,50.5858,31151
Witch Doctor,0.7355,52.7722,54089
Legion Commander,0.7329,54.3229,143422
Lifestealer,0.709,56.0602,57679
Tidehunter,0.594,52.179,39307
Abaddon,0.557,48.4299,38439
Disruptor,0.486,53.0602,51319
Crystal Maiden,0.4724,48.3961,94615
Slardar,0.466,51.8338,65218
Techies,0.4551,54.1026,23899
Venomancer,0.295,50.3092,94251
Lich,0.2771,48.3957,63237
Shadow Fiend,0.2608,54.4555,110323
Bloodseeker,0.1441,48.9985,153172
Sven,0.1407,49.3167,107065
Keeper of the Light,0.0994,53.6916,51766
Treant Protector,0.067,51.8631,29628
Earthshaker,0.0446,51.1935,160448
Chen,0.0441,59.5786,9067
Troll Warlord,0.0379,49.8223,82736
Jakiro,0.0347,48.9336,52330
Outworld Devourer,0.0079,54.1262,48409
Medusa,-0.1619,55.7599,38603
Enigma,-0.1694,50.9686,40880
Gyrocopter,-0.1761,55.2321,23881
Spectre,-0.1772,44.8004,68872
Invoker,-0.1964,53.9535,199883
Pudge,-0.2066,50.1334,243624
Ogre Magi,-0.2359,49.9501,77205
Doom,-0.2558,56.0197,33963
Pugna,-0.3357,53.6226,50723
Razor,-0.3521,55.2857,28454
Kunkka,-0.3798,53.7909,92166
Elder Titan,-0.4652,50.4932,17739
Ursa,-0.4939,48.2082,65188
Io,-0.5369,64.9104,17310
Wraith King,-0.5439,45.6086,79338
Sniper,-0.5476,50.4233,178572
Vengeful Spirit,-0.5563,49.122,49434
Lion,-0.5681,53.9319,81206
Tusk,-0.5767,58.8879,31599
Clockwerk,-0.5769,50.4663,46209
Tiny,-0.6001,55.2137,51585
Viper,-0.6189,50.4175,99148
Leshrac,-0.6542,55.5795,16184
Phoenix,-0.6553,52.1169,28697
Luna,-0.6828,50.0164,66760
Tinker,-0.7025,54.2819,66313
Centaur Warrunner,-0.7329,46.5175,40359
Bane,-0.7333,55.246,22760
Mirana,-0.7382,50.4562,128111
Bounty Hunter,-0.7517,52.258,64369
Faceless Void,-0.7603,51.9126,90818
Shadow Shaman,-0.7785,47.796,89137
Batrider,-0.8149,58.3621,19660
Rubick,-0.8218,55.4133,85631
Oracle,-0.8481,60.0979,24906
Puck,-0.8552,58.4527,45642
Terrorblade,-0.8738,52.0482,33175
Spirit Breaker,-0.8897,45.5852,112440
Juggernaut,-0.9232,53.1763,127346
Silencer,-0.9288,48.1085,85384
Lina,-0.9354,55.7756,72494
Nyx Assassin,-0.9508,51.5257,66295
Magnus,-0.9697,56.5177,53017
Enchantress,-1.0016,56.8743,24635
Phantom Assassin,-1.0292,47.5537,176348
Windranger,-1.0454,51.7338,111140
Drow Ranger,-1.0594,49.6913,69974
Queen of Pain,-1.0707,56.8551,59882
Zeus,-1.1251,44.397,79253
Night Stalker,-1.1991,51.3249,39359
Meepo,-1.217,55.4761,29665
Riki,-1.2379,46.3476,98853
Templar Assassin,-1.2941,55.4201,42656
Skywrath Mage,-1.3837,49.7444,53413
Shadow Demon,-1.4288,54.861,20942
Naga Siren,-1.5242,56.614,14560
Chaos Knight,-1.6746,45.347,54202
Ember Spirit,-1.776,54.1444,53819
Earth Spirit,-1.9142,57.6497,29903
Lone Druid,-2.0929,60.6614,16752
Weaver,-2.1362,49.054,78440
Broodmother,-2.1987,58.5065,21989
Storm Spirit,-2.2053,52.0761,59342
Visage,-2.2238,50.1499,15336
Lycan,-2.3137,52.2187,21521
Nature's Prophet,-2.4529,56.3421,65010
Arc Warden,-2.6187,53.7922,21979
Phantom Lancer,-2.6925,48.1939,54511
Brewmaster,-2.8345,48.8844,15688
Beastmaster,-3.3646,54.0943,14349
Clinkz,-3.4819,49.3445,58894
Anti-Mage,-5.3616,47.6869,132573
