Zeus,5.7241,47.5492,322390
Wraith King,5.2789,47.5726,436694
Clockwerk,5.2489,53.7555,132336
Ancient Apparition,5.0149,52.3106,132734
Spectre,4.5012,45.5582,284359
Abaddon,3.9788,48.788,99592
Venomancer,3.3226,50.3836,295602
Phoenix,3.2453,53.6182,81974
Undying,3.2028,51.263,86177
Underlord,3.0199,45.7078,81393
Pugna,2.7871,54.4856,160745
Lich,2.7442,47.6355,195877
Techies,2.6103,54.0561,109353
Phantom Lancer,2.6047,50.6276,249913
Necrophos,2.5968,44.6186,655125
Storm Spirit,2.4356,54.6234,281793
Winter Wyvern,2.4192,52.4241,102489
Medusa,2.1305,56.4734,189420
Sniper,2.125,49.9697,867165
Slark,2.1086,54.2204,426529
Tinker,1.9378,54.8358,293928
Morphling,1.9059,55.7749,204531
Brewmaster,1.7734,50.879,51304
Elder Titan,1.6328,49.7923,57557
Warlock,1.5287,48.348,95826
Jakiro,1.5211,47.2247,171897
Weaver,1.5077,49.7698,308777
Dark Seer,1.4797,54.3958,68656
Tidehunter,1.4643,50.3072,124656
Silencer,1.3785,47.0692,319457
Pudge,1.3778,48.4998,919591
Juggernaut,1.3395,52.969,598797
Faceless Void,1.2928,51.3349,405870
Skywrath Mage,1.2443,49.4841,205587
Ember Spirit,1.1963,55.0465,190684
Arc Warden,1.1112,55.6173,76913
Chaos Knight,1.0856,44.4863,233386
Sand King,1.0227,51.5275,253614
Bristleback,1.0058,51.8578,327314
Bounty Hunter,0.9881,51.4156,242249
Nyx Assassin,0.8792,50.6719,205593
Viper,0.8414,48.9284,388048
Centaur Warrunner,0.8221,44.6059,130328
Mirana,0.8211,49.0242,495924
Enigma,0.777,49.0174,164933
Keeper of the Light,0.765,51.9027,178106
Razor,0.6553,54.1306,104791
Ogre Magi,0.6539,47.7417,268325
Leshrac,0.5822,54.8078,57625
Visage,0.4827,50.2032,47475
Nature's Prophet,0.4652,57.6671,241042
Witch Doctor,0.456,49.7355,174495
Lifestealer,0.3956,53.5468,213051
Omniknight,0.389,44.7625,147172
Doom,0.3314,54.5801,116863
Gyrocopter,0.2052,53.3859,86755
Invoker,0.1308,51.8131,984945
Vengeful Spirit,0.0478,46.5311,172807
Treant Protector,-0.086,48.8628,97088
Death Prophet,-0.1358,53.3731,112358
Luna,-0.2261,47.4035,289512
Naga Siren,-0.2331,56.1702,55711
Earthshaker,-0.3967,47.8107,590618
Crystal Maiden,-0.4323,43.9421,334276
Timbersaw,-0.4339,53.0977,170316
Oracle,-0.4526,58.7608,54167
Queen of Pain,-0.4573,55.7214,240182
Dazzle,-0.4594,48.7285,135323
Dragon Knight,-0.4703,48.8869,172858
Disruptor,-0.5396,49.2695,179543
Riki,-0.5491,43.3643,430605
Tusk,-0.5546,57.2916,111559
Puck,-0.6115,57.1908,175334
Ursa,-0.7034,44.6295,250890
Windranger,-0.7666,49.2644,436682
Shadow Fiend,-0.7774,51.0133,482068
Batrider,-0.7939,56.6384,64262
Kunkka,-0.8166,50.8766,321395
Beastmaster,-0.8308,54.6205,44053
Night Stalker,-0.8414,48.8961,136980
Spirit Breaker,-0.8442,41.8237,454323
Magnus,-0.9107,54.6739,201522
Rubick,-0.9362,53.1743,285147
Alchemist,-0.9386,55.3084,208046
Bane,-1.0729,52.6612,75997
Lion,-1.0761,51.0057,318323
Lina,-1.0826,53.5666,277249
Shadow Shaman,-1.1316,43.9047,337674
Lycan,-1.1976,50.8692,80125
Sven,-1.253,44.5739,578710
Earth Spirit,-1.256,56.7562,103601
Enchantress,-1.3596,54.5446,86773
Chen,-1.509,56.224,28904
Axe,-1.6291,44.6741,497185
Bloodseeker,-1.883,43.4922,965201
Slardar,-1.9262,46.4126,271355
Drow Ranger,-2.0951,45.4555,346312
Clinkz,-2.1029,47.8609,254009
Shadow Demon,-2.1427,51.9926,80394
Huskar,-2.2063,49.3629,258791
Monkey King,-2.2864,50.0418,423132
Broodmother,-2.5212,56.5016,73927
Tiny,-2.5446,50.9329,203285
Terrorblade,-2.7117,47.2736,153830
Troll Warlord,-2.76,43.6644,375743
Templar Assassin,-2.8409,51.6776,173040
Lone Druid,-2.9675,58.5452,60946
Outworld Devourer,-3.149,48.2979,205226
Io,-3.2697,61.0519,50385
Phantom Assassin,-3.4703,41.8709,933793
Legion Commander,-3.6363,47.5643,788057
Meepo,-6.9577,47.1683,140026
