Ancient Apparition,4.851,48.129,1550
Venomancer,4.1564,47.482,3336
Winter Wyvern,4.0422,49.7761,1117
Phoenix,3.3543,49.2172,1022
Rubick,3.1365,52.3259,2859
Lion,2.8854,50.4432,3271
Viper,2.8085,47.1273,3777
Necrophos,2.7173,42.0651,6043
Techies,2.6454,49.6432,981
Mirana,2.5417,46.8591,4537
Outworld Devourer,2.4789,49.834,1808
Oracle,2.2641,55.7422,714
Visage,1.8797,48.0645,620
Spectre,1.868,40.4975,2452
Silencer,1.8158,44.2176,2646
Disruptor,1.6364,47.3478,1791
Underlord,1.5874,41.0638,940
Shadow Shaman,1.5563,43.707,3059
Windranger,1.5229,47.3577,4447
Drow Ranger,1.4044,45.4878,3003
Clockwerk,1.3293,45.5984,1579
Zeus,1.3049,40.5462,2856
Earthshaker,1.2998,45.7315,5974
Shadow Fiend,1.2113,48.5767,4286
Keeper of the Light,1.1768,48.0519,2002
Enchantress,1.1665,52.1016,1023
Ember Spirit,1.0636,50.2876,2086
Sven,0.9373,43.8255,4470
Invoker,0.9179,48.2742,8547
Vengeful Spirit,0.8678,44.0574,1809
Warlock,0.8615,44.2067,1122
Death Prophet,0.8597,49.7335,1126
Dazzle,0.822,46.0961,1601
Skywrath Mage,0.792,45.3529,1969
Pudge,0.7503,44.4417,8168
Sniper,0.6768,44.8928,7137
Puck,0.6308,52.932,1927
Crystal Maiden,0.613,41.7648,3479
Lifestealer,0.5281,49.2491,2264
Ogre Magi,0.5245,44.0647,2780
Dark Seer,0.5214,48.7303,827
Earth Spirit,0.5092,53.5344,1160
Luna,0.4379,44.6266,2866
Nyx Assassin,0.3269,46.1053,2221
Witch Doctor,0.2723,45.5974,1908
Huskar,0.2654,47.6248,2463
Enigma,0.253,44.7031,1718
Slardar,0.201,45.0734,2314
Gyrocopter,0.143,49.0138,1014
Wraith King,0.1007,39.8757,3220
Ursa,0.0904,42.0509,2711
Lich,0.0615,41.7948,2340
Queen of Pain,0.0347,51.1354,2466
Morphling,0.0052,49.2603,2028
Monkey King,-0.0182,47.9856,3897
Io,-0.1257,58.1709,667
Troll Warlord,-0.2133,42.7638,3676
Omniknight,-0.27,40.8441,1611
Elder Titan,-0.2753,44.0845,710
Doom,-0.2941,49.2802,1181
Jakiro,-0.3712,42.1734,1776
Centaur Warrunner,-0.4997,40.1489,1477
Templar Assassin,-0.5013,49.4172,1716
Faceless Void,-0.5063,45.4229,3736
Bloodseeker,-0.524,42.0021,5564
Kunkka,-0.5542,46.8768,3394
Brewmaster,-0.6847,44.1679,643
Axe,-0.6852,42.3323,4056
Spirit Breaker,-0.7124,39.1908,4177
Pugna,-0.8135,46.4723,1715
Magnus,-0.8194,49.9773,2211
Nature's Prophet,-0.849,51.2114,2724
Tinker,-0.85,47.2948,2791
Terrorblade,-0.8998,45.5977,1397
Abaddon,-1.0227,40.5258,1103
Medusa,-1.0406,47.8233,1562
Weaver,-1.0874,43.4146,3075
Sand King,-1.1073,45.4347,2749
Timbersaw,-1.134,47.9607,1937
Tiny,-1.1956,47.7347,2141
Bane,-1.3042,47.3684,988
Juggernaut,-1.3053,46.1847,5229
Dragon Knight,-1.3265,44.1624,1773
Treant Protector,-1.3858,43.8461,1040
Chen,-1.5411,51.358,405
Tidehunter,-1.6059,43.2764,1465
Bristleback,-1.6494,45.1632,3246
Bounty Hunter,-1.7002,44.9292,2544
Undying,-1.7678,42.3364,1070
Clinkz,-1.8199,44.41,2585
Shadow Demon,-1.8233,47.4597,807
Phantom Assassin,-1.9936,40.1411,6801
Lina,-2.0685,47.8672,2954
Night Stalker,-2.1897,43.81,1664
Legion Commander,-2.2262,44.9555,5283
Chaos Knight,-2.3759,38.4615,2080
Riki,-2.3847,38.7787,3832
Alchemist,-2.3998,48.5209,2096
Storm Spirit,-2.6407,45.0147,2377
Batrider,-2.642,49.6815,785
Tusk,-2.6868,49.9165,1198
Anti-Mage,-2.8712,43.3905,5356
Lycan,-2.9408,44.9949,989
Naga Siren,-2.9664,48.4978,699
Slark,-3.027,44.6819,3742
Meepo,-3.7871,45.7957,1332
Leshrac,-4.2188,45.1659,693
Razor,-4.6458,44.188,1170
Phantom Lancer,-4.9,39.7248,2326
Beastmaster,-4.9322,45.8745,606
Lone Druid,-4.9956,50.4962,806
Broodmother,-6.9995,47.1663,1094
