Techies,2.1872,49.92,15014
Io,1.9242,61.1041,9600
Troll Warlord,1.8606,45.7439,50704
Oracle,1.6949,56.3484,10790
Timbersaw,1.4761,51.2463,26236
Lich,1.2218,43.5322,33072
Invoker,1.1578,49.2534,105351
Dark Seer,1.0888,50.19,12104
Lifestealer,1.0845,50.4567,35139
Phantom Assassin,1.0125,43.6361,110232
Keeper of the Light,0.9803,48.6303,25299
Clinkz,0.9446,47.7889,39032
Legion Commander,0.8956,48.5548,83211
Disruptor,0.8885,47.5416,26156
Tinker,0.8229,49.834,36461
Juggernaut,0.8165,48.8893,70093
Storm Spirit,0.8132,49.1127,32684
Shadow Fiend,0.7911,49.041,60219
Earth Spirit,0.7485,54.2317,15419
Rubick,0.731,50.9289,41336
Skywrath Mage,0.6912,45.9312,30685
Dazzle,0.687,46.8164,23637
Arc Warden,0.6429,51.0948,12970
Phoenix,0.6404,47.5032,15460
Winter Wyvern,0.6315,47.2357,16388
Anti-Mage,0.5861,47.3387,75997
Ancient Apparition,0.584,44.7453,22780
Windranger,0.5825,47.3709,67324
Treant Protector,0.5588,46.4692,17050
Lion,0.5372,49.0669,42870
Queen of Pain,0.526,52.4065,33721
Faceless Void,0.4926,47.2265,50677
Chen,0.4431,53.9085,5552
Abaddon,0.4075,42.5082,18547
Ogre Magi,0.4042,44.7367,40175
Nyx Assassin,0.389,46.9453,33064
Omniknight,0.3825,42.4075,25578
Weaver,0.3723,45.6372,46175
Slark,0.3137,48.741,55563
Bounty Hunter,0.2591,47.3508,37427
Crystal Maiden,0.2375,42.3936,51345
Tidehunter,0.1732,45.887,21943
Shadow Demon,0.1682,50.475,12000
Ursa,0.1672,43.0676,42085
Templar Assassin,0.157,50.8806,25548
Ember Spirit,0.1383,50.0659,28824
Morphling,0.1343,49.8438,27532
Night Stalker,0.1089,46.7375,23234
Puck,0.0664,53.3166,24784
Doom,0.0638,50.3387,18894
Batrider,0.0408,53.1636,11474
Mirana,-0.0221,45.2774,63641
Jakiro,-0.0317,43.0689,27918
Pugna,-0.0319,47.9904,25951
Magnus,-0.0816,51.3952,28956
Lina,-0.0857,50.6183,40916
Bristleback,-0.0858,47.4001,46407
Monkey King,-0.0998,48.6944,57448
Necrophos,-0.1088,40.1015,87418
Enchantress,-0.1347,51.7384,15617
Viper,-0.1405,45.0387,56780
Riki,-0.1586,41.6245,56325
Leshrac,-0.177,50.0858,10480
Kunkka,-0.2233,48.0142,48621
Spectre,-0.2494,39.0225,33637
Enigma,-0.2581,45.0302,23462
Pudge,-0.2595,44.2448,120570
Shadow Shaman,-0.26,42.5103,47579
Lycan,-0.2612,48.3641,14457
Centaur Warrunner,-0.2672,41.2286,21747
Wraith King,-0.2745,40.1508,46796
Underlord,-0.2916,40.0743,14251
Witch Doctor,-0.2931,45.87,29734
Silencer,-0.3043,42.9141,44335
Axe,-0.3425,43.4301,59134
Outworld Devourer,-0.3706,47.8353,26702
Warlock,-0.4054,43.5883,17016
Tusk,-0.4862,52.924,18844
Earthshaker,-0.5288,44.8197,77573
Zeus,-0.5607,39.2333,42887
Dragon Knight,-0.5906,45.7092,25986
Sven,-0.6081,42.841,66714
Gyrocopter,-0.666,48.7932,15703
Lone Druid,-0.6919,55.9778,10631
Vengeful Spirit,-0.6948,43.1712,29339
Brewmaster,-0.695,45.189,9863
Tiny,-0.7185,49.1442,31377
Clockwerk,-0.7576,44.4378,23498
Alchemist,-0.7656,51.2001,28246
Huskar,-0.7731,47.4673,38536
Venomancer,-0.7937,43.4334,44864
Elder Titan,-0.908,44.1922,10133
Medusa,-0.9117,49.0517,22568
Nature's Prophet,-0.9361,51.7924,37127
Broodmother,-0.9363,53.7222,14158
Slardar,-0.9708,44.5898,34380
Bloodseeker,-0.9753,42.2081,87040
Spirit Breaker,-0.9893,39.7867,65469
Visage,-1.0339,45.4708,9472
Undying,-1.1501,43.7618,16343
Sniper,-1.1882,44.0448,102012
Luna,-1.2045,43.6893,39275
Razor,-1.2246,48.4731,18862
Drow Ranger,-1.3943,43.5591,44381
Terrorblade,-1.5257,45.5146,19196
Naga Siren,-1.7695,50.3809,9581
Meepo,-1.8303,48.9123,16503
Sand King,-1.8489,45.371,37773
Death Prophet,-2.2341,47.5121,17505
Beastmaster,-2.5628,48.9178,8964
Phantom Lancer,-3.2113,41.8909,33623
Chaos Knight,-3.6209,37.7213,31176
