Troll Warlord,3.757,44.2014,3475
Winter Wyvern,3.1439,46.5804,1082
Templar Assassin,3.057,50.5458,1832
Ursa,2.8812,42.4038,2679
Clockwerk,2.8125,44.7193,1657
Witch Doctor,2.6559,45.5953,1873
Keeper of the Light,2.5651,47.0648,1959
Arc Warden,2.533,50.1891,793
Visage,2.4108,46.3054,609
Monkey King,2.206,47.7225,4325
Shadow Shaman,2.1869,41.9684,3038
Axe,2.139,42.6586,4175
Ancient Apparition,2.0255,43.0006,1493
Timbersaw,1.7355,48.4536,1940
Tusk,1.6769,51.9117,1360
Alchemist,1.6066,50.1026,1948
Techies,1.5701,46.2427,865
Earth Spirit,1.5469,52.2232,1057
Lion,1.2349,46.5565,3209
Enchantress,1.2263,49.8477,985
Leshrac,1.1984,48.2658,692
Warlock,1.1762,42.2018,1090
Night Stalker,1.1666,44.7447,1665
Chaos Knight,1.0944,39.5245,2019
Nature's Prophet,1.084,50.732,2732
Morphling,0.9879,47.8813,1888
Skywrath Mage,0.9467,43.172,1860
Chen,0.9447,51.4851,404
Terrorblade,0.9035,45.0321,1399
Broodmother,0.8872,52.7041,943
Zeus,0.879,37.8114,2769
Lycan,0.8205,46.4046,1043
Rubick,0.7835,47.7458,2817
Phantom Assassin,0.7834,40.261,6818
Drow Ranger,0.6753,42.4693,3021
Bounty Hunter,0.6396,44.8868,2386
Vengeful Spirit,0.6347,41.4972,2017
Invoker,0.5945,45.7265,7687
Meepo,0.5822,47.8111,1165
Bloodseeker,0.4846,40.5991,5441
Tiny,0.4771,47.037,2160
Venomancer,0.4599,41.6256,3248
Dragon Knight,0.4418,43.5718,1719
Tinker,0.4223,46.2011,2764
Legion Commander,0.4187,45.0479,5321
Kunkka,0.3474,45.4019,3458
Pudge,0.2989,41.7244,8223
Treant Protector,0.2931,43.1818,1100
Elder Titan,0.2366,42.2788,667
Sven,0.2152,40.8232,4397
Anti-Mage,0.2101,43.8868,5161
Underlord,0.1948,37.3443,964
Jakiro,0.0619,40.2662,1803
Shadow Fiend,0.0085,45.1213,4284
Bristleback,0.0007,44.4045,3342
Shadow Demon,-0.024,46.9339,848
Magnus,-0.0283,48.4402,2244
Lone Druid,-0.1038,53.0183,762
Mirana,-0.1103,42.0722,4623
Phoenix,-0.1328,43.4364,937
Slardar,-0.1402,42.4157,2492
Sniper,-0.1913,41.7936,6824
Phantom Lancer,-0.2072,41.931,2206
Medusa,-0.2642,46.2913,1510
Bane,-0.3415,45.9893,935
Tidehunter,-0.3524,42.1703,1456
Necrophos,-0.3992,36.9143,5827
Earthshaker,-0.4639,41.8228,6298
Silencer,-0.4945,39.6588,2814
Clinkz,-0.5345,43.3435,2291
Spirit Breaker,-0.5363,37.0334,4180
Spectre,-0.5792,35.8203,2560
Storm Spirit,-0.6708,44.5656,2383
Huskar,-0.6769,44.3834,2368
Luna,-0.6866,41.1999,2750
Dazzle,-0.7221,42.2496,1458
Crystal Maiden,-0.7605,38.1399,3301
Omniknight,-0.8132,37.9962,1587
Ember Spirit,-0.9606,45.9548,2126
Puck,-0.9916,49.0174,1832
Sand King,-0.9919,43.2072,2775
Disruptor,-1.0254,42.3991,1809
Razor,-1.0818,45.4058,1306
Riki,-1.1933,37.5635,3735
Queen of Pain,-1.2235,47.6003,2542
Nyx Assassin,-1.24,42.2319,2742
Outworld Devourer,-1.2458,43.8632,1931
Faceless Void,-1.2858,42.3597,3619
Lina,-1.3384,46.246,2837
Wraith King,-1.341,36.1833,3076
Pugna,-1.3813,43.5804,1659
Slark,-1.3852,43.9075,3808
Gyrocopter,-1.4052,45.1219,1066
Centaur Warrunner,-1.5357,36.7637,1545
Oracle,-1.7177,49.4331,882
Lifestealer,-1.7683,44.6683,2382
Brewmaster,-1.7967,40.712,646
Abaddon,-1.8656,37.3644,1199
Death Prophet,-1.88,44.703,1246
Lich,-1.9277,37.5289,2161
Ogre Magi,-1.966,39.3393,2664
Enigma,-2.1203,40.0365,1641
Weaver,-2.3019,39.9364,3145
Juggernaut,-2.3915,42.8681,5181
Undying,-2.4539,39.3351,1083
Viper,-2.7796,39.5323,3678
Beastmaster,-2.8717,45.626,583
Dark Seer,-2.8819,43.0057,865
Io,-3.079,52.8548,613
Windranger,-3.2409,40.591,3959
Doom,-3.842,43.4385,1204
Naga Siren,-4.1073,45.0,660
