Io,7.4292,64.7727,528
Visage,6.1785,51.5765,444
Arc Warden,5.4321,54.5307,618
Techies,5.2593,51.3788,689
Earth Spirit,3.8898,55.9774,711
Broodmother,3.7188,56.9583,697
Death Prophet,3.6679,51.6746,836
Tidehunter,3.5304,47.4897,1215
Bane,3.3716,51.2022,707
Shadow Demon,3.258,51.7006,588
Nyx Assassin,3.2,48.0769,1508
Templar Assassin,3.1825,52.1394,1262
Batrider,3.1583,54.6075,586
Oracle,3.0075,55.5977,527
Dragon Knight,2.5199,47.1291,1254
Elder Titan,2.4594,46.0288,554
Clinkz,2.4128,47.7048,1721
Tinker,1.9483,49.1921,1671
Chen,1.9256,53.9432,317
Mirana,1.9204,45.5104,2762
Brewmaster,1.8038,45.8797,449
Warlock,1.7079,44.2682,820
Skywrath Mage,1.6747,45.4253,1246
Clockwerk,1.6223,45.0872,1089
Underlord,1.6198,40.3581,726
Keeper of the Light,1.4975,47.546,1304
Treant Protector,1.3569,45.7831,830
Riki,1.2822,41.4788,2529
Luna,1.2351,44.5802,1882
Crystal Maiden,1.1841,41.5499,2142
Razor,1.1411,49.1031,892
Shadow Shaman,1.0774,42.4733,1973
Night Stalker,1.0336,46.1348,1216
Meepo,1.0251,49.75,800
Silencer,1.0195,42.6689,1746
Weaver,0.971,44.6197,2091
Monkey King,0.9682,48.0864,2822
Drow Ranger,0.8909,44.213,2065
Lifestealer,0.7567,48.6209,1559
Enigma,0.7351,44.3902,1230
Ogre Magi,0.7336,43.4931,1752
Wraith King,0.6496,39.6724,2198
Phoenix,0.6234,45.7259,737
Huskar,0.5885,47.1142,1698
Winter Wyvern,0.5679,45.5746,757
Ember Spirit,0.56,48.93,1402
Slardar,0.5373,44.6135,1643
Dazzle,0.5159,45.0049,1011
Naga Siren,0.4946,51.1022,499
Anti-Mage,0.4341,45.6219,3312
Pudge,0.432,43.3725,5017
Legion Commander,0.3871,46.5397,3468
Troll Warlord,0.343,42.5311,2410
Leshrac,0.3316,48.909,550
Venomancer,0.1303,42.8704,2146
Tusk,0.1261,51.8438,922
Juggernaut,0.0125,46.6085,3214
Chaos Knight,-0.0397,40.0,1455
Outworld Devourer,-0.1088,46.4992,1314
Slark,-0.1522,46.6011,2545
Lion,-0.2072,46.7294,1911
Tiny,-0.2188,47.8626,1427
Phantom Assassin,-0.219,40.9234,4418
Lich,-0.2698,40.7152,1454
Lone Druid,-0.3001,54.2649,551
Enchantress,-0.3151,49.8069,777
Pugna,-0.3369,46.1337,1151
Spectre,-0.3417,37.6425,1578
Witch Doctor,-0.3804,44.1579,1241
Magnus,-0.4277,49.5425,1421
Windranger,-0.463,44.7378,2613
Bounty Hunter,-0.5073,45.2971,1733
Shadow Fiend,-0.5734,46.1077,2672
Faceless Void,-0.5793,44.5523,2368
Storm Spirit,-0.6584,46.1066,1631
Bloodseeker,-0.6765,41.0928,3660
Vengeful Spirit,-0.7071,41.7582,1365
Ursa,-0.7232,40.519,1888
Nature's Prophet,-0.7299,50.491,1731
Phantom Lancer,-0.7327,42.9808,1617
Ancient Apparition,-0.7491,41.8111,1038
Timbersaw,-0.7669,47.524,1353
Sven,-0.7946,41.4321,2807
Medusa,-0.8858,47.1877,1049
Undying,-0.9288,42.4071,889
Omniknight,-0.9384,39.4378,1174
Gyrocopter,-0.9802,47.0507,729
Abaddon,-0.9816,39.8078,937
Dark Seer,-0.9853,46.4342,631
Lina,-1.2923,47.8024,1843
Lycan,-1.407,45.7067,757
Spirit Breaker,-1.5551,37.6642,2740
Puck,-1.5752,49.9172,1208
Bristleback,-1.5968,44.4187,2159
Earthshaker,-1.6037,42.3255,3655
Centaur Warrunner,-1.7132,38.2075,1060
Necrophos,-1.7612,37.2145,3547
Doom,-1.8122,46.9555,854
Terrorblade,-1.8399,43.8683,1003
Viper,-1.8524,41.9588,2481
Disruptor,-1.927,43.0543,1159
Zeus,-1.9283,36.7109,1806
Morphling,-1.9387,46.5556,1321
Kunkka,-2.2655,44.4494,2216
Axe,-2.3149,40.0449,2672
Invoker,-2.6394,44.4396,4640
Rubick,-2.7907,45.8355,1885
Queen of Pain,-3.0675,47.3197,1623
Sand King,-3.1073,42.7163,1826
Sniper,-3.2633,40.627,4529
Alchemist,-3.4176,46.6896,1450
Jakiro,-3.5349,38.3154,1211
