Centaur Warrunner,2.3854,50.3522,11213
Tidehunter,2.0888,55.2447,10868
Underlord,2.0852,48.6238,6867
Anti-Mage,1.9416,56.6026,68011
Omniknight,1.8714,50.3303,12867
Weaver,1.8265,54.4257,27351
Undying,1.7684,53.9752,7748
Lich,1.6091,50.8517,16202
Silencer,1.1994,51.2608,20899
Abaddon,1.192,50.1185,9278
Disruptor,1.0805,55.1638,12423
Riki,1.0587,49.209,40143
Spectre,1.0523,46.5073,18668
Phoenix,0.9649,55.2864,6772
Timbersaw,0.8569,59.0419,14759
Dark Seer,0.8036,57.9705,5696
Necrophos,0.7997,47.214,50449
Night Stalker,0.776,55.1611,12226
Mirana,0.7374,53.2279,34805
Dazzle,0.4753,54.0159,12189
Treant Protector,0.4525,53.922,8108
Elder Titan,0.4129,52.8085,4700
Slark,0.4041,56.9629,40170
Keeper of the Light,0.3937,55.8604,14470
Venomancer,0.3271,51.6217,23955
Jakiro,0.2852,50.3807,13527
Spirit Breaker,0.2045,46.8649,40877
Clinkz,0.1452,54.7571,21252
Warlock,0.1308,51.2251,7836
Phantom Assassin,0.0808,49.4152,69088
Sand King,0.0632,55.0533,21085
Crystal Maiden,0.0587,48.444,26319
Shadow Shaman,0.0,49.6613,25984
Drow Ranger,-0.0075,52.0311,25552
Vengeful Spirit,-0.0076,50.8901,13032
Terrorblade,-0.0243,54.9162,9855
Zeus,-0.0814,45.9385,23649
Axe,-0.1127,50.4852,42448
Phantom Lancer,-0.1216,52.3452,20552
Earthshaker,-0.2276,52.3008,47330
Troll Warlord,-0.2435,50.3154,31384
Windranger,-0.2543,54.0577,36757
Bounty Hunter,-0.2707,54.8328,21478
Death Prophet,-0.2993,57.6587,9969
Ogre Magi,-0.3259,50.9768,21139
Invoker,-0.332,55.8254,67609
Kunkka,-0.3512,55.6869,25629
Skywrath Mage,-0.3777,52.1688,14570
Bristleback,-0.3886,54.8994,32412
Bane,-0.4204,57.1875,6713
Doom,-0.4752,58.2423,8614
Gyrocopter,-0.4759,57.3669,6950
Nyx Assassin,-0.4895,53.5322,16788
Sniper,-0.501,51.7492,68059
Witch Doctor,-0.5069,52.9465,14271
Winter Wyvern,-0.5095,53.5351,8656
Earth Spirit,-0.5358,62.2225,7118
Ursa,-0.5454,48.6803,25840
Slardar,-0.6141,52.2596,19937
Razor,-0.664,57.1351,9306
Outworld Devourer,-0.6735,55.3705,15492
Ancient Apparition,-0.6837,50.3233,10979
Lycan,-0.6954,56.1287,8199
Viper,-0.7357,51.7018,34610
Faceless Void,-0.7746,53.3935,29541
Leshrac,-0.7907,57.5668,4414
Pudge,-0.8208,50.8233,72083
Clockwerk,-0.8751,51.2673,11678
Naga Siren,-0.889,60.0902,4430
Rubick,-0.8902,57.4493,21861
Alchemist,-0.9194,59.3892,16210
Enigma,-0.932,51.413,13269
Chaos Knight,-1.0193,46.7099,19255
Templar Assassin,-1.0633,58.0934,14036
Visage,-1.0678,53.3601,3735
Sven,-1.0735,49.4647,41943
Arc Warden,-1.0778,57.9924,5549
Shadow Demon,-1.1124,57.1218,5441
Shadow Fiend,-1.2164,54.8558,36760
Beastmaster,-1.2323,58.8218,3599
Luna,-1.2355,50.799,22528
Magnus,-1.2407,58.861,15822
Lina,-1.2535,57.8046,23031
Dragon Knight,-1.311,52.257,14909
Pugna,-1.3608,54.407,12412
Monkey King,-1.7047,55.0812,33053
Huskar,-1.7153,54.3116,23796
Queen of Pain,-1.7218,58.8799,20124
Tiny,-1.842,55.9524,16741
Lion,-1.8441,54.4629,25454
Juggernaut,-1.8588,54.1639,46782
Morphling,-1.8847,56.3223,14259
Wraith King,-1.8905,44.4924,31021
Ember Spirit,-1.9238,56.3135,16330
Meepo,-2.0193,56.449,9389
Brewmaster,-2.0339,50.6721,4389
Nature's Prophet,-2.061,59.659,20882
Lone Druid,-2.0657,63.7225,5061
Oracle,-2.1137,61.1135,4580
Puck,-2.1871,59.768,14138
Medusa,-2.197,55.438,11631
Legion Commander,-2.2777,53.3189,53677
Batrider,-2.4221,59.2895,5377
Enchantress,-2.472,57.8099,7388
Broodmother,-2.6017,61.5633,6806
Tusk,-2.6546,59.5177,9041
Tinker,-2.6552,54.1091,22024
Lifestealer,-3.054,54.5043,19914
Storm Spirit,-3.0576,53.1012,21862
Chen,-3.1266,59.3051,2504
Techies,-3.3929,51.8536,8470
Io,-3.6972,65.2214,4244
