Clinkz,3.1735,52.7337,12931
Riki,3.0786,46.817,30004
Mirana,2.1572,49.8397,15911
Winter Wyvern,2.0856,51.3119,3087
Shadow Fiend,1.9966,52.8162,15251
Lich,1.8502,46.6857,6623
Templar Assassin,1.8458,55.4209,6272
Doom,1.7302,55.0063,3925
Ancient Apparition,1.7039,48.251,4717
Undying,1.6851,49.0909,3465
Monkey King,1.6664,53.1443,13866
Silencer,1.6265,47.2183,8664
Vengeful Spirit,1.6181,48.0393,5891
Nyx Assassin,1.6101,50.7472,8966
Night Stalker,1.6081,50.935,5187
Drow Ranger,1.5606,48.9246,10927
Invoker,1.4703,52.3042,26451
Spectre,1.4279,43.0149,8146
Arc Warden,1.3123,54.9845,2588
Keeper of the Light,1.2864,51.6272,6084
Shadow Demon,1.2415,54.1535,2227
Weaver,1.1796,48.8869,12758
Treant Protector,1.1123,49.6981,4141
Kunkka,1.0315,51.8905,10711
Visage,0.995,50.6306,1665
Nature's Prophet,0.9806,56.8144,8614
Broodmother,0.9801,59.3137,3672
Warlock,0.8914,47.4654,3472
Chen,0.875,57.649,1157
Death Prophet,0.7194,53.1914,4042
Troll Warlord,0.7191,46.8432,12307
Dark Seer,0.7035,52.484,2355
Dazzle,0.703,49.3336,4502
Morphling,0.6554,53.5396,6074
Jakiro,0.6178,46.302,5503
Clockwerk,0.6152,48.167,4692
Centaur Warrunner,0.5678,44.2179,4661
Tinker,0.5534,52.1857,8418
Elder Titan,0.5069,48.1667,1991
Skywrath Mage,0.4239,48.2792,6160
Alchemist,0.4142,54.9826,6924
Sniper,0.3387,47.8616,27404
Bristleback,0.3335,50.4699,11597
Sand King,0.2646,50.1675,8653
Pudge,0.1659,47.1684,28430
Lycan,0.154,51.5957,3196
Underlord,0.13,42.5568,2902
Ogre Magi,0.1261,46.902,8441
Beastmaster,0.1252,54.7028,1733
Disruptor,0.0926,49.1828,5140
Phoenix,0.0433,49.3259,2893
Bane,0.0328,52.2807,2850
Timbersaw,0.0145,52.6913,6075
Pugna,0.0125,50.7462,5293
Wraith King,-0.0091,42.7487,11067
Brewmaster,-0.0366,48.1283,1870
Viper,-0.0898,47.6628,13050
Juggernaut,-0.1032,50.7505,17255
Crystal Maiden,-0.1433,44.0878,10876
Witch Doctor,-0.1462,48.4983,5827
Windranger,-0.1557,49.1787,14124
Spirit Breaker,-0.2203,42.6186,15512
Earthshaker,-0.2275,47.6287,18239
Abaddon,-0.2748,44.3131,3640
Medusa,-0.295,52.1548,5012
Ember Spirit,-0.3602,52.4481,6801
Legion Commander,-0.4183,50.0155,19326
Shadow Shaman,-0.4217,44.9142,10028
Tusk,-0.4502,55.9765,4091
Outworld Devourer,-0.4548,50.4201,5950
Earth Spirit,-0.47,56.3103,3003
Rubick,-0.4864,52.431,8083
Ursa,-0.4905,44.5696,9318
Lina,-0.5189,52.9876,9623
Bloodseeker,-0.5215,45.1574,21848
Phantom Assassin,-0.5296,44.5641,25442
Necrophos,-0.5396,42.0428,18876
Zeus,-0.5655,41.6374,10553
Venomancer,-0.6466,46.0792,10419
Dragon Knight,-0.6859,48.1065,5968
Magnus,-0.7099,53.7624,6246
Luna,-0.7526,46.6765,9418
Axe,-0.7663,45.4278,14621
Lifestealer,-0.7757,51.4859,7470
Io,-0.8273,61.623,1910
Tidehunter,-0.8712,47.2396,4619
Batrider,-0.9129,55.1709,2398
Slardar,-0.9321,47.2056,12740
Techies,-0.9431,49.449,3630
Lone Druid,-0.9474,58.5185,2295
Enchantress,-0.9537,53.7473,3349
Lion,-1.0398,50.1831,10103
Slark,-1.0836,49.9733,13125
Storm Spirit,-1.1047,49.9213,7628
Omniknight,-1.1378,42.9952,5068
Enigma,-1.1829,46.5379,4867
Naga Siren,-1.2177,53.948,1963
Puck,-1.2261,54.8483,5672
Anti-Mage,-1.286,48.171,17496
Sven,-1.4287,44.7644,15175
Gyrocopter,-1.52,50.8668,3230
Terrorblade,-1.5959,48.2563,4244
Tiny,-1.6655,50.7949,7107
Faceless Void,-1.6734,47.619,11865
Queen of Pain,-2.004,52.8334,8029
Meepo,-2.1899,50.9266,3939
Razor,-2.2081,50.1207,4140
Oracle,-2.4168,54.8189,1961
Phantom Lancer,-2.4711,45.259,8184
Leshrac,-2.4784,50.4578,2075
Chaos Knight,-2.6247,41.1797,7188
Huskar,-3.3915,47.4344,9160
