Visage,3.1316,54.4622,437
Jakiro,2.8472,50.4526,1215
Dazzle,2.6685,53.0348,1005
Tusk,2.3542,59.9794,972
Techies,2.1882,54.2568,693
Huskar,2.1317,54.5004,2022
Enigma,2.0801,51.6205,1265
Bloodseeker,1.9552,49.3824,4453
Witch Doctor,1.8901,52.2824,1402
Tiny,1.8676,55.8011,1629
Juggernaut,1.7929,54.1436,3620
Slardar,1.7605,51.6962,1857
Lina,1.7518,56.6311,2066
Ancient Apparition,1.7134,50.1367,1097
Batrider,1.7095,59.1049,648
Viper,1.701,51.1994,2793
Silencer,1.6074,49.1358,2025
Clockwerk,1.5876,50.97,1134
Phoenix,1.5139,52.5357,769
Spectre,1.4951,45.3116,1781
Clinkz,1.381,52.626,1904
Wraith King,1.3361,46.2245,2503
Lone Druid,1.1692,61.6724,574
Faceless Void,1.1321,52.0723,2654
Winter Wyvern,1.0279,51.9464,822
Tinker,0.9273,54.1228,1807
Sven,0.9137,48.9228,3342
Arc Warden,0.9041,55.9633,654
Windranger,0.8744,51.8911,3014
Puck,0.853,58.2186,1235
Venomancer,0.7971,49.4086,2283
Ogre Magi,0.7946,49.4541,1832
Ember Spirit,0.7906,55.0763,1507
Drow Ranger,0.7199,49.9566,2308
Nature's Prophet,0.6763,57.7586,1972
Phantom Assassin,0.6595,47.6172,5246
Lycan,0.5992,53.6231,828
Earth Spirit,0.5554,58.6065,732
Kunkka,0.5497,53.0309,2425
Lifestealer,0.5335,54.3175,1795
Bane,0.5106,54.2968,768
Elder Titan,0.4021,49.9058,531
Tidehunter,0.3868,50.3395,1178
Shadow Fiend,0.3329,52.8507,3122
Disruptor,0.3312,51.174,1235
Pudge,0.3137,49.1681,5650
Razor,0.3132,54.2143,961
Bounty Hunter,0.1805,51.8716,1870
Pugna,0.1448,52.5227,1209
Centaur Warrunner,0.1079,45.9002,1183
Lion,0.0227,52.8483,2282
Storm Spirit,0.015,52.6696,1798
Alchemist,-0.0878,55.8378,1653
Abaddon,-0.0998,46.5934,910
Invoker,-0.1234,52.5472,5182
Riki,-0.1238,46.0635,2896
Slark,-0.1607,52.5073,2712
Monkey King,-0.2309,52.9029,2773
Keeper of the Light,-0.237,51.7725,1354
Enchantress,-0.3649,55.6946,799
Morphling,-0.3733,54.0013,1437
Nyx Assassin,-0.3992,50.5062,1679
Magnus,-0.4115,55.4865,1449
Chen,-0.4134,57.5498,351
Terrorblade,-0.4597,51.1457,1091
Broodmother,-0.4759,58.7438,812
Warlock,-0.4968,48.0045,877
Shadow Shaman,-0.5326,46.8399,2231
Earthshaker,-0.615,49.1201,4035
Templar Assassin,-0.6328,54.3461,1323
Troll Warlord,-0.676,47.4728,2671
Crystal Maiden,-0.7129,45.6485,2390
Luna,-0.774,48.5661,2162
Axe,-0.8024,47.3732,3274
Outworld Devourer,-0.8096,51.7313,1444
Vengeful Spirit,-0.8289,47.5479,1407
Spirit Breaker,-0.832,44.2602,3258
Ursa,-0.8794,46.2715,2092
Treant Protector,-0.8832,49.4903,883
Mirana,-0.9247,48.7563,2935
Naga Siren,-0.9951,55.5555,549
Oracle,-1.0007,57.5342,511
Undying,-1.0938,48.1651,872
Skywrath Mage,-1.1625,48.5694,1433
Zeus,-1.1698,43.3265,1978
Sniper,-1.2051,48.3363,5019
Legion Commander,-1.2398,50.9574,4021
Dragon Knight,-1.2424,49.3741,1438
Weaver,-1.286,48.3816,2379
Medusa,-1.42,52.5825,1181
Underlord,-1.434,43.2396,747
Lich,-1.4718,45.4486,1549
Bristleback,-1.5694,50.3496,2574
Chaos Knight,-1.8104,44.1954,1740
Beastmaster,-1.8141,54.1202,449
Rubick,-1.819,52.6836,1919
Queen of Pain,-1.8281,54.4332,1782
Meepo,-1.9784,52.7012,907
Gyrocopter,-2.0641,51.9047,840
Anti-Mage,-2.0702,49.226,3618
Sand King,-2.3654,49.3353,1956
Necrophos,-2.3798,42.5764,4122
Night Stalker,-2.4912,48.6068,1292
Dark Seer,-2.7087,50.6451,620
Death Prophet,-2.972,51.0438,958
Phantom Lancer,-3.0328,46.6703,1832
Timbersaw,-3.0662,51.2067,1533
Shadow Demon,-3.2535,51.1475,610
Io,-3.4607,59.8455,518
Omniknight,-3.5924,42.7514,1352
Doom,-3.6196,51.0971,957
Leshrac,-4.6138,49.9032,517
