Riki,4.0593,47.6501,21469
Visage,3.5859,53.2005,2109
Luna,2.8622,50.1048,14300
Spectre,2.8191,43.9585,11479
Broodmother,2.6229,61.063,4045
Chaos Knight,2.5399,45.9048,12417
Tiny,2.3451,54.875,10287
Meepo,2.2919,55.5436,5592
Windranger,2.2514,51.3674,20110
Enigma,2.2348,49.808,7292
Warlock,2.1736,48.5445,4672
Clinkz,2.1571,51.5926,13029
Ursa,1.9982,46.6632,15494
Underlord,1.8598,43.9313,3963
Sven,1.7391,47.4642,28019
Sand King,1.7244,51.5319,11717
Crystal Maiden,1.6743,45.5371,15069
Centaur Warrunner,1.6632,44.9393,6847
Shadow Shaman,1.6627,46.6688,15205
Rubick,1.6473,54.5051,10388
Brewmaster,1.6394,49.684,2532
Templar Assassin,1.6132,55.245,8122
Pugna,1.4885,52.1668,7361
Huskar,1.3836,52.1558,14403
Phantom Lancer,1.3828,48.9085,12415
Spirit Breaker,1.298,43.5989,23746
Jakiro,1.2794,46.6731,8191
Winter Wyvern,1.2687,50.2782,4312
Abaddon,1.2368,45.5064,5252
Zeus,1.1955,42.8808,15037
Phantom Assassin,1.1632,45.7699,44538
Razor,1.1561,53.5701,5770
Pudge,1.129,47.7801,40295
Arc Warden,1.1177,54.7979,3241
Medusa,1.0938,53.4974,6662
Tidehunter,1.0812,49.0662,7015
Beastmaster,1.0224,55.6232,2134
Skywrath Mage,1.015,48.6673,8367
Terrorblade,0.9767,50.7643,5691
Treant Protector,0.9741,49.3773,4336
Witch Doctor,0.9495,49.4252,8787
Disruptor,0.9311,49.8705,6952
Gyrocopter,0.9206,53.3843,4181
Dark Seer,0.8381,52.5413,3266
Wraith King,0.8368,43.0293,18585
Axe,0.7541,46.5152,28754
Lycan,0.7122,52.0848,4245
Clockwerk,0.6252,47.9702,6183
Storm Spirit,0.6212,51.5857,10468
Vengeful Spirit,0.6045,46.7062,8425
Night Stalker,0.5825,49.7674,7310
Troll Warlord,0.5506,46.3421,18918
Earthshaker,0.5258,48.1112,26366
Weaver,0.4823,47.968,14764
Lich,0.4575,44.9549,9425
Tinker,0.4068,51.9581,11950
Lion,0.375,51.4699,15137
Bane,0.3518,52.5276,3798
Queen of Pain,0.3142,55.1681,10584
Viper,0.2905,47.7655,22265
Ember Spirit,0.2875,53.0965,8671
Lifestealer,0.2618,52.5455,11864
Kunkka,0.2452,51.0101,14354
Mirana,0.2262,47.7603,18909
Naga Siren,0.2175,55.5303,2640
Phoenix,0.0521,49.1317,3743
Juggernaut,0.0183,50.74,27635
Chen,-0.0107,56.7784,1372
Dragon Knight,-0.0483,48.5279,10326
Leshrac,-0.0805,52.8782,2710
Magnus,-0.1015,54.3873,8798
Lone Druid,-0.1404,59.5744,2914
Sniper,-0.1434,47.1842,42173
Oracle,-0.1456,57.2028,2381
Invoker,-0.2038,50.6911,38557
Bounty Hunter,-0.2043,49.6404,11404
Bloodseeker,-0.2132,45.1025,32415
Faceless Void,-0.2227,48.8677,16383
Puck,-0.2289,55.9483,7666
Undying,-0.2843,46.761,5017
Monkey King,-0.2934,51.1401,18156
Omniknight,-0.2986,43.4324,7301
Techies,-0.3926,49.8969,4852
Doom,-0.4314,52.7205,5146
Morphling,-0.4973,52.2949,7582
Elder Titan,-0.5003,46.8705,2812
Batrider,-0.5454,55.6295,3304
Death Prophet,-0.5479,51.8705,6335
Drow Ranger,-0.5508,46.5405,16231
Lina,-0.6437,52.8479,13185
Shadow Demon,-0.6833,52.114,3122
Shadow Fiend,-0.7081,50.1068,21534
Ogre Magi,-0.7282,45.737,12937
Enchantress,-0.7802,53.9142,4292
Alchemist,-0.8171,53.7855,9523
Dazzle,-0.9572,47.4101,6564
Earth Spirit,-0.9868,55.8558,3885
Venomancer,-0.9939,45.4505,13584
Tusk,-1.1297,55.3421,5363
Nature's Prophet,-1.3545,54.5194,11196
Io,-1.4525,61.2128,2457
Anti-Mage,-1.5097,47.755,24544
Nyx Assassin,-1.5217,47.4121,9139
Outworld Devourer,-1.6019,49.1129,9977
Timbersaw,-1.7679,50.824,10133
Slardar,-1.9347,45.9181,14687
Ancient Apparition,-2.3446,43.8193,6577
Slark,-2.6834,48.2439,20444
Silencer,-3.0366,42.1728,13089
Keeper of the Light,-3.378,46.718,8440
Legion Commander,-3.434,47.0217,32032
Necrophos,-3.7879,38.4936,32795
