Arc Warden,6.7701,52.5745,1107
Visage,6.0899,48.1338,777
Lich,3.7652,41.2106,2412
Techies,3.4292,46.2102,1227
Night Stalker,3.3699,45.0522,2011
Bane,3.3454,47.8485,1162
Drow Ranger,3.3375,43.1478,3685
Invoker,3.2932,46.2728,8532
Warlock,3.2606,42.4031,1290
Underlord,3.1393,38.4007,1138
Ancient Apparition,3.006,42.0931,1739
Skywrath Mage,2.9992,43.3287,2181
Huskar,2.9408,46.0055,3217
Doom,2.8536,48.2462,1397
Clinkz,2.8394,44.7203,3343
Outworld Devourer,2.5961,45.8007,2048
Silencer,2.4294,40.6284,2737
Zeus,2.316,37.3281,3346
Windranger,2.1818,43.8093,5161
Treant Protector,2.1676,43.205,1273
Clockwerk,2.1636,42.2387,1617
Faceless Void,2.1546,43.759,4150
Lone Druid,2.1298,53.4482,870
Witch Doctor,1.954,43.0548,2095
Ogre Magi,1.9455,41.2643,2879
Medusa,1.759,46.436,1908
Puck,1.7399,49.8885,1794
Spectre,1.7053,36.1567,2680
Nyx Assassin,1.697,43.2541,2483
Anti-Mage,1.6951,43.4262,5522
Nature's Prophet,1.6686,49.4891,3132
Wraith King,1.6655,37.1865,3789
Lifestealer,1.6349,46.1447,2542
Venomancer,1.5287,40.7954,3520
Weaver,1.5261,41.7496,3715
Death Prophet,1.3143,46.0122,1467
Riki,1.2022,37.9789,4750
Phoenix,1.1365,42.8571,1106
Terrorblade,1.1059,43.3849,1678
Viper,0.9003,41.1489,4491
Templar Assassin,0.8283,46.5192,2126
Luna,0.8262,40.7854,3310
Juggernaut,0.8076,43.9912,5517
Oracle,0.7438,50.0621,805
Pudge,0.6833,40.2014,8440
Brewmaster,0.6073,41.2561,812
Shadow Shaman,0.6041,38.6006,3373
Mirana,0.527,40.8315,4281
Disruptor,0.4999,42.0504,1824
Morphling,0.4055,45.4993,2233
Sniper,0.3055,40.3893,7653
Tinker,0.2957,44.2587,2813
Ursa,0.2732,38.0328,3284
Lycan,0.1906,43.9153,1323
Bloodseeker,0.1661,38.4593,6932
Omniknight,-0.0684,36.8363,1827
Dazzle,-0.1197,40.9926,1632
Centaur Warrunner,-0.1336,36.2932,1678
Tidehunter,-0.1387,40.5125,1639
Io,-0.2214,53.9164,766
Troll Warlord,-0.2298,38.5696,4125
Kunkka,-0.2777,42.9633,3901
Vengeful Spirit,-0.4245,38.5972,2210
Phantom Assassin,-0.4648,37.3017,7820
Earth Spirit,-0.4795,48.3592,1158
Lion,-0.4926,43.1039,3241
Abaddon,-0.4939,36.8305,1363
Ember Spirit,-0.5906,44.4574,2562
Elder Titan,-0.6075,39.555,809
Rubick,-0.6185,44.6051,2697
Tusk,-0.785,47.6529,1406
Winter Wyvern,-0.7911,40.836,1244
Magnus,-0.9039,45.7695,2222
Pugna,-0.9116,42.2008,1872
Jakiro,-0.9527,37.3991,1984
Batrider,-0.9572,47.2075,949
Enigma,-1.0997,39.1968,1768
Shadow Fiend,-1.1333,42.2185,4787
Crystal Maiden,-1.1417,35.8939,3658
Spirit Breaker,-1.1867,34.5563,4824
Chaos Knight,-1.1916,35.4301,2464
Sven,-1.2043,37.6732,6060
Undying,-1.3335,38.5802,1296
Keeper of the Light,-1.3354,41.4048,2292
Slark,-1.3727,42.1,4057
Lina,-1.4221,44.3308,3325
Chen,-1.4529,47.2392,489
Enchantress,-1.4748,45.3278,1220
Storm Spirit,-1.5243,41.9111,2522
Dragon Knight,-1.5481,39.763,2110
Bounty Hunter,-1.7556,40.6862,3672
Gyrocopter,-1.8122,42.8465,1349
Monkey King,-1.8805,42.0701,4647
Phantom Lancer,-1.9662,38.3771,2736
Legion Commander,-2.0839,40.914,6367
Axe,-2.1724,36.8027,5755
Necrophos,-2.1797,33.3916,6286
Leshrac,-2.245,42.9696,889
Shadow Demon,-2.3125,42.8057,834
Razor,-2.5606,42.0706,1671
Queen of Pain,-2.5677,44.4729,2732
Dark Seer,-2.7457,41.2979,1017
Meepo,-2.8354,42.5847,1416
Naga Siren,-2.8673,44.4059,867
Tiny,-2.9266,41.8707,2491
Timbersaw,-2.9893,41.9904,2522
Slardar,-2.9976,37.7978,3106
Sand King,-3.0185,39.4014,3208
Beastmaster,-3.6024,43.0416,697
Bristleback,-3.8791,38.8713,4111
Alchemist,-4.1848,42.5918,2639
Earthshaker,-4.3104,36.5893,8579
