Windranger,3.9194,59.1606,7816
Techies,3.3014,59.8183,1762
Queen of Pain,2.1831,62.8814,4588
Shadow Demon,2.0193,60.9318,1395
Gyrocopter,1.7921,60.2697,1928
Lone Druid,1.7577,66.9789,1281
Chaos Knight,1.7045,51.8304,4152
Phantom Assassin,1.365,52.4998,13621
Phantom Lancer,1.3175,55.2107,4318
Lina,1.2907,60.7082,5365
Beastmaster,1.2496,61.7924,1060
Night Stalker,1.2397,56.6749,3206
Tiny,1.1687,59.6259,4010
Troll Warlord,1.0805,53.4225,6647
Sniper,1.0703,54.6673,13723
Batrider,1.069,63.1105,1556
Faceless Void,1.0454,56.3795,7093
Morphling,0.9536,59.8027,3448
Crystal Maiden,0.9417,51.4594,6098
Storm Spirit,0.8688,57.9379,4510
Terrorblade,0.8487,56.8589,2566
Earth Spirit,0.8048,63.4904,1931
Pugna,0.788,57.5941,3134
Pudge,0.7741,53.8773,15023
Zeus,0.6862,49.3016,5513
Lich,0.6841,51.8,4000
Warlock,0.6393,53.4482,2204
Lion,0.6246,57.8555,5913
Legion Commander,0.6031,57.029,10421
Ancient Apparition,0.573,53.324,2858
Naga Siren,0.5657,61.7244,1241
Tinker,0.535,58.1778,4555
Enchantress,0.4634,61.0764,1765
Earthshaker,0.4356,54.4096,11316
Drow Ranger,0.4331,54.0095,5836
Underlord,0.4197,49.2529,1874
Vengeful Spirit,0.3318,52.9816,3488
Tusk,0.2862,62.5636,2356
Medusa,0.2505,58.7301,3150
Arc Warden,0.224,59.813,1498
Weaver,0.2138,54.1389,5859
Elder Titan,0.2088,54.0641,1341
Puck,0.1657,62.1127,3228
Sand King,0.1529,56.1641,5459
Slark,0.1299,57.1996,7042
Anti-Mage,0.1208,55.595,9276
Mirana,0.0709,54.0196,8160
Silencer,0.0596,51.9208,5258
Ogre Magi,0.0242,53.0224,5211
Invoker,-0.0064,57.0283,14221
Slardar,-0.0516,54.3073,5421
Huskar,-0.0661,56.8135,4858
Winter Wyvern,-0.0968,55.2159,2061
Oracle,-0.144,63.0217,1198
Luna,-0.1561,53.4719,5242
Broodmother,-0.1625,63.7067,1678
Ursa,-0.1822,51.1861,5269
Nyx Assassin,-0.2299,55.0475,4418
Sven,-0.2484,52.1199,8538
Brewmaster,-0.2608,54.0997,1183
Bounty Hunter,-0.3189,55.782,4661
Razor,-0.32,58.081,2345
Riki,-0.3307,50.0772,7123
Spirit Breaker,-0.3379,48.8995,8360
Dark Seer,-0.4037,57.4122,1538
Magnus,-0.4701,59.9606,4071
Shadow Shaman,-0.4806,51.1426,5776
Chen,-0.4998,62.0426,656
Nature's Prophet,-0.5459,61.1549,4814
Clinkz,-0.551,55.1346,4382
Abaddon,-0.557,50.3706,2293
Jakiro,-0.6021,51.3424,3352
Meepo,-0.6619,58.4422,1913
Monkey King,-0.6672,56.9176,7105
Bane,-0.6999,57.5495,1616
Rubick,-0.7426,58.172,4858
Skywrath Mage,-0.7783,53.2661,3475
Kunkka,-0.8134,56.148,6189
Axe,-0.8582,51.6097,9070
Death Prophet,-0.8646,57.5973,2389
Omniknight,-0.875,49.6106,3082
Keeper of the Light,-0.9112,55.5039,3443
Outworld Devourer,-1.0127,55.9539,3821
Bristleback,-1.1546,55.1252,6946
Shadow Fiend,-1.2137,55.804,7960
Disruptor,-1.3088,53.9267,3247
Clockwerk,-1.3356,52.4128,2984
Visage,-1.3878,54.3039,941
Tidehunter,-1.4211,52.9036,3134
Alchemist,-1.4491,59.0358,3796
Ember Spirit,-1.4512,57.3613,3858
Lifestealer,-1.5085,56.8186,5067
Spectre,-1.5834,46.487,5195
Doom,-1.5962,57.5866,2221
Juggernaut,-1.748,55.2736,9576
Witch Doctor,-1.7986,53.0172,3480
Undying,-1.813,51.7567,2220
Dragon Knight,-1.8464,53.1232,3554
Venomancer,-1.847,51.1842,6502
Wraith King,-1.8741,47.331,6201
Timbersaw,-2.0906,56.6206,3912
Io,-2.134,65.907,1097
Enigma,-2.1377,51.7919,3153
Treant Protector,-2.1811,52.5313,1995
Templar Assassin,-2.2327,57.2565,3266
Leshrac,-2.2608,56.7441,1290
Necrophos,-2.2728,46.9362,12240
Dazzle,-2.2879,52.4793,2662
Viper,-2.3487,51.6976,7422
Phoenix,-2.4768,52.9252,1846
Bloodseeker,-2.5625,49.5581,11429
Lycan,-3.4254,54.0292,1849
