Huskar,5.4185,62.3641,8925
Viper,3.8455,57.6281,12893
Skywrath Mage,3.8016,57.8416,5152
Pudge,3.2758,56.0504,23709
Ursa,2.8749,54.1016,9094
Drow Ranger,2.7312,56.2512,9710
Bounty Hunter,2.7008,58.8137,7182
Clockwerk,2.5733,56.3029,3895
Wraith King,2.535,51.4367,10510
Shadow Demon,2.1701,61.1645,1872
Spirit Breaker,2.117,51.0735,14205
Enchantress,2.1009,62.9643,2746
Pugna,2.0027,58.8691,4386
Vengeful Spirit,1.9557,54.5542,5171
Ogre Magi,1.9179,54.8324,7160
Bane,1.8841,60.2591,2315
Templar Assassin,1.8402,61.4801,5013
Ancient Apparition,1.8083,54.5121,3823
Arc Warden,1.7516,61.5021,2117
Death Prophet,1.5799,60.2231,3854
Slardar,1.5407,55.8529,7509
Bloodseeker,1.5039,53.2013,19601
Lifestealer,1.405,59.8001,7107
Silencer,1.3855,53.1322,7327
Brewmaster,1.3778,55.7791,1739
Razor,1.3699,59.9214,3563
Lycan,1.3594,58.9982,2895
Shadow Shaman,1.3209,52.8002,8767
Night Stalker,1.2396,56.7129,4685
Clinkz,1.2254,56.9272,7290
Techies,1.1655,57.7663,2910
Nyx Assassin,1.1617,56.4272,5889
Doom,1.1133,60.4615,3293
Windranger,1.0737,56.4985,11995
Zeus,0.9892,49.4097,8640
Dazzle,0.8742,55.6373,3938
Meepo,0.8006,60.0257,3102
Rubick,0.7109,59.6795,6679
Faceless Void,0.7102,56.0801,10337
Visage,0.6729,56.4174,1418
Phantom Assassin,0.6536,51.8471,26555
Lina,0.5538,60.1416,8189
Luna,0.5369,54.1315,9137
Morphling,0.5365,59.482,4788
Treant Protector,0.5317,55.2567,2863
Oracle,0.5051,63.8583,1638
Juggernaut,0.4707,57.3981,15727
Legion Commander,0.4339,56.9335,18562
Chen,0.433,63.1578,893
Venomancer,0.4221,53.2916,8476
Broodmother,0.4182,64.5554,2463
Slark,0.4129,57.5398,10796
Terrorblade,0.3399,56.3986,3993
Monkey King,0.2683,57.9035,11305
Keeper of the Light,0.2638,56.6913,4999
Shadow Fiend,0.0399,57.0531,12895
Gyrocopter,0.0011,58.6379,3201
Nature's Prophet,-0.192,61.6791,6944
Storm Spirit,-0.2034,56.9331,6541
Lone Druid,-0.2313,65.2947,1968
Puck,-0.2922,61.8244,4626
Riki,-0.3055,49.976,12526
Anti-Mage,-0.3204,55.2033,16249
Tusk,-0.3716,62.1203,3490
Lion,-0.4223,56.8967,8707
Troll Warlord,-0.453,51.8867,11554
Io,-0.4825,67.8736,1519
Tinker,-0.5193,57.2443,7882
Beastmaster,-0.6792,59.9449,1453
Ember Spirit,-0.6963,58.2675,6592
Crystal Maiden,-0.7028,49.7224,9366
Disruptor,-0.7141,54.4959,4404
Queen of Pain,-0.7949,60.1317,6983
Sniper,-0.8256,52.9807,24658
Spectre,-0.8808,46.929,7343
Leshrac,-0.9162,58.2264,1872
Winter Wyvern,-0.932,54.4064,3597
Mirana,-0.9425,52.9942,11422
Weaver,-0.9996,52.9176,8997
Tiny,-1.0641,57.5554,6717
Earth Spirit,-1.1281,61.6544,2454
Witch Doctor,-1.1788,53.6056,5214
Outworld Devourer,-1.2422,55.7863,5971
Alchemist,-1.2847,59.3886,6412
Dragon Knight,-1.3001,53.6692,6173
Necrophos,-1.3827,47.4095,16001
Abaddon,-1.5808,49.1918,3279
Batrider,-1.6552,60.4639,2026
Centaur Warrunner,-1.6689,48.1552,4147
Jakiro,-1.9177,49.911,5061
Invoker,-1.9261,55.3625,21939
Undying,-1.9703,51.5229,3119
Kunkka,-1.9774,55.0461,9205
Omniknight,-2.124,48.2107,4555
Bristleback,-2.2333,54.1465,12625
Warlock,-2.2901,50.3882,3348
Earthshaker,-2.4537,51.8934,25984
Phoenix,-2.6936,52.6677,2474
Tidehunter,-2.7055,51.5359,4232
Magnus,-2.7272,57.8512,5929
Lich,-2.9637,48.0342,7478
Dark Seer,-3.1831,54.6062,2095
Naga Siren,-3.3796,57.8393,1805
Axe,-3.4733,49.0948,16572
Phantom Lancer,-3.5033,50.4417,8715
Timbersaw,-3.6755,55.1383,6179
Enigma,-3.8029,50.0485,5153
Elder Titan,-4.1122,49.5735,1993
Underlord,-4.2582,44.2562,2716
Sand King,-4.5045,51.5802,8005
Sven,-5.5189,47.421,24293
Medusa,-5.5893,53.2042,8317
