Tidehunter,7.3941,49.6285,9692
Io,6.768,62.3012,5032
Visage,5.2759,48.4385,4323
Oracle,4.9631,56.084,4520
Shadow Demon,3.3437,50.2262,5083
Spectre,3.17,39.1187,13390
Techies,2.9478,47.3121,6269
Zeus,2.1706,38.6301,16834
Timbersaw,2.1542,48.5125,11059
Treant Protector,2.1438,44.7233,6851
Abaddon,2.0587,40.9047,7273
Winter Wyvern,1.6865,44.9506,6892
Clockwerk,1.5859,43.4484,8891
Warlock,1.5371,42.2407,6953
Elder Titan,1.5257,43.3302,4288
Pudge,1.5221,42.4835,48028
Riki,1.5165,39.9643,24114
Earth Spirit,1.2899,51.3078,6652
Arc Warden,1.2599,48.3058,5401
Silencer,1.2099,41.0976,15215
Viper,1.163,42.9672,21400
Omniknight,1.1288,39.9034,9117
Enchantress,0.9534,49.3821,6960
Lich,0.9176,39.9921,12690
Lion,0.9058,46.0735,16198
Witch Doctor,0.883,43.7095,11279
Rubick,0.8275,47.6737,13928
Ember Spirit,0.783,47.3137,11652
Necrophos,0.7094,37.5832,31993
Monkey King,0.6915,46.0781,23063
Tinker,0.6744,46.3309,14377
Spirit Breaker,0.6099,38.0345,24391
Disruptor,0.5997,43.9439,9346
Invoker,0.5882,45.3977,42718
Morphling,0.5476,46.875,10624
Centaur Warrunner,0.5056,38.7655,8603
Wraith King,0.5008,37.6618,17604
Phoenix,0.4983,44.0385,6022
Shadow Shaman,0.4833,39.9617,17787
Underlord,0.4446,37.6062,6116
Dragon Knight,0.4198,43.385,10771
Puck,0.3985,50.2098,9767
Anti-Mage,0.3168,43.7759,28904
Nyx Assassin,0.2947,43.5402,12485
Juggernaut,0.2267,45.008,27184
Doom,0.2094,47.0869,8170
Brewmaster,0.2039,42.7853,4380
Night Stalker,0.198,43.5112,8823
Keeper of the Light,0.1888,44.511,10849
Storm Spirit,0.1484,45.1193,13072
Bristleback,0.0422,44.1959,17841
Ogre Magi,0.0064,41.0781,15137
Tusk,-0.0166,49.9415,7705
Meepo,-0.034,47.2959,7914
Bloodseeker,-0.0364,39.7827,32866
Batrider,-0.1002,49.575,4942
Dark Seer,-0.1242,45.6098,4977
Queen of Pain,-0.1875,48.3106,13171
Shadow Fiend,-0.3441,44.6336,24486
Templar Assassin,-0.3668,46.9764,10501
Death Prophet,-0.4037,45.9594,7202
Skywrath Mage,-0.4476,41.5347,11494
Tiny,-0.459,46.028,12475
Enigma,-0.4749,41.529,9627
Ancient Apparition,-0.4973,40.4145,9071
Dazzle,-0.5027,42.3454,8766
Slardar,-0.5101,41.7412,13289
Bane,-0.5287,46.0914,5552
Axe,-0.5335,39.9849,23994
Jakiro,-0.5522,39.3143,11085
Mirana,-0.5557,41.4884,24684
Legion Commander,-0.6167,43.8588,31517
Crystal Maiden,-0.6572,38.3124,19863
Alchemist,-0.6844,47.8709,11625
Windranger,-0.7329,42.8398,23917
Undying,-0.7881,40.8498,6519
Outworld Devourer,-0.8057,44.0761,10196
Slark,-0.8256,44.3318,21127
Broodmother,-0.846,50.3337,6292
Magnus,-0.8591,47.2457,11328
Pugna,-0.8706,43.8332,10435
Vengeful Spirit,-0.9074,39.7105,11332
Huskar,-0.9326,43.981,14745
Bounty Hunter,-0.9543,42.8608,15366
Lifestealer,-0.9746,45.1114,12611
Ursa,-1.0566,38.6428,15444
Phantom Assassin,-1.1212,38.4966,41440
Sand King,-1.2035,42.681,14606
Earthshaker,-1.2111,40.9214,33100
Troll Warlord,-1.2143,39.555,18880
Gyrocopter,-1.295,44.8075,6365
Faceless Void,-1.3132,42.2044,18472
Clinkz,-1.3825,42.2349,15499
Venomancer,-1.4258,39.5694,18115
Weaver,-1.4559,40.6075,17514
Sniper,-1.5058,40.4866,41263
Sven,-1.5201,38.7255,25061
Lina,-1.61,45.7777,16259
Lycan,-1.8194,43.4697,6133
Terrorblade,-1.8406,41.8964,8015
Medusa,-1.9223,44.698,8808
Luna,-2.055,39.6079,16681
Chaos Knight,-2.1295,35.9633,12674
Drow Ranger,-2.2301,39.4944,18119
Leshrac,-2.3273,44.5546,4839
Naga Siren,-2.3946,46.3488,4300
Phantom Lancer,-2.7906,39.0329,13340
Razor,-2.826,43.539,7290
Kunkka,-3.0682,41.9864,19935
Nature's Prophet,-3.6243,45.7832,15960
Lone Druid,-3.7261,49.4496,4997
Beastmaster,-4.1413,43.951,4166
