Phoenix,4.6954,54.5518,2823
Undying,4.6209,52.5502,3235
Elder Titan,3.5327,51.7329,1962
Ancient Apparition,3.5223,50.5476,4200
Spectre,2.8897,44.9493,7306
Underlord,2.651,45.6325,2656
Enigma,2.6223,50.8295,4822
Ember Spirit,2.5326,55.7794,6203
Keeper of the Light,2.5277,53.3042,5508
Warlock,2.4688,49.5327,3210
Disruptor,2.3736,51.9274,4799
Anti-Mage,2.219,51.8956,18358
Dark Seer,2.0268,54.2938,2457
Zeus,1.9988,44.5933,11264
Witch Doctor,1.9241,51.0261,5993
Lone Druid,1.8857,61.8575,2218
Jakiro,1.8337,47.9599,5686
Chen,1.8181,59.0909,1188
Invoker,1.7952,53.0042,27245
Silencer,1.7952,47.8351,7668
Venomancer,1.7474,48.8942,9044
Earthshaker,1.707,49.8829,16653
Oracle,1.6845,59.5032,1973
Death Prophet,1.6824,54.6473,4551
Lich,1.5399,46.7926,6984
Rubick,1.4388,54.7632,7348
Arc Warden,1.4169,55.5301,2622
Pugna,1.4005,52.5818,4977
Nyx Assassin,1.3721,50.9442,6778
Juggernaut,1.3667,52.5447,19629
Monkey King,1.2439,53.1651,12922
Tidehunter,1.089,49.6745,4455
Skywrath Mage,1.0799,49.3775,6025
Sniper,1.0787,48.9426,30785
Treant Protector,1.0625,50.0873,3434
Tusk,0.9814,57.8395,3814
Storm Spirit,0.9012,52.3597,7395
Lifestealer,0.8844,53.5792,7348
Kunkka,0.8299,52.1198,9647
Faceless Void,0.8194,50.4868,12017
Visage,0.8029,50.8664,1789
Omniknight,0.8017,45.4024,5057
Clockwerk,0.7935,48.7848,4485
Centaur Warrunner,0.7556,44.8653,4382
Shadow Shaman,0.6828,46.4285,10640
Bane,0.6349,53.3647,3180
Tiny,0.6072,53.5255,7389
Lion,0.5891,52.2199,10586
Pudge,0.5795,47.9623,26477
Necrophos,0.557,43.508,19270
Mirana,0.4935,48.6866,13172
Lina,0.4489,54.3727,9319
Winter Wyvern,0.3567,49.9683,3162
Meepo,0.3328,53.9496,4089
Morphling,0.3055,53.612,5980
Windranger,0.2237,49.9713,15707
Dazzle,0.192,49.2416,4681
Timbersaw,0.0317,53.1324,5874
Enchantress,0.0028,55.1834,3434
Weaver,-0.0009,48.1672,11649
Medusa,-0.005,52.8742,4836
Batrider,-0.0101,56.5104,2304
Alchemist,-0.0207,54.97,6851
Sven,-0.1079,46.457,17909
Shadow Fiend,-0.1196,51.2138,14664
Magnus,-0.1786,54.7283,6313
Abaddon,-0.2276,44.8175,3425
Sand King,-0.3158,50.0182,8213
Doom,-0.3748,53.2571,3761
Razor,-0.4502,52.3719,4237
Crystal Maiden,-0.4513,44.2246,10415
Viper,-0.5466,47.6433,15658
Leshrac,-0.558,52.8873,2078
Luna,-0.5681,47.2807,10683
Ursa,-0.6042,44.8733,10104
Templar Assassin,-0.6085,53.3506,6163
Nature's Prophet,-0.6148,55.6455,8520
Drow Ranger,-0.6215,47.1988,11388
Queen of Pain,-0.6293,54.6284,7670
Ogre Magi,-0.6824,46.5233,8744
Riki,-0.7404,43.794,15461
Puck,-0.7578,55.7256,5292
Outworld Devourer,-0.8607,50.4394,5916
Bloodseeker,-0.8721,45.2672,21605
Wraith King,-0.889,42.2838,13232
Io,-0.9519,61.9487,1950
Slark,-0.9562,50.5278,13167
Vengeful Spirit,-0.9599,45.8545,5886
Shadow Demon,-0.9984,52.2686,2204
Tinker,-1.1096,50.9592,8548
Lycan,-1.1325,50.702,3276
Chaos Knight,-1.1423,43.098,7295
Brewmaster,-1.1518,47.4015,1905
Earth Spirit,-1.1522,56.022,2906
Night Stalker,-1.2299,48.4756,4953
Huskar,-1.5035,49.7559,10039
Troll Warlord,-1.6302,44.9759,13087
Terrorblade,-1.7171,48.5641,4318
Dragon Knight,-1.8766,47.3196,7126
Axe,-1.8969,44.7786,15925
Legion Commander,-1.9992,48.965,19034
Slardar,-2.0343,46.5595,11263
Gyrocopter,-2.0526,50.7471,3212
Techies,-2.209,48.573,3469
Bristleback,-2.2261,48.4007,13256
Spirit Breaker,-2.2749,41.0826,14926
Beastmaster,-2.5977,52.2951,1721
Phantom Lancer,-2.7648,45.3978,8181
Naga Siren,-2.9504,52.6036,2074
Phantom Assassin,-2.9985,42.8551,28580
Bounty Hunter,-3.1777,47.2662,12931
Broodmother,-3.2348,55.2796,3343
