Earthshaker,2.6655,52.5274,192722
Troll Warlord,1.6798,50.3703,90448
Tinker,1.6118,55.5181,87647
Windranger,1.4735,53.0843,117950
Axe,1.4147,49.8595,118164
Crystal Maiden,1.3262,48.1709,92616
Lina,1.2533,56.8826,77746
Spirit Breaker,1.1613,46.5007,131570
Slardar,1.0973,51.4177,73424
Sven,1.0538,49.1497,117500
Slark,1.0351,54.3317,97420
Luna,0.9958,50.6208,75384
Bloodseeker,0.9923,48.7484,169191
Shadow Fiend,0.9492,54.0681,123054
Sniper,0.9461,50.7326,208158
Pugna,0.9093,53.8259,51111
Brewmaster,0.9004,51.6494,17551
Razor,0.8628,55.4969,32973
Legion Commander,0.8169,53.3707,147043
Jakiro,0.6958,48.5438,55350
Leshrac,0.6696,55.9204,18394
Tidehunter,0.6639,51.212,43603
Invoker,0.6614,53.6858,203899
Disruptor,0.6253,52.156,52458
Medusa,0.6111,55.5045,40984
Bane,0.5954,55.5621,23498
Ancient Apparition,0.571,49.5242,46246
Pudge,0.5653,49.7621,260447
Centaur Warrunner,0.5568,46.752,44028
Kunkka,0.4228,53.5305,95934
Enigma,0.377,50.4751,44721
Dark Seer,0.3599,54.4105,22718
Nature's Prophet,0.3325,58.0528,67554
Ogre Magi,0.3166,49.4447,73846
Vengeful Spirit,0.298,48.9264,52581
Drow Ranger,0.2804,49.964,80572
Lion,0.2797,53.7204,80085
Night Stalker,0.2659,51.7594,46691
Monkey King,0.2658,53.9349,115821
Underlord,0.2516,45.2721,29908
Lich,0.2359,47.3073,63673
Tiny,0.1639,54.9437,56607
Magnus,0.1565,56.6186,60141
Gyrocopter,0.1372,54.5362,27633
Silencer,0.1328,48.0916,85414
Sand King,0.072,52.0945,80448
Phantom Assassin,0.0618,47.5,183387
Shadow Shaman,0.0597,47.5621,94323
Keeper of the Light,0.0207,52.5731,52329
Elder Titan,-0.0218,49.8958,20154
Skywrath Mage,-0.0737,50.0,55318
Witch Doctor,-0.1193,50.8828,55333
Nyx Assassin,-0.1679,51.2582,72683
Zeus,-0.1749,44.2774,89305
Death Prophet,-0.1773,54.4772,30141
Beastmaster,-0.2037,56.2957,15161
Earth Spirit,-0.2173,58.3575,32719
Bounty Hunter,-0.2257,51.739,67910
Puck,-0.3241,57.9628,48312
Winter Wyvern,-0.3616,51.096,29881
Bristleback,-0.3714,51.9819,83729
Abaddon,-0.3889,46.4426,33325
Tusk,-0.4183,58.0434,35277
Techies,-0.5247,52.0832,24985
Morphling,-0.5356,54.1238,51044
Weaver,-0.5381,49.5706,83158
Rubick,-0.5994,54.5899,77974
Omniknight,-0.6227,46.1403,44369
Venomancer,-0.6507,48.3555,102468
Clinkz,-0.6679,51.0781,63998
Wraith King,-0.6769,44.436,82109
Mirana,-0.6794,49.4761,137628
Necrophos,-0.6856,44.2776,174316
Ursa,-0.7115,46.957,70573
Naga Siren,-0.7471,56.3941,16046
Treant Protector,-0.7727,49.9738,30586
Dazzle,-0.8682,50.1128,39878
Dragon Knight,-0.9161,50.2139,45814
Warlock,-0.9765,47.7881,32123
Riki,-0.9776,45.5511,100542
Lycan,-0.9837,52.5463,25389
Alchemist,-0.9846,55.9582,50770
Arc Warden,-1.0223,54.3811,23122
Lone Druid,-1.0895,60.6868,18111
Faceless Void,-1.1429,50.5115,98718
Enchantress,-1.145,55.7027,25514
Doom,-1.1796,54.0685,37556
Lifestealer,-1.2119,53.1396,61839
Shadow Demon,-1.2548,53.9951,20700
Ember Spirit,-1.2659,53.6211,58048
Spectre,-1.2923,42.6549,71654
Phoenix,-1.3577,50.3649,30551
Batrider,-1.3697,56.7926,21619
Terrorblade,-1.4763,50.4068,34904
Juggernaut,-1.4827,51.6223,138688
Oracle,-1.4928,58.2108,18098
Chaos Knight,-1.6166,44.3624,57623
Outworld Devourer,-1.6386,51.4595,51112
Timbersaw,-1.6794,53.0647,51978
Io,-1.6882,62.6272,15712
Templar Assassin,-1.7038,53.986,45634
Undying,-1.7841,47.9148,30454
Chen,-1.8891,56.5515,8891
Queen of Pain,-1.9836,54.937,65808
Storm Spirit,-2.134,51.1129,63211
Viper,-2.14,47.9283,101900
Visage,-2.413,48.9132,15965
Broodmother,-2.4613,57.2284,23359
Phantom Lancer,-2.7335,47.1185,58633
Meepo,-2.8357,52.811,28922
Huskar,-3.2984,49.8632,62906
Anti-Mage,-5.7863,46.244,132337
