Phantom Lancer,1.9162,55.062,135369
Troll Warlord,1.8669,53.8512,206478
Anti-Mage,1.0387,56.0578,334278
Wraith King,0.9947,49.0869,189592
Dragon Knight,0.8192,55.3562,99893
Tiny,0.7535,59.2095,121776
Legion Commander,0.7321,56.7913,353772
Ursa,0.6914,51.5178,155579
Slark,0.6465,57.5397,236506
Omniknight,0.6206,50.506,98309
Broodmother,0.6153,64.329,47512
Timbersaw,0.5573,58.942,105624
Terrorblade,0.5304,55.8869,70605
Chaos Knight,0.5041,49.5241,130619
Lycan,0.466,57.5754,48347
Bounty Hunter,0.442,55.8637,146392
Sven,0.3078,51.6572,276385
Faceless Void,0.2777,55.3195,201482
Slardar,0.2762,53.9698,152185
Invoker,0.2402,56.813,507500
Enchantress,0.2334,60.9418,56421
Phantom Assassin,0.2295,50.861,473480
Vengeful Spirit,0.2227,52.1041,116862
Viper,0.2096,53.5008,238802
Underlord,0.1876,48.2442,53710
Sand King,0.1799,55.6836,157574
Templar Assassin,0.1798,59.5991,100790
Keeper of the Light,0.1664,56.2902,114963
Clinkz,0.144,55.3134,140474
Alchemist,0.124,60.8425,108743
Axe,0.1166,51.8588,267401
Spirit Breaker,0.1106,48.5164,284627
Night Stalker,0.0947,55.0084,82311
Brewmaster,0.0746,54.1911,33463
Razor,0.0628,58.2914,63457
Riki,0.0182,49.5994,233783
Shadow Fiend,-0.0572,56.6598,272842
Necrophos,-0.0593,47.8216,392389
Lich,-0.0647,50.127,142416
Centaur Warrunner,-0.07,49.2044,84346
Bloodseeker,-0.0803,50.9382,366899
Dazzle,-0.0933,54.3321,100042
Luna,-0.1122,52.8348,160871
Naga Siren,-0.1165,60.795,31746
Drow Ranger,-0.1329,52.8668,187664
Storm Spirit,-0.1347,56.6162,129779
Windranger,-0.1477,55.0116,277074
Treant Protector,-0.1657,53.9853,65477
Outworld Devourer,-0.1692,56.4532,110192
Morphling,-0.2621,58.0457,104807
Ember Spirit,-0.2993,58.2061,112330
Huskar,-0.3202,56.2944,143913
Doom,-0.3269,58.562,66608
Dark Seer,-0.335,57.3355,45300
Weaver,-0.3519,53.0728,181251
Mirana,-0.3888,53.0735,291778
Meepo,-0.4001,58.9799,71170
Batrider,-0.4068,61.6241,41117
Spectre,-0.4429,46.3886,144281
Ogre Magi,-0.4508,51.9743,190821
Leshrac,-0.4592,58.426,34945
Techies,-0.4693,55.6403,59863
Nature's Prophet,-0.5247,61.1321,152437
Ancient Apparition,-0.5998,51.6014,94697
Skywrath Mage,-0.6066,52.7992,122642
Gyrocopter,-0.6852,57.2756,52607
Abaddon,-0.6892,49.2484,63202
Tinker,-0.7715,56.7765,161667
Chen,-0.7724,61.6875,19863
Winter Wyvern,-0.8116,54.0742,68380
Death Prophet,-0.8188,57.4458,66104
Jakiro,-0.8222,50.1869,119545
Medusa,-0.8229,57.6672,81450
Venomancer,-0.8559,51.3707,180264
Lina,-0.8983,58.4988,170711
Queen of Pain,-0.9121,59.7637,135952
Warlock,-0.9144,51.0738,68303
Shadow Shaman,-0.9423,49.7181,225107
Undying,-0.9904,52.0033,59775
Lion,-1.0091,56.0832,208244
Kunkka,-1.0225,55.67,203032
Bane,-1.0423,57.6052,51346
Sniper,-1.06,52.2473,477997
Earthshaker,-1.0923,52.4223,369585
Lifestealer,-1.1434,56.8055,134788
Juggernaut,-1.149,55.4099,304514
Elder Titan,-1.2364,51.9516,37916
Lone Druid,-1.2602,64.6004,37105
Enigma,-1.2727,52.1245,95245
Pugna,-1.282,55.1418,103241
Visage,-1.3292,53.4221,33342
Pudge,-1.3425,51.3731,573502
Tusk,-1.3624,60.972,71354
Monkey King,-1.3765,55.9092,243847
Shadow Demon,-1.4014,57.5231,43386
Tidehunter,-1.4406,52.4231,83940
Clockwerk,-1.4581,51.829,92616
Bristleback,-1.4807,54.3377,196832
Witch Doctor,-1.5322,52.8751,132043
Magnus,-1.5848,58.625,121165
Disruptor,-1.6503,53.3146,114068
Silencer,-1.66,49.479,193690
Io,-1.6624,67.0917,35286
Nyx Assassin,-1.6843,53.1317,131620
Arc Warden,-1.7621,57.3129,49392
Beastmaster,-1.7691,58.413,29692
Puck,-1.856,60.2863,101537
Zeus,-1.9089,45.4835,173808
Phoenix,-2.1133,52.9875,57421
Oracle,-2.1163,61.5444,37178
Rubick,-2.1878,56.7981,204297
Earth Spirit,-2.5373,59.9294,66665
