Visage,5.4286,53.4223,599
Templar Assassin,3.6817,55.2511,1752
Terrorblade,3.2601,51.4674,1397
Omniknight,3.1612,45.9735,1664
Batrider,2.9364,57.0276,868
Chaos Knight,2.9027,45.3721,2096
Broodmother,2.7915,58.702,1017
Earth Spirit,2.7498,57.4891,1155
Brewmaster,2.7113,49.3548,620
Io,2.6709,62.7218,676
Meepo,2.5555,53.8598,1127
Lifestealer,2.4735,52.8798,2205
Tidehunter,2.2582,48.8145,1645
Treant Protector,2.1724,49.1554,1184
Night Stalker,2.1306,49.777,1794
Winter Wyvern,2.0533,49.6083,1149
Razor,1.7856,52.34,1282
Slardar,1.6258,48.2114,2516
Venomancer,1.5824,46.7844,3452
Phantom Assassin,1.5793,45.0492,6908
Abaddon,1.5472,44.8334,1171
Ogre Magi,1.4841,46.7495,2815
Juggernaut,1.4603,50.493,5070
Naga Siren,1.4527,54.6875,704
Wraith King,1.4435,42.9226,3052
Chen,1.3986,56.0411,389
Jakiro,1.3282,45.5874,1915
Spirit Breaker,1.3025,42.8438,4290
Shadow Demon,1.3014,52.3566,785
Rubick,1.2231,52.2558,2970
Phantom Lancer,1.2137,47.4101,2143
Troll Warlord,1.0644,45.7425,3535
Disruptor,0.9843,48.4525,1874
Beastmaster,0.9421,53.5657,631
Dragon Knight,0.9239,48.1351,1716
Dazzle,0.8865,47.9237,1469
Ursa,0.7723,44.4696,2640
Keeper of the Light,0.6871,49.3233,1995
Earthshaker,0.6706,46.9295,5960
Necrophos,0.6617,41.9609,5834
Underlord,0.6208,41.8674,996
Enchantress,0.6018,53.3333,990
Faceless Void,0.5487,48.1681,3712
Lion,0.3532,49.8228,3105
Tiny,0.2743,50.9242,2164
Warlock,0.2392,45.3497,1215
Centaur Warrunner,0.1996,42.5877,1538
Techies,0.197,48.9339,938
Tinker,0.1953,50.0802,2492
Viper,0.1753,46.4053,3853
Kunkka,0.1739,49.322,3540
Witch Doctor,0.155,47.2295,1895
Queen of Pain,0.1345,53.0125,2390
Timbersaw,0.0948,50.9568,1829
Spectre,0.0921,40.5597,2537
Sand King,0.0271,48.2795,2819
Slark,-0.0264,49.2977,3560
Riki,-0.1071,42.6845,3725
Bane,-0.1475,50.3012,996
Shadow Fiend,-0.2392,48.9776,4206
Arc Warden,-0.2432,51.4898,839
Pudge,-0.2599,45.3176,7902
Elder Titan,-0.2625,45.8689,702
Mirana,-0.3631,45.9249,4368
Windranger,-0.4182,47.33,4120
Monkey King,-0.4284,49.3725,3905
Storm Spirit,-0.4577,48.8687,2431
Alchemist,-0.5645,52.0586,2113
Undying,-0.5788,45.2907,1221
Axe,-0.581,44.1944,4134
Crystal Maiden,-0.5889,42.3894,3482
Luna,-0.6081,45.3544,2906
Clockwerk,-0.6244,45.4214,1649
Outworld Devourer,-0.6861,48.5055,1907
Invoker,-0.7274,48.6644,7525
Weaver,-0.7445,45.5266,3152
Puck,-0.7533,53.3296,1787
Lich,-0.8115,42.7036,2234
Lina,-0.8512,50.8058,2854
Bounty Hunter,-0.8633,47.5159,2355
Nyx Assassin,-0.9337,46.6257,2445
Shadow Shaman,-0.9528,43.0617,3142
Silencer,-0.9861,43.2685,2778
Lycan,-1.0268,48.6597,970
Morphling,-1.0305,50.0265,1885
Nature's Prophet,-1.0506,52.7828,2713
Magnus,-1.0857,51.4919,2346
Bristleback,-1.1381,47.408,3318
Sniper,-1.2139,44.964,6672
Legion Commander,-1.3916,47.4741,5226
Gyrocopter,-1.3935,49.2233,1030
Doom,-1.5095,49.8437,1280
Anti-Mage,-1.5099,46.3915,5210
Lone Druid,-1.5234,55.691,738
Ember Spirit,-1.6227,49.3939,1980
Pugna,-1.7023,47.3592,1723
Huskar,-1.7195,47.4548,2436
Vengeful Spirit,-1.8169,43.1971,1933
Tusk,-1.8688,52.498,1301
Zeus,-1.9361,39.1907,2669
Phoenix,-2.0628,45.6123,1037
Death Prophet,-2.1723,48.4896,1258
Medusa,-2.2073,48.4658,1597
Enigma,-2.2105,44.0462,1730
Clinkz,-2.3147,45.7061,2457
Bloodseeker,-2.3815,42.088,5795
Drow Ranger,-2.4057,43.6031,3064
Oracle,-2.6431,52.6262,990
Sven,-2.8021,42.0943,4345
Skywrath Mage,-2.9497,43.4486,1908
Ancient Apparition,-3.011,42.1085,1584
Leshrac,-4.6869,46.4748,695
