Legion Commander,3.5296,54.888,13216
Tidehunter,3.02,52.5946,2563
Lifestealer,2.6728,56.1576,4466
Centaur Warrunner,2.2273,47.4524,2630
Tiny,2.2143,55.8947,4029
Storm Spirit,1.9924,54.2844,4528
Techies,1.8185,53.5887,1853
Anti-Mage,1.7976,52.3997,9855
Underlord,1.5808,45.6678,1662
Zeus,1.5659,45.359,5236
Leshrac,1.442,55.6827,1223
Slark,1.4239,53.6582,7490
Lycan,1.4117,54.1289,1659
Wraith King,1.4063,45.6996,6046
Spectre,1.3776,44.5764,4628
Pudge,1.3421,49.6227,16436
Abaddon,1.3357,47.5187,1995
Huskar,1.2862,53.3718,5190
Phantom Assassin,1.1905,47.5947,13928
Bristleback,1.077,52.5071,6601
Alchemist,1.0657,56.7753,3771
Slardar,1.054,50.6116,4823
Shadow Fiend,0.9588,53.1165,8551
Treant Protector,0.9224,50.891,2020
Io,0.7128,64.0939,1192
Clockwerk,0.6477,49.6199,2763
Juggernaut,0.6467,52.7391,9985
Sven,0.6116,48.1704,8964
Mirana,0.6001,49.7423,8540
Enchantress,0.5992,56.4236,1728
Ember Spirit,0.5557,54.5919,3713
Batrider,0.5496,57.7931,1450
Ogre Magi,0.4954,48.6906,5919
Meepo,0.4328,54.8128,2244
Chen,0.4083,58.2181,651
Oracle,0.3945,58.9086,1521
Weaver,0.3903,49.5212,5953
Disruptor,0.3504,50.8157,3800
Crystal Maiden,0.3027,46.0725,7473
Nyx Assassin,0.2704,50.7823,4090
Night Stalker,0.238,50.9185,2885
Bane,0.2085,53.7027,1931
Windranger,0.112,50.7797,8657
Omniknight,0.1082,45.8027,3681
Lion,0.032,52.5003,6539
Broodmother,0.006,59.0824,1613
Drow Ranger,0.0026,48.8286,5677
Invoker,-0.0277,52.232,15994
Viper,-0.0336,49.1281,7513
Templar Assassin,-0.0395,54.6977,3342
Spirit Breaker,-0.0433,44.3847,8192
Necrophos,-0.1047,44.1587,14158
Luna,-0.1182,48.7669,5028
Clinkz,-0.179,50.7224,4637
Queen of Pain,-0.2057,55.7675,4560
Earth Spirit,-0.2831,57.6814,2122
Shadow Shaman,-0.2847,46.5666,6335
Enigma,-0.3123,48.8249,3234
Riki,-0.3246,45.3009,7161
Keeper of the Light,-0.3892,51.2645,3954
Lich,-0.3951,45.9618,4408
Warlock,-0.4095,47.5948,2162
Lina,-0.4326,54.278,5575
Witch Doctor,-0.4553,49.5876,3759
Puck,-0.4771,56.7405,3338
Troll Warlord,-0.5378,47.0936,6933
Sand King,-0.553,50.7006,5138
Rubick,-0.5601,53.5789,5728
Silencer,-0.5706,46.5417,5711
Doom,-0.5784,53.8426,2186
Kunkka,-0.6028,51.5939,6650
Tusk,-0.6223,56.857,2399
Ursa,-0.6555,45.9429,5361
Sniper,-0.7091,48.3348,13903
Medusa,-0.7355,52.9433,2752
Pugna,-0.7558,51.2755,3175
Bounty Hunter,-0.7826,50.5484,4467
Beastmaster,-0.822,54.8548,999
Jakiro,-0.831,46.3347,3656
Dragon Knight,-0.8635,49.3179,3372
Skywrath Mage,-0.9228,48.3502,3849
Arc Warden,-0.9474,53.8892,1607
Visage,-0.9547,49.9549,1111
Earthshaker,-0.9577,48.3632,11364
Vengeful Spirit,-0.9958,46.8741,3503
Chaos Knight,-1.0142,44.356,3898
Dark Seer,-1.08,51.9257,1454
Morphling,-1.0934,52.9871,3582
Razor,-1.1234,52.47,2085
Timbersaw,-1.1561,52.7308,3552
Monkey King,-1.1702,51.668,7194
Bloodseeker,-1.2854,45.9655,12257
Venomancer,-1.3284,46.9011,6454
Winter Wyvern,-1.3582,49.1228,2394
Tinker,-1.4219,51.5198,5165
Axe,-1.5577,46.3077,15194
Gyrocopter,-1.6009,52.0578,1798
Outworld Devourer,-1.6167,50.5717,3848
Death Prophet,-1.627,52.0607,2305
Lone Druid,-1.6548,58.7561,1222
Phantom Lancer,-1.8929,47.2895,4003
Faceless Void,-1.9125,48.7932,7085
Shadow Demon,-1.9834,52.0917,1482
Ancient Apparition,-2.0891,45.895,3983
Magnus,-2.1329,53.5495,3916
Phoenix,-2.2126,48.3833,1732
Nature's Prophet,-2.6756,54.3072,5038
Undying,-2.7369,46.0271,2064
Brewmaster,-2.7429,46.7871,996
Terrorblade,-3.2008,48.0167,2395
Naga Siren,-3.5401,52.7223,1102
Elder Titan,-4.668,44.322,1180
