Visage,5.1339,52.4813,806
Ember Spirit,3.3294,53.6227,3133
Treant Protector,3.1589,49.4684,1599
Brewmaster,2.9983,48.9561,958
Tidehunter,2.8831,48.7445,2509
Night Stalker,2.6968,49.6721,2593
Leshrac,2.5152,53.0932,1083
Disruptor,2.4957,49.2742,2549
Techies,2.4007,50.4725,1587
Pudge,2.3972,46.9122,12760
Axe,2.3452,46.1968,7875
Queen of Pain,2.2529,54.4793,3851
Storm Spirit,2.2239,50.8281,3683
Templar Assassin,2.1985,53.1907,2805
Dark Seer,2.1445,51.5103,1258
Necrophos,2.1248,42.5002,9247
Lifestealer,1.7034,51.4953,3678
Batrider,1.6635,55.1834,1254
Morphling,1.6274,52.0127,2832
Winter Wyvern,1.6231,48.5115,1478
Lich,1.5272,44.2307,3276
Zeus,1.5194,41.7255,5239
Earth Spirit,1.5001,55.6671,1394
Dazzle,1.4634,47.8017,2320
Oracle,1.3476,56.0126,948
Io,1.3197,60.8786,956
Sven,1.2345,45.1236,8736
Lone Druid,1.1475,57.8422,1103
Puck,1.1144,54.5878,2572
Outworld Devourer,1.0932,49.5878,3033
Timbersaw,1.083,51.2944,2897
Magnus,1.0701,53.0104,3056
Omniknight,1.033,43.1094,2605
Lion,0.8771,49.6662,5094
Nyx Assassin,0.8626,47.69,3420
Clockwerk,0.8256,46.1437,2282
Bane,0.8249,50.6338,1420
Centaur Warrunner,0.8064,42.4026,2389
Witch Doctor,0.761,47.1202,3160
Jakiro,0.7047,44.2256,2996
Juggernaut,0.6827,49.0889,9165
Spectre,0.6584,40.2935,3951
Phoenix,0.6126,47.5982,1374
Tinker,0.612,49.8341,3919
Sand King,0.5805,48.1462,3965
Ogre Magi,0.4765,45.0533,4215
Underlord,0.4264,40.8924,1367
Shadow Shaman,0.4206,43.6184,5179
Riki,0.3675,42.3774,6671
Bristleback,0.3506,48.125,6427
Rubick,0.3074,50.7607,4338
Ursa,0.2995,43.2544,4566
Tiny,0.2167,50.2288,3496
Enigma,0.1967,45.6995,2523
Spirit Breaker,0.1955,41.0284,7273
Doom,0.1688,50.8828,1869
Shadow Demon,0.1676,50.584,1113
Silencer,0.1056,43.5684,4338
Kunkka,0.0681,48.5708,5003
Slark,0.0223,48.6728,6028
Undying,-0.066,45.0805,1677
Wraith King,-0.0973,40.6771,6055
Terrorblade,-0.0975,47.4624,2128
Invoker,-0.1097,48.5312,12528
Crystal Maiden,-0.1483,42.0238,5040
Naga Siren,-0.1649,52.4667,1054
Earthshaker,-0.1869,45.4385,8517
Skywrath Mage,-0.1945,45.4293,2888
Anti-Mage,-0.2374,46.8645,8659
Troll Warlord,-0.2814,43.7239,5768
Keeper of the Light,-0.326,47.6642,2633
Meepo,-0.3395,50.3523,1845
Venomancer,-0.3468,44.2083,4895
Medusa,-0.3519,49.6477,2697
Tusk,-0.3738,53.4046,2056
Phantom Assassin,-0.3893,42.6238,13103
Viper,-0.465,45.0804,7338
Chen,-0.4865,53.5294,510
Gyrocopter,-0.5088,49.4591,1664
Legion Commander,-0.5541,47.556,9002
Enchantress,-0.5557,51.5757,1650
Arc Warden,-0.611,50.4854,1133
Slardar,-0.6803,45.2699,3890
Lycan,-0.6877,48.3302,1647
Luna,-0.7274,44.5042,5204
Lina,-0.7462,50.2716,4786
Huskar,-0.7524,47.707,4492
Alchemist,-0.7974,51.2195,3321
Vengeful Spirit,-0.8494,43.3942,2899
Bounty Hunter,-0.8803,46.8085,4042
Windranger,-0.8813,46.198,6615
Faceless Void,-0.9206,46.0801,5842
Monkey King,-0.9858,48.1866,6149
Pugna,-1.0327,47.3398,2575
Dragon Knight,-1.1583,45.3666,3518
Bloodseeker,-1.254,42.3775,10128
Abaddon,-1.3622,41.1511,1859
Broodmother,-1.3677,53.9877,1467
Elder Titan,-1.4771,43.9189,1036
Weaver,-1.5457,44.0295,5008
Phantom Lancer,-1.6256,43.9182,4308
Warlock,-1.6768,42.6934,1745
Ancient Apparition,-1.8904,42.4615,2275
Clinkz,-1.9471,45.3526,4551
Chaos Knight,-1.9953,39.808,3856
Shadow Fiend,-2.0955,46.5606,6978
Sniper,-2.154,43.4938,13956
Razor,-2.2447,47.6802,2177
Drow Ranger,-2.256,43.0059,5183
Mirana,-2.2614,43.4129,6528
Nature's Prophet,-2.3872,50.8953,3965
Beastmaster,-3.62,48.3253,836
