Timbersaw,1.7828,51.268,41283
Axe,1.6668,44.9589,93899
Tinker,1.6627,50.3626,53077
Earth Spirit,1.5701,54.8359,23563
Spectre,1.4985,40.293,58072
Elder Titan,1.4449,46.2005,15805
Templar Assassin,1.3072,51.7499,36715
Clockwerk,1.1178,45.9314,37556
Magnus,1.0745,52.2666,44824
Underlord,1.0381,40.9525,23349
Shadow Demon,1.0277,51.0662,16038
Techies,0.9945,48.4285,20777
Necrophos,0.9846,40.7096,138714
Phoenix,0.9444,47.4816,23468
Dark Seer,0.9304,49.7455,17883
Lich,0.8868,42.8189,47890
Centaur Warrunner,0.8826,41.9538,33985
Abaddon,0.8697,42.5567,28630
Jakiro,0.8481,43.559,39466
Night Stalker,0.7601,47.0507,35111
Tidehunter,0.7398,46.1008,34264
Pugna,0.7392,48.4424,38489
Earthshaker,0.6702,45.5726,122308
Omniknight,0.6606,42.277,39033
Pudge,0.6583,44.6862,179147
Nyx Assassin,0.599,46.8129,53184
Leshrac,0.5984,50.5949,14958
Silencer,0.5932,43.3988,65186
Morphling,0.5236,49.9427,41918
Lone Druid,0.5197,57.0196,15186
Sven,0.4994,43.5029,91272
Kunkka,0.4669,48.3688,71604
Lion,0.4661,48.7116,57787
Warlock,0.4583,44.0767,25054
Zeus,0.4565,39.7956,65374
Dazzle,0.4484,46.2507,32780
Dragon Knight,0.4463,46.3925,39890
Oracle,0.4412,54.888,15231
Winter Wyvern,0.3858,46.6644,23789
Beastmaster,0.3593,51.6088,12680
Visage,0.3568,46.541,13053
Brewmaster,0.3235,45.864,15051
Disruptor,0.3057,46.644,36785
Mirana,0.2779,45.2137,95838
Sand King,0.277,47.098,59684
Tiny,0.2505,49.8067,46321
Arc Warden,0.2199,50.4008,18837
Faceless Void,0.2182,46.6334,79385
Spirit Breaker,0.2177,40.4979,92859
Ember Spirit,0.2053,49.8418,47113
Rubick,0.1906,50.1218,65247
Ancient Apparition,0.1865,43.984,34001
Io,0.1651,59.1929,13358
Ogre Magi,0.1496,44.136,54588
Riki,0.1403,41.5222,87541
Juggernaut,0.1354,47.9549,103055
Puck,0.1304,53.1438,36866
Nature's Prophet,0.1009,52.561,52967
Shadow Fiend,0.0925,48.0815,89292
Gyrocopter,0.0897,49.2596,22625
Outworld Devourer,0.0587,47.9457,41207
Treant Protector,0.0579,45.6263,25242
Venomancer,0.0504,43.8715,76088
Bristleback,0.0425,47.2035,70876
Razor,-0.0035,49.4003,26933
Slark,-0.0153,48.1301,80463
Storm Spirit,-0.0524,47.9591,51327
Bane,-0.0585,49.6612,18894
Enigma,-0.0686,44.8654,35368
Windranger,-0.0891,46.4268,92830
Phantom Lancer,-0.0899,44.5709,50073
Weaver,-0.0986,44.8374,68251
Keeper of the Light,-0.105,47.2492,36699
Undying,-0.1105,44.4293,25015
Batrider,-0.1535,52.7369,16734
Vengeful Spirit,-0.2015,43.2865,39585
Tusk,-0.2103,52.9677,27462
Sniper,-0.2224,44.5511,142690
Shadow Shaman,-0.282,42.1046,67014
Chen,-0.3238,52.913,8170
Crystal Maiden,-0.3462,41.4379,66608
Witch Doctor,-0.4326,45.3966,41307
Alchemist,-0.5119,51.1887,42988
Luna,-0.5322,43.9816,58720
Terrorblade,-0.5717,46.1278,29273
Naga Siren,-0.5736,51.3329,14067
Monkey King,-0.6029,47.9119,88673
Legion Commander,-0.627,46.8639,117694
Skywrath Mage,-0.6289,44.29,42759
Troll Warlord,-0.6334,43.0065,71403
Queen of Pain,-0.6396,51.0136,50114
Ursa,-0.6692,41.8768,56136
Bloodseeker,-0.7901,41.999,127860
Invoker,-0.8726,47.1512,162178
Huskar,-0.8744,47.0626,52598
Lina,-0.8845,49.5739,59154
Lycan,-0.8971,47.4214,20632
Enchantress,-0.9146,50.7019,21938
Medusa,-0.9236,48.7493,35740
Broodmother,-0.9815,53.4646,20507
Phantom Assassin,-1.0041,41.4487,145693
Viper,-1.0176,43.8612,82273
Clinkz,-1.0606,45.5228,53751
Bounty Hunter,-1.0641,45.7401,56539
Slardar,-1.0943,44.1216,53314
Wraith King,-1.119,38.9365,74249
Anti-Mage,-1.1475,45.4194,116864
Drow Ranger,-1.1621,43.4246,60666
Chaos Knight,-1.4037,39.4734,49532
Lifestealer,-1.5357,47.6181,47526
Death Prophet,-1.6655,47.779,25867
Meepo,-1.9593,48.497,23886
