Templar Assassin,3.7371,58.343,4273
Clinkz,1.9677,52.6869,7127
Centaur Warrunner,1.8993,46.8767,3554
Visage,1.8674,52.6854,1173
Puck,1.7909,58.8854,3894
Spectre,1.6593,44.6088,5880
Weaver,1.6558,50.5843,7615
Clockwerk,1.6107,50.3941,3171
Phantom Assassin,1.5546,47.7323,21145
Storm Spirit,1.5386,53.691,5405
Chen,1.4355,59.1981,848
Shadow Fiend,1.4116,53.3836,10595
Gyrocopter,1.3885,54.97,2505
Windranger,1.3511,51.8067,9603
Nyx Assassin,1.3444,51.6571,4737
Riki,1.2805,46.6237,9937
Legion Commander,1.2306,52.6959,14058
Chaos Knight,1.2301,46.3343,6179
Brewmaster,1.207,50.6258,1438
Anti-Mage,1.2062,51.6881,12558
Earthshaker,1.1912,50.1622,12635
Broodmother,1.1691,60.2369,2110
Tusk,1.131,58.5598,2833
Arc Warden,1.1216,55.8282,1793
Winter Wyvern,1.0874,51.4617,2326
Death Prophet,1.0269,54.6333,3518
Undying,0.9917,49.6019,2512
Queen of Pain,0.9669,56.8321,5518
Magnus,0.9345,56.4682,4553
Bloodseeker,0.8778,47.7161,15150
Doom,0.8476,55.1478,2671
Tiny,0.8455,54.4233,5437
Dazzle,0.8408,50.6619,3399
Lina,0.8378,55.3957,6607
Lion,0.8193,53.1425,7653
Lifestealer,0.8155,54.1898,6110
Bane,0.7911,54.1518,1963
Techies,0.7294,52.3189,2458
Bounty Hunter,0.7272,51.8847,5969
Leshrac,0.6004,54.7333,1500
Ember Spirit,0.5872,54.4823,4607
Phoenix,0.466,50.9395,1969
Rubick,0.4609,54.4652,5554
Faceless Void,0.3923,50.8192,8605
Abaddon,0.3721,46.2777,2794
Slardar,0.3025,49.6838,7276
Nature's Prophet,0.2458,57.0803,5713
Naga Siren,0.2089,56.4939,1563
Morphling,0.1409,54.0999,4122
Tinker,0.1313,52.8883,5903
Terrorblade,0.1023,51.1685,3252
Night Stalker,0.1001,50.5842,3851
Bristleback,0.0995,51.3975,10483
Lycan,0.0908,52.6658,2457
Sven,0.0686,47.4703,14093
Juggernaut,0.0549,52.0261,14510
Luna,0.0411,48.6959,8052
Troll Warlord,0.0232,47.4306,8971
Medusa,0.0111,53.5752,3776
Zeus,0.0071,43.5927,7710
Witch Doctor,-0.0344,49.8126,4537
Axe,-0.0402,47.3955,12805
Ursa,-0.0408,46.3111,7482
Earth Spirit,-0.0908,57.679,2025
Sand King,-0.1442,50.9299,6022
Spirit Breaker,-0.1614,44.0375,11195
Meepo,-0.1963,54.053,2788
Alchemist,-0.219,55.3965,5170
Invoker,-0.2218,51.9428,18324
Monkey King,-0.2464,52.416,9230
Keeper of the Light,-0.283,51.1978,4049
Enigma,-0.3718,48.5794,3942
Skywrath Mage,-0.3771,48.6989,4189
Phantom Lancer,-0.3795,48.5845,6323
Viper,-0.4159,48.5796,11511
Huskar,-0.4249,51.5481,6976
Drow Ranger,-0.4894,48.1458,8117
Treant Protector,-0.4949,49.2653,2450
Disruptor,-0.5117,49.7627,3372
Oracle,-0.5583,57.7176,1367
Omniknight,-0.6206,44.8466,3619
Shadow Demon,-0.6401,53.3212,1656
Batrider,-0.6602,56.4488,1729
Ogre Magi,-0.687,47.3432,6267
Shadow Shaman,-0.6873,45.9422,7381
Wraith King,-0.8714,43.2671,9929
Vengeful Spirit,-0.8764,46.7781,4485
Tidehunter,-0.9902,48.3441,3684
Dark Seer,-0.9968,51.8648,1716
Silencer,-1.0073,45.8827,5987
Venomancer,-1.0944,46.9023,6844
Mirana,-1.1058,47.9381,9579
Crystal Maiden,-1.1497,44.4232,7334
Pudge,-1.1963,47.1911,19065
Kunkka,-1.2001,50.8481,7310
Lich,-1.2669,44.855,4898
Elder Titan,-1.2994,47.5347,1582
Lone Druid,-1.3562,59.0,1600
Sniper,-1.3569,47.617,21381
Jakiro,-1.5011,45.4376,4307
Razor,-1.5733,51.9165,3261
Pugna,-1.5951,50.2765,3616
Io,-1.788,61.4448,1315
Warlock,-1.8091,45.9702,2556
Enchantress,-1.8329,53.8855,2342
Outworld Devourer,-1.9588,50.0796,5022
Ancient Apparition,-1.9865,45.7708,3334
Slark,-2.4791,49.7884,9689
Beastmaster,-2.6707,52.8708,1254
Necrophos,-2.7033,41.4119,14165
Underlord,-2.9412,40.787,2160
Timbersaw,-3.1191,50.6814,5063
