Omniknight,2.6967,49.6635,89772
Anti-Mage,2.6102,54.5445,346313
Weaver,2.3643,52.7964,192407
Visage,2.2843,54.1869,29317
Ember Spirit,2.1727,57.7096,107093
Undying,2.1385,52.2599,54891
Enigma,2.1302,52.6243,85411
Underlord,1.9846,47.1541,50002
Phoenix,1.6644,53.8813,47226
Warlock,1.5381,50.6335,57768
Silencer,1.4677,49.6419,148878
Necrophos,1.4354,46.2344,324855
Death Prophet,1.3673,56.7612,71510
Ursa,1.3399,49.163,172703
Outworld Devourer,1.3069,54.9455,104942
Clinkz,1.303,53.5147,160707
Morphling,1.2419,56.5426,96994
Timbersaw,1.1627,56.5491,103678
Tidehunter,1.1409,52.0839,76826
Dark Seer,1.1347,55.799,40696
Invoker,1.1326,54.6131,472621
Pugna,1.1228,54.5615,89092
Elder Titan,1.1186,51.4184,36061
Shadow Shaman,1.1092,48.7765,180144
Chen,1.0693,60.5055,18119
Ancient Apparition,1.0467,50.3105,70035
Venomancer,0.8545,50.0959,157412
Rubick,0.8365,56.6115,131217
Oracle,0.8313,61.4404,31712
Terrorblade,0.8277,53.2137,76469
Bane,0.8196,56.4418,44382
Storm Spirit,0.7642,54.5123,122453
Kunkka,0.7154,54.3496,170636
Doom,0.703,56.5753,60666
Nyx Assassin,0.6672,52.5017,111463
Juggernaut,0.648,54.1385,318418
Medusa,0.6398,56.202,85061
Jakiro,0.6109,48.6819,97533
Abaddon,0.6104,47.6052,62699
Leshrac,0.6015,56.5222,34482
Disruptor,0.5855,52.5339,80803
Witch Doctor,0.5662,51.9684,102518
Dazzle,0.536,51.9219,80255
Lone Druid,0.4883,63.4878,38631
Earthshaker,0.4878,50.9025,301272
Treant Protector,0.4831,51.6325,59385
Queen of Pain,0.4771,58.1444,131531
Sven,0.4643,48.8305,305481
Razor,0.3587,55.6939,75308
Skywrath Mage,0.2747,50.6853,110018
Faceless Void,0.2726,52.3086,194205
Lina,0.2646,56.6327,163621
Bristleback,0.2491,53.0822,220697
Vengeful Spirit,0.1882,49.054,109255
Lich,0.1548,47.3891,112186
Lion,0.1473,54.146,170428
Troll Warlord,0.1443,49.1375,216889
Crystal Maiden,0.1203,47.1331,187664
Dragon Knight,0.0953,51.6354,114400
Windranger,0.0899,52.2138,252157
Alchemist,0.0774,57.8217,114258
Viper,0.0381,50.3438,268752
Zeus,-0.0016,44.4059,180505
Centaur Warrunner,-0.011,46.2674,83482
Huskar,-0.0296,53.6467,175679
Batrider,-0.034,58.9421,38665
Magnus,-0.1223,57.0471,109313
Shadow Demon,-0.1827,55.7016,37796
Lifestealer,-0.195,54.762,135194
Keeper of the Light,-0.2348,52.7793,90776
Earth Spirit,-0.2355,59.0683,51889
Brewmaster,-0.2606,50.8321,34010
Clockwerk,-0.2826,50.0359,80572
Templar Assassin,-0.2837,56.1386,106082
Beastmaster,-0.3146,56.8964,28355
Slardar,-0.3226,50.366,148062
Tiny,-0.3552,55.1083,133742
Io,-0.3928,65.1892,31496
Ogre Magi,-0.3974,49.0061,144331
Axe,-0.4529,48.328,279072
Puck,-0.5356,58.5915,96700
Luna,-0.5394,49.4078,175701
Sand King,-0.56,51.9017,139240
Techies,-0.5774,52.5591,68559
Bloodseeker,-0.6621,47.419,365102
Pudge,-0.6722,48.9493,518219
Arc Warden,-0.673,55.3854,45530
Riki,-0.6973,45.9096,260516
Night Stalker,-0.7008,51.1804,79712
Monkey King,-0.7346,53.5254,234268
Meepo,-0.8425,55.5231,72386
Wraith King,-0.8719,44.2269,204685
Mirana,-0.9974,49.4699,262141
Enchantress,-1.0441,56.6479,60929
Winter Wyvern,-1.1146,50.7178,59068
Shadow Fiend,-1.1213,52.6137,265514
Nature's Prophet,-1.1878,57.3288,132115
Lycan,-1.2036,52.867,54185
Tusk,-1.2676,58.0527,71466
Bounty Hunter,-1.2942,51.1136,155082
Gyrocopter,-1.3571,53.6384,60837
Naga Siren,-1.3984,56.5691,36801
Spirit Breaker,-1.3994,44.0669,282690
Spectre,-1.7392,42.1043,139812
Tinker,-1.8183,52.6842,150453
Legion Commander,-1.8701,51.3361,354086
Sniper,-2.0197,48.4917,584136
Chaos Knight,-2.1086,43.8504,143433
Slark,-2.2711,51.6564,240158
Phantom Lancer,-2.7785,47.3016,153314
Broodmother,-2.8547,57.7289,49502
Phantom Assassin,-4.181,43.9819,509127
