Ancient Apparition,1.7637,42.3432,29941
Crystal Maiden,1.5579,40.0705,66665
Invoker,1.3663,45.8134,163059
Storm Spirit,1.3464,46.1034,43513
Mirana,1.3024,42.9389,99241
Rubick,1.2561,47.8983,58954
Lich,1.1989,39.9257,43899
Sand King,1.0527,44.6258,53050
Riki,1.0482,39.1955,66061
Earthshaker,1.0337,42.6631,135623
Keeper of the Light,0.9391,45.0388,37199
Jakiro,0.8999,40.4018,37424
Disruptor,0.8798,43.973,36727
Spectre,0.8515,36.4987,47577
Shadow Shaman,0.755,39.9073,63928
Slark,0.7511,45.6536,65710
Pudge,0.7045,41.5409,180783
Omniknight,0.6864,39.1417,28941
Spirit Breaker,0.6341,37.715,81095
Morphling,0.6112,46.797,34624
Shadow Fiend,0.5973,45.3169,84677
Phoenix,0.5971,43.9068,20441
Weaver,0.5638,42.2859,52476
Dazzle,0.5474,43.1352,28821
Faceless Void,0.5144,43.7124,64453
Elder Titan,0.5139,42.0498,13484
Winter Wyvern,0.4969,43.5547,21605
Puck,0.4926,50.2308,37473
Visage,0.4685,43.4253,11917
Enigma,0.4611,42.1868,30244
Silencer,0.4603,40.0733,59481
Ogre Magi,0.448,41.2118,54659
Magnus,0.4108,48.3496,43961
Meepo,0.3906,47.6048,23861
Legion Commander,0.386,44.5921,98228
Witch Doctor,0.365,42.9741,35398
Chaos Knight,0.348,38.0249,35169
Lion,0.3109,45.3108,59670
Queen of Pain,0.2974,48.6762,45854
Slardar,0.2789,42.2498,48831
Centaur Warrunner,0.258,38.1694,26571
Underlord,0.2545,37.0115,18605
Windranger,0.2462,43.5439,74589
Treant Protector,0.2187,42.5836,20475
Wraith King,0.1965,37.0152,51106
Troll Warlord,0.1863,40.6038,57529
Nyx Assassin,0.135,43.1404,46446
Zeus,0.1263,36.3075,55724
Techies,0.1031,44.3216,17831
Skywrath Mage,0.1028,41.8088,36454
Outworld Devourer,0.0476,44.7198,34090
Clockwerk,0.0309,41.6424,32719
Venomancer,0.0214,40.6463,63986
Axe,-0.0146,40.1921,75868
Anti-Mage,-0.0203,43.2437,103601
Phantom Lancer,-0.0399,41.4421,35406
Vengeful Spirit,-0.0544,40.2381,33933
Phantom Assassin,-0.0803,39.0933,126909
Shadow Demon,-0.0959,46.6908,14913
Necrophos,-0.2002,36.4671,118663
Bristleback,-0.231,43.7532,52163
Lifestealer,-0.2553,45.6566,38645
Night Stalker,-0.2575,42.8266,29554
Monkey King,-0.2605,44.9972,82314
Abaddon,-0.2775,38.2722,19552
Tidehunter,-0.3203,41.8495,27109
Nature's Prophet,-0.3584,48.8611,46581
Kunkka,-0.3926,44.2985,70921
Warlock,-0.4073,40.0272,19839
Dark Seer,-0.4106,45.1597,14493
Io,-0.4185,55.3238,12754
Drow Ranger,-0.437,40.9316,51889
Ember Spirit,-0.4485,45.9678,39421
Ursa,-0.465,38.8975,42414
Lina,-0.5107,46.7045,51192
Tinker,-0.5593,44.966,50636
Juggernaut,-0.5754,44.0708,95242
Bounty Hunter,-0.5794,43.0141,43309
Medusa,-0.5827,45.8745,24046
Dragon Knight,-0.5873,42.1857,28723
Timbersaw,-0.6649,45.6274,34545
Tiny,-0.6902,45.6647,36722
Bane,-0.712,45.7682,15419
Pugna,-0.7124,43.7846,33530
Sven,-0.7134,39.1805,79177
Tusk,-0.7832,49.1382,23788
Batrider,-0.7984,48.8268,14619
Arc Warden,-0.9659,45.9639,17009
Terrorblade,-1.0127,42.4845,23079
Clinkz,-1.0392,42.3507,40056
Templar Assassin,-1.0842,46.1538,31057
Undying,-1.1281,40.2279,18860
Bloodseeker,-1.1313,38.4855,102033
Brewmaster,-1.1494,41.1832,11291
Chen,-1.2507,48.6921,6652
Broodmother,-1.2642,49.9028,15434
Oracle,-1.2676,49.8858,13583
Death Prophet,-1.4407,44.789,18701
Luna,-1.5974,39.7581,47389
Doom,-1.6016,45.164,23563
Sniper,-1.6784,40.0645,124479
Naga Siren,-1.7001,46.9393,10145
Viper,-1.7526,39.9691,63524
Alchemist,-1.7695,46.7242,32298
Gyrocopter,-1.9277,44.017,16146
Razor,-1.9491,44.2413,19041
Lone Druid,-1.9496,51.2347,12310
Enchantress,-2.2663,46.1053,16035
Leshrac,-2.5255,44.2009,11269
Beastmaster,-2.5825,45.3743,9977
Huskar,-2.6418,42.1413,39714
Lycan,-2.7822,42.3142,15815
