Chaos Knight,2.9236,48.1294,26009
Phantom Lancer,2.5353,52.7827,34462
Abaddon,1.3804,47.8667,7805
Crystal Maiden,1.3459,47.2052,28607
Terrorblade,1.3296,53.919,11074
Spirit Breaker,1.2655,45.5389,35978
Slark,1.0563,54.7475,29278
Troll Warlord,0.9915,49.1179,26870
Lycan,0.9881,55.1882,6746
Necrophos,0.887,44.7533,52300
Vengeful Spirit,0.862,49.3022,13401
Omniknight,0.8558,46.6816,12446
Sand King,0.8265,53.4017,25810
Ursa,0.8192,47.7642,18987
Phantom Assassin,0.79,47.5683,59199
Anti-Mage,0.7721,52.5493,45228
Dazzle,0.6553,51.6202,11480
Broodmother,0.6273,63.4106,8579
Slardar,0.6158,51.0622,22500
Ancient Apparition,0.6058,49.1117,12384
Riki,0.5655,46.3151,31005
Faceless Void,0.5654,52.246,30743
Undying,0.5651,50.0792,8201
Lich,0.5647,47.0611,17660
Weaver,0.5007,50.4329,23445
Underlord,0.4838,44.2248,7134
Windranger,0.4756,52.207,32306
Brewmaster,0.4329,50.8798,4035
Night Stalker,0.4308,52.1924,13136
Centaur Warrunner,0.4168,45.5903,11316
Luna,0.3803,49.9451,20957
Outworld Devourer,0.264,53.8216,15412
Bloodseeker,0.2142,47.6898,48243
Shadow Fiend,0.2069,53.7529,36971
Meepo,0.1848,57.3934,15737
Leshrac,0.1471,56.0354,4283
Jakiro,0.1413,47.5864,15185
Legion Commander,0.1246,53.0739,46927
Ogre Magi,0.1036,48.8489,23630
Enigma,0.0681,49.9385,14644
Beastmaster,0.0178,57.6744,3655
Wraith King,-0.0028,44.2738,23908
Silencer,-0.0086,47.2563,27281
Warlock,-0.0421,48.4586,8434
Mirana,-0.0464,49.871,40727
Pudge,-0.0604,49.0045,76446
Bounty Hunter,-0.0834,52.3712,18239
Visage,-0.1131,51.9235,4081
Shadow Shaman,-0.1161,46.9462,26279
Naga Siren,-0.162,58.3314,4543
Medusa,-0.1678,55.0745,10927
Queen of Pain,-0.2334,57.9707,20776
Witch Doctor,-0.2881,50.6252,14714
Bane,-0.3271,54.7039,6537
Venomancer,-0.3301,48.3183,27652
Zeus,-0.3494,43.168,23156
Nyx Assassin,-0.3652,51.1343,19924
Invoker,-0.385,53.2459,71489
Morphling,-0.4721,55.3188,14552
Gyrocopter,-0.4722,54.6439,6277
Axe,-0.4767,47.5725,38064
Shadow Demon,-0.5414,55.3374,6061
Keeper of the Light,-0.5556,52.3507,17356
Lion,-0.5659,53.3605,28418
Death Prophet,-0.5974,54.5614,8517
Lina,-0.6218,55.8757,22695
Drow Ranger,-0.6369,48.8269,22377
Disruptor,-0.6473,50.7642,15113
Storm Spirit,-0.6581,53.0085,19893
Bristleback,-0.7596,51.8289,26873
Pugna,-0.7748,52.5457,13729
Monkey King,-0.8613,53.3658,31745
Huskar,-0.8719,52.4282,17914
Skywrath Mage,-0.8721,49.0685,14494
Spectre,-0.9208,41.6777,21016
Juggernaut,-0.9272,52.5153,43871
Chen,-0.948,59.2907,2707
Tiny,-0.9538,54.2935,16094
Elder Titan,-0.9799,48.6644,5129
Kunkka,-0.9921,52.5146,29070
Nature's Prophet,-0.9986,58.3451,22516
Razor,-1.0465,53.9574,7808
Enchantress,-1.0784,56.5189,6274
Sven,-1.1146,46.8949,39420
Treant Protector,-1.1278,49.5925,7731
Magnus,-1.1293,56.8355,20174
Viper,-1.167,48.691,28535
Dragon Knight,-1.1672,49.8377,12635
Timbersaw,-1.2477,54.2586,15439
Tidehunter,-1.3317,48.8489,12684
Dark Seer,-1.3363,53.0704,5960
Winter Wyvern,-1.3988,50.0,8830
Batrider,-1.4827,58.1072,6340
Phoenix,-1.6231,49.8698,7299
Techies,-1.6533,51.1107,7022
Clinkz,-1.7214,50.117,16653
Clockwerk,-1.7759,47.5946,14239
Sniper,-1.7919,47.9484,59126
Doom,-1.7924,54.2363,8793
Tinker,-1.8388,52.4345,22283
Oracle,-1.8501,59.0359,5041
Ember Spirit,-1.8506,53.8374,17681
Rubick,-2.0274,54.1444,31874
Puck,-2.0345,57.6133,16366
Alchemist,-2.0577,55.4203,14953
Arc Warden,-2.2182,54.2283,6078
Lifestealer,-2.2789,52.6498,18435
Io,-2.7785,63.6701,4305
Templar Assassin,-3.0211,53.2018,12930
Earth Spirit,-3.0526,57.6945,10202
Lone Druid,-3.1679,59.823,5085
Tusk,-3.1876,56.363,9178
