Meepo,6.1081,61.1822,1015
Dazzle,4.8513,55.6779,1180
Techies,4.3572,56.9371,764
Chaos Knight,4.081,50.3546,1974
Visage,3.4589,55.2742,474
Morphling,3.2492,58.0097,1648
Shadow Demon,2.7323,57.607,677
Tusk,2.5042,60.6145,1074
Razor,2.469,56.8391,1082
Disruptor,2.3403,53.648,1398
Bane,2.3006,56.5508,748
Nyx Assassin,2.2154,53.5519,1830
Naga Siren,2.1244,59.1682,529
Death Prophet,1.7124,56.171,1029
Outworld Devourer,1.5747,54.5342,1621
Ogre Magi,1.5103,50.62,2258
Enigma,1.4814,51.5214,1446
Leshrac,1.454,56.4541,643
Treant Protector,1.4474,52.2975,914
Sand King,1.4125,53.454,2374
Crystal Maiden,1.3963,48.1347,2761
Night Stalker,1.355,52.8913,1418
Dragon Knight,1.3232,52.3687,1562
Earthshaker,1.2827,51.3183,5082
Keeper of the Light,1.2182,53.6799,1481
Axe,1.1856,49.691,3560
Venomancer,1.171,50.2594,2698
Tidehunter,1.034,51.497,1336
Spectre,1.0096,45.311,2090
Slark,0.9575,54.036,2998
Bristleback,0.8532,53.1327,2825
Slardar,0.8209,51.282,2145
Underlord,0.82,45.9595,792
Monkey King,0.7635,54.3144,3187
Terrorblade,0.7444,52.8239,1204
Doom,0.7008,55.8794,1029
Broodmother,0.6837,60.3985,803
Winter Wyvern,0.6572,52.0352,909
Necrophos,0.5915,45.7444,4641
Io,0.5354,64.3761,553
Omniknight,0.4667,47.2124,1417
Invoker,0.3914,53.4612,6096
Dark Seer,0.3282,54.1547,698
Magnus,0.3227,56.6916,1868
Ember Spirit,0.3119,55.1172,1749
Arc Warden,0.2963,55.8823,714
Lion,0.2884,53.5742,2490
Sven,0.2719,48.8114,3786
Silencer,0.2259,48.3065,2362
Lina,0.1011,55.5459,2317
Phantom Lancer,0.0215,50.1017,1966
Spirit Breaker,0.0198,45.5069,3472
Undying,0.0193,49.756,1025
Legion Commander,-0.0258,52.5537,4327
Skywrath Mage,-0.0533,50.1312,1524
Tiny,-0.094,54.4,1750
Pudge,-0.1071,49.2981,6625
Batrider,-0.1117,57.8078,666
Phantom Assassin,-0.1317,47.4022,5755
Faceless Void,-0.1411,51.3737,3385
Windranger,-0.1754,51.3893,3203
Ancient Apparition,-0.2515,48.722,1252
Shadow Shaman,-0.2865,47.5624,2523
Clockwerk,-0.3169,49.5928,1351
Zeus,-0.3377,44.594,2303
Queen of Pain,-0.3714,56.3314,1919
Witch Doctor,-0.3843,50.561,1604
Brewmaster,-0.388,50.0948,527
Viper,-0.3966,49.7122,3128
Bounty Hunter,-0.402,51.7956,1977
Centaur Warrunner,-0.5024,45.7767,1326
Medusa,-0.5371,53.9403,1307
Jakiro,-0.5514,47.619,1512
Pugna,-0.6692,52.2105,1425
Riki,-0.6867,45.9889,3079
Shadow Fiend,-0.7528,52.3487,3406
Ursa,-0.7864,46.8303,2240
Tinker,-0.8143,52.9383,2076
Rubick,-0.8172,54.1104,2299
Luna,-0.9059,48.9417,2268
Abaddon,-1.0112,46.1909,1037
Bloodseeker,-1.0426,47.1558,4729
Juggernaut,-1.0473,52.0188,4037
Lich,-1.0514,46.3526,1741
Weaver,-1.0709,49.0468,2518
Phoenix,-1.1059,50.4074,859
Storm Spirit,-1.1299,52.0583,1919
Vengeful Spirit,-1.2138,47.6557,1557
Chen,-1.2194,57.2347,311
Mirana,-1.3244,48.8606,3467
Kunkka,-1.3636,51.7089,2955
Nature's Prophet,-1.4412,56.2203,2106
Troll Warlord,-1.444,47.2073,2811
Templar Assassin,-1.6747,53.8407,1432
Oracle,-1.7721,57.2727,550
Huskar,-1.9076,51.1121,2113
Drow Ranger,-1.9207,47.9257,2531
Puck,-1.9836,55.9564,1469
Anti-Mage,-2.0571,49.7186,4087
Timbersaw,-2.3143,52.4017,1603
Sniper,-2.3688,47.8049,5763
Beastmaster,-2.4583,53.9594,543
Enchantress,-2.7087,53.8461,741
Gyrocopter,-2.8259,51.6609,873
Lycan,-2.8509,50.6976,860
Lone Druid,-2.9247,58.1288,652
Warlock,-3.0187,45.983,946
Wraith King,-3.1281,42.4368,2651
Alchemist,-3.1323,53.3952,1723
Lifestealer,-3.3136,51.1052,1900
Earth Spirit,-3.478,55.1412,885
Clinkz,-3.6364,48.2581,1952
