Templar Assassin,2.6416,53.4973,69366
Visage,2.4196,48.9224,19257
Spectre,2.3726,41.1732,99300
Chaos Knight,2.2203,43.1001,93285
Necrophos,2.1521,41.8381,234119
Pugna,1.9551,49.9738,61268
Ancient Apparition,1.8547,45.8487,53875
Phantom Lancer,1.8327,46.6401,101762
Sand King,1.7387,48.8109,99914
Underlord,1.6762,41.6561,37291
Shadow Demon,1.6296,52.0653,26146
Morphling,1.5709,51.3559,65229
Spirit Breaker,1.5563,41.856,156190
Puck,1.5086,54.9916,62464
Bloodseeker,1.4403,44.1918,227388
Zeus,1.4217,40.7799,114387
Winter Wyvern,1.3951,47.9498,37802
Lich,1.3657,43.4377,74532
Elder Titan,1.3376,46.3195,24318
Clockwerk,1.3375,46.3797,58049
Mirana,1.3293,46.4153,174145
Undying,1.228,45.9954,37969
Tinker,1.1778,50.228,90127
Dark Seer,1.141,50.3025,26603
Razor,1.1122,50.8813,43456
Terrorblade,1.1092,48.0805,50536
Earthshaker,1.0229,46.1057,225859
Centaur Warrunner,1.0183,42.1933,54127
Nyx Assassin,1.0163,47.4736,93298
Witch Doctor,0.9906,47.0546,66631
Axe,0.9566,44.4685,171195
Phoenix,0.8903,47.7039,35452
Pudge,0.8686,45.071,317104
Windranger,0.8526,47.5932,147252
Jakiro,0.8266,43.6861,66394
Warlock,0.8155,44.6158,39811
Queen of Pain,0.7789,52.8298,86188
Timbersaw,0.7754,50.6369,64761
Enigma,0.7141,45.8569,59400
Rubick,0.7104,51.0144,97494
Broodmother,0.7062,55.6998,33571
Slardar,0.6999,46.0873,96150
Ogre Magi,0.6634,44.8266,92764
Nature's Prophet,0.6572,53.5599,87388
Beastmaster,0.6475,52.3076,18959
Storm Spirit,0.6263,48.9311,91453
Meepo,0.6126,51.4783,55027
Kunkka,0.592,48.7903,127677
Magnus,0.4632,52.0805,77983
Naga Siren,0.3626,52.7292,23596
Night Stalker,0.3599,46.9089,56356
Venomancer,0.3501,44.3136,132713
Keeper of the Light,0.3494,47.9838,63265
Earth Spirit,0.2863,54.0321,39421
Bounty Hunter,0.2478,47.2884,91682
Shadow Shaman,0.2411,42.7384,117805
Weaver,0.2263,45.3672,109180
Batrider,0.2256,53.5848,27086
Lone Druid,0.209,57.2658,23803
Phantom Assassin,0.154,42.6557,268726
Abaddon,0.1316,41.9333,43178
Tidehunter,0.0833,45.6666,55581
Treant Protector,0.0795,45.8863,37850
Faceless Void,0.0757,46.7434,140071
Luna,0.0711,44.7631,99459
Vengeful Spirit,0.0342,43.6808,65871
Brewmaster,0.0303,45.8053,21849
Disruptor,0.0058,46.585,66517
Shadow Fiend,-0.025,48.247,173393
Lina,-0.0267,50.7818,99449
Crystal Maiden,-0.0994,41.7938,112330
Bane,-0.1353,49.934,28824
Lion,-0.1647,48.3993,104022
Invoker,-0.1792,48.0348,295837
Arc Warden,-0.1989,50.3432,29424
Doom,-0.2109,50.1581,47113
Bristleback,-0.2379,47.2146,113236
Lycan,-0.2408,48.3916,32394
Tusk,-0.2685,53.3695,44027
Sniper,-0.2942,44.7057,262320
Troll Warlord,-0.3964,43.4041,117696
Medusa,-0.4363,49.5849,56862
Skywrath Mage,-0.5442,44.5705,71112
Io,-0.6256,58.9742,19712
Dragon Knight,-0.7579,45.4376,63038
Riki,-0.8046,40.722,144558
Leshrac,-0.8157,49.5135,23125
Sven,-0.8594,42.3874,162239
Omniknight,-0.9486,40.8015,55944
Chen,-0.9579,52.6862,11652
Silencer,-0.9666,41.9942,121088
Monkey King,-0.9748,47.8566,159309
Dazzle,-0.9772,45.0634,50227
Alchemist,-1.0808,51.0285,69612
Legion Commander,-1.108,46.6848,216897
Slark,-1.1293,47.3641,132653
Gyrocopter,-1.1302,48.3557,36399
Wraith King,-1.1898,38.9178,111779
Tiny,-1.2676,48.6483,75503
Anti-Mage,-1.9094,44.9531,190685
Enchantress,-1.9673,50.018,33220
Death Prophet,-2.1563,47.5999,41040
Ursa,-2.1847,40.5094,95948
Techies,-2.202,45.4742,35541
Outworld Devourer,-2.2104,45.9674,73676
Clinkz,-2.4544,44.3908,84835
Oracle,-2.4964,52.369,23279
Viper,-2.5042,42.6302,130316
Drow Ranger,-2.5099,42.2903,107093
Lifestealer,-2.5326,46.9401,75641
Juggernaut,-2.6597,45.6181,188427
Huskar,-5.3171,42.9577,85470
