Earth Spirit,4.3885,56.4102,1092
Visage,4.0955,49.3313,673
Lone Druid,3.3502,57.8767,876
Undying,3.31,46.3987,1319
Lycan,3.1899,50.1116,1343
Winter Wyvern,2.9594,47.7674,1187
Outworld Devourer,2.9091,49.288,2177
Rubick,2.8847,51.1891,2733
Razor,2.8405,50.6445,1629
Viper,2.8226,46.1181,5178
Silencer,2.7653,44.1186,3001
Elder Titan,2.7396,46.1229,748
Templar Assassin,2.4305,51.2903,2170
Ember Spirit,2.194,50.3957,2274
Phoenix,2.1917,47.1001,1138
Treant Protector,2.1494,46.3675,1404
Techies,1.9963,47.9693,1305
Faceless Void,1.9641,46.7642,4234
Omniknight,1.876,41.927,1920
Doom,1.8702,50.4605,1520
Enigma,1.78,45.2075,1951
Underlord,1.726,40.1801,1110
Dragon Knight,1.6882,46.1144,2342
Broodmother,1.4664,54.6721,1220
Slardar,1.4348,45.2691,2991
Storm Spirit,1.2073,47.7547,2561
Jakiro,1.1201,42.607,2171
Anti-Mage,1.1166,46.0532,6119
Tusk,1.0596,52.6807,1604
Clockwerk,1.0337,44.2937,1770
Ancient Apparition,0.9778,43.2755,1673
Bloodseeker,0.9435,42.3327,7519
Skywrath Mage,0.9295,44.4719,2424
Bane,0.9242,48.6238,1199
Oracle,0.8513,53.3672,787
Io,0.8343,58.1818,770
Nyx Assassin,0.819,45.5801,2534
Witch Doctor,0.8056,45.1005,2337
Timbersaw,0.8001,48.9041,2327
Drow Ranger,0.7126,43.8086,4159
Bounty Hunter,0.6933,46.2526,3349
Lich,0.6828,41.3778,2424
Terrorblade,0.5803,46.0598,1637
Sven,0.5801,42.4797,5678
Spirit Breaker,0.5471,39.3528,5316
Invoker,0.5407,47.05,8712
Death Prophet,0.5351,48.4242,1650
Puck,0.5061,51.8518,1998
Warlock,0.4834,42.8154,1371
Brewmaster,0.4534,44.3053,799
Queen of Pain,0.4441,50.5837,2912
Kunkka,0.3851,46.7906,3817
Spectre,0.3816,38.0359,2729
Bristleback,0.3399,46.0517,4369
Beastmaster,0.31,50.193,777
Riki,0.2627,40.2711,5237
Necrophos,0.2573,38.7739,6574
Lifestealer,0.2381,47.9516,2978
Sniper,0.1944,43.4658,9810
Zeus,0.1865,38.4512,3745
Juggernaut,0.1818,46.5646,6404
Venomancer,0.1815,42.6782,3674
Tiny,0.1788,48.0803,2787
Monkey King,0.1409,47.1634,4724
Mirana,0.0754,43.5712,4861
Ogre Magi,0.0097,42.5599,3125
Lion,-0.0185,46.7191,3810
Pudge,-0.043,42.7436,9688
Disruptor,-0.0728,44.6659,1856
Earthshaker,-0.0871,43.481,6274
Wraith King,-0.1625,38.6114,4105
Clinkz,-0.3693,44.8165,3434
Shadow Demon,-0.4308,47.8781,919
Troll Warlord,-0.4329,41.5505,4592
Medusa,-0.4375,47.4639,1873
Luna,-0.4819,42.7009,3658
Alchemist,-0.5147,49.3714,2625
Weaver,-0.5551,42.9351,4027
Tinker,-0.5557,46.605,3137
Dazzle,-0.5673,43.7249,1745
Magnus,-0.5682,49.2863,2242
Dark Seer,-0.5796,46.6666,990
Abaddon,-0.6084,39.8986,1381
Huskar,-0.6494,45.7182,3620
Centaur Warrunner,-0.6804,38.9235,1765
Slark,-0.7092,45.8945,4628
Axe,-0.8125,41.2149,5350
Lina,-0.8168,48.0899,3691
Night Stalker,-0.8312,44.0993,2093
Gyrocopter,-0.9175,46.9433,1325
Shadow Fiend,-1.0484,45.4702,5199
Morphling,-1.0751,47.2412,2193
Batrider,-1.1568,50.202,990
Arc Warden,-1.2001,47.7884,1040
Crystal Maiden,-1.2849,38.9297,4074
Meepo,-1.309,47.2852,1455
Ursa,-1.3378,39.6593,4110
Nature's Prophet,-1.4274,49.6932,3260
Legion Commander,-1.5427,44.5838,6536
Keeper of the Light,-1.7462,44.1927,2075
Tidehunter,-1.7725,42.0721,1747
Naga Siren,-1.8072,48.6766,869
Vengeful Spirit,-1.8092,40.4138,2368
Phantom Lancer,-1.9956,41.5204,3078
Windranger,-2.1159,42.9778,5326
Shadow Shaman,-2.3006,38.9807,3630
Chen,-2.6503,49.217,447
Chaos Knight,-2.7599,37.068,2749
Pugna,-3.2941,43.0294,2073
Leshrac,-3.3093,45.0959,938
Sand King,-3.3515,42.2592,3178
Phantom Assassin,-4.7583,36.75,9151
