Omniknight,4.7826,51.3086,3859
Chaos Knight,3.7866,49.9418,5156
Spirit Breaker,3.5009,48.5751,9124
Gyrocopter,3.023,57.6188,2041
Lifestealer,2.801,57.1642,5346
Slardar,2.5052,52.8931,5634
Centaur Warrunner,2.1557,48.208,3153
Dark Seer,1.9933,55.9537,1730
Batrider,1.7809,59.9516,1653
Sand King,1.7512,53.8257,5659
Underlord,1.6725,46.5775,1870
Huskar,1.6588,54.6192,5423
Oracle,1.6374,60.9985,1382
Techies,1.6154,54.2293,1927
Phantom Lancer,1.4012,51.3894,4822
Axe,1.3772,49.7766,10073
Ogre Magi,1.294,50.3381,6210
Bounty Hunter,1.2844,53.462,4867
Outworld Devourer,1.2766,54.3261,4103
Razor,1.263,55.7762,2467
Viper,1.2517,51.2168,8218
Leshrac,1.2319,56.3829,1316
Troll Warlord,1.2299,49.6474,8085
Treant Protector,1.1813,52.0072,2192
Meepo,1.1188,56.4156,2829
Tiny,0.9606,55.5483,4650
Venomancer,0.9427,49.9407,6748
Slark,0.9421,54.0966,8446
Bane,0.888,55.2824,1912
Tidehunter,0.8376,51.2333,3527
Winter Wyvern,0.8232,52.2321,2240
Lone Druid,0.8172,62.2336,1549
Broodmother,0.7969,60.8031,1768
Ursa,0.7481,48.1544,5879
Bloodseeker,0.6945,48.6002,13467
Night Stalker,0.6837,52.2038,3199
Timbersaw,0.6603,55.4567,4160
Io,0.6036,64.9484,1358
Lion,0.5773,53.9314,6677
Crystal Maiden,0.5443,47.1363,7281
Terrorblade,0.5374,52.639,2804
Sven,0.5203,48.935,11033
Dazzle,0.3819,51.2419,3261
Dragon Knight,0.3803,51.4205,3942
Lycan,0.3404,53.9419,2169
Wraith King,0.335,45.5033,7072
Pudge,0.3253,49.6039,20073
Magnus,0.2882,56.8736,5412
Tusk,0.253,58.6852,2723
Puck,0.2399,58.3545,3926
Keeper of the Light,0.2253,52.741,4086
Necrophos,0.2,45.1734,13291
Luna,0.1945,49.8975,5856
Pugna,0.1799,53.0906,3462
Naga Siren,0.1599,57.4144,1315
Legion Commander,0.1588,52.7309,13457
Shadow Fiend,0.1582,53.2187,9833
Lich,0.0345,47.2153,4435
Visage,-0.0024,51.806,1052
Earthshaker,-0.0557,50.0614,14644
Monkey King,-0.1203,53.5609,8846
Queen of Pain,-0.1505,56.7394,5312
Tinker,-0.1882,53.6006,5735
Death Prophet,-0.2659,54.3004,2523
Disruptor,-0.2796,51.0369,3568
Zeus,-0.3019,44.3755,5645
Earth Spirit,-0.3252,58.5152,2290
Arc Warden,-0.3507,55.3581,1745
Doom,-0.4581,54.8439,2467
Phantom Assassin,-0.469,46.9781,17125
Clockwerk,-0.4857,49.3296,3282
Invoker,-0.5346,52.6731,18499
Juggernaut,-0.6041,52.4524,12192
Shadow Shaman,-0.6084,47.079,6402
Vengeful Spirit,-0.6456,48.0707,4069
Ancient Apparition,-0.6486,48.1707,3116
Ember Spirit,-0.7225,54.2062,4529
Faceless Void,-0.7229,50.7828,8048
Anti-Mage,-0.7634,50.8902,12356
Windranger,-0.7694,50.8165,9001
Witch Doctor,-0.8027,50.0891,3925
Storm Spirit,-0.8038,52.4064,5236
Skywrath Mage,-0.8233,49.3005,3860
Undying,-0.865,48.7716,2198
Jakiro,-0.9501,47.0557,3770
Templar Assassin,-1.005,54.6049,3822
Beastmaster,-1.0132,55.6097,1230
Lina,-1.1495,54.4622,6006
Phoenix,-1.2712,50.2155,1856
Shadow Demon,-1.3023,53.6712,1539
Morphling,-1.395,53.6011,4207
Elder Titan,-1.4316,48.4557,1457
Mirana,-1.6263,48.5039,9859
Drow Ranger,-1.7065,48.0081,6376
Nyx Assassin,-1.8396,49.5395,4669
Enchantress,-1.9132,54.7924,1951
Brewmaster,-2.0114,48.3794,1265
Kunkka,-2.0667,51.0464,7454
Rubick,-2.1246,53.0504,11785
Riki,-2.1347,44.4034,7862
Nature's Prophet,-2.2241,55.6617,5652
Bristleback,-2.3232,50.0944,7408
Alchemist,-2.3389,54.3019,4742
Sniper,-2.4449,47.626,15544
Medusa,-2.4748,52.0947,3294
Weaver,-2.4829,47.6003,6605
Clinkz,-2.6462,49.1704,4822
Warlock,-2.9506,45.8652,2612
Chen,-3.1036,55.5269,778
Silencer,-3.3349,44.7326,10679
Abaddon,-3.3493,43.6033,2259
Spectre,-3.3642,40.7407,5427
