Weaver,4.3562,52.8196,16846
Lifestealer,3.3799,56.6157,11004
Slark,2.2976,54.1474,20145
Dazzle,1.9598,51.3758,7159
Invoker,1.9292,53.5502,39772
Omniknight,1.843,46.5256,8318
Chen,1.7641,59.6377,1546
Razor,1.7415,55.1178,5686
Bounty Hunter,1.5674,52.3809,11865
Abaddon,1.303,46.4962,5280
Witch Doctor,1.2492,50.6593,9252
Undying,1.2231,49.3077,4839
Ancient Apparition,1.2152,48.3925,7154
Juggernaut,1.2126,52.824,27762
Medusa,1.1519,54.5709,7482
Ursa,0.8961,46.5322,13193
Wraith King,0.8854,44.0945,16451
Enigma,0.7852,49.2171,8048
Vengeful Spirit,0.7507,47.7549,9599
Clockwerk,0.6612,48.8867,7321
Ogre Magi,0.6587,48.0729,12947
Windranger,0.6201,50.6915,21256
Death Prophet,0.5439,53.9198,5842
Slardar,0.4764,49.3601,12190
Lycan,0.4757,52.7869,4539
Batrider,0.4643,57.7007,3636
Jakiro,0.4637,46.6975,9054
Underlord,0.4536,43.2879,4410
Bloodseeker,0.4468,46.6431,30058
Sniper,0.4198,48.611,37547
Silencer,0.3743,46.4961,15597
Queen of Pain,0.3622,56.251,12414
Lich,0.329,45.675,10347
Legion Commander,0.3263,51.5117,28741
Kunkka,0.3185,52.0219,16766
Bristleback,0.2991,51.2227,16643
Shadow Fiend,0.2748,51.9877,21909
Treant Protector,0.2653,49.5557,4952
Elder Titan,0.2635,48.5647,3414
Sven,0.1784,46.9094,23507
Disruptor,0.13,49.9607,8915
Templar Assassin,0.1296,54.5988,8350
Necrophos,0.1225,43.1138,30830
Spectre,0.1211,42.0029,13530
Gyrocopter,0.11,53.4494,4537
Spirit Breaker,0.0913,43.386,21228
Rubick,0.0884,53.98,15452
Keeper of the Light,0.0856,51.2197,9756
Venomancer,0.0761,47.4098,16119
Sand King,0.0413,50.724,13258
Timbersaw,0.0305,53.6211,9265
Huskar,-0.0212,51.6051,12086
Drow Ranger,-0.033,48.0211,14529
Viper,-0.066,48.3636,18609
Beastmaster,-0.0827,55.4476,2368
Arc Warden,-0.0869,54.4949,3782
Mirana,-0.142,48.3057,22813
Zeus,-0.2085,42.4443,14049
Winter Wyvern,-0.2715,49.6275,5370
Shadow Shaman,-0.279,45.6097,15113
Warlock,-0.3033,46.8301,5300
Crystal Maiden,-0.3228,44.4175,16104
Oracle,-0.3278,58.2127,3178
Dragon Knight,-0.3338,49.1807,8605
Pugna,-0.3409,51.2051,8298
Chaos Knight,-0.3802,43.9385,10344
Centaur Warrunner,-0.4489,43.6204,7093
Nyx Assassin,-0.4525,49.4055,11776
Troll Warlord,-0.5118,46.2246,18356
Monkey King,-0.5469,51.8339,19412
Pudge,-0.5634,47.169,44332
Lion,-0.5769,51.4562,15073
Techies,-0.6103,50.5681,4576
Storm Spirit,-0.6319,51.2284,12780
Ember Spirit,-0.6542,53.1027,11216
Bane,-0.6886,52.4167,4262
Tusk,-0.7073,56.7543,5700
Lina,-0.7275,53.7006,13795
Outworld Devourer,-0.7349,50.9525,9711
Night Stalker,-0.7543,49.2577,8084
Dark Seer,-0.764,51.8318,3712
Nature's Prophet,-0.7655,56.1167,12809
Terrorblade,-0.794,49.8378,6475
Clinkz,-0.7971,49.5131,12017
Earthshaker,-0.8053,47.7539,30743
Magnus,-0.8053,54.7028,10802
Shadow Demon,-0.8141,52.9747,3681
Phoenix,-0.819,49.161,4589
Earth Spirit,-0.8247,57.1022,4928
Brewmaster,-0.8839,47.9276,2654
Tinker,-0.9343,51.5441,13373
Puck,-0.9595,56.246,9478
Luna,-1.0387,47.0343,13437
Leshrac,-1.0463,52.8181,2821
Riki,-1.0606,43.5468,20029
Phantom Lancer,-1.0752,47.3223,10849
Phantom Assassin,-1.1992,44.5081,37820
Axe,-1.2066,45.5934,21139
Morphling,-1.4845,52.3,10000
Tidehunter,-1.5067,47.2332,7319
Anti-Mage,-1.5675,48.6328,32038
Doom,-1.6007,52.4944,5833
Skywrath Mage,-1.6895,46.7713,9230
Alchemist,-1.7988,53.6868,9805
Lone Druid,-1.8582,58.7939,3383
Tiny,-2.1261,51.1724,10150
Enchantress,-2.2997,53.2357,4234
Broodmother,-2.8361,56.2409,4150
Naga Siren,-2.8382,53.3209,3237
Visage,-2.9447,47.2178,2552
Io,-3.3815,60.2591,2778
Meepo,-4.0527,49.8456,5830
