Visage,3.8222,50.8966,10205
Undying,2.2518,47.6625,21027
Timbersaw,2.1515,52.4499,33348
Earth Spirit,1.9412,55.9829,16146
Beastmaster,1.7019,53.7854,11280
Templar Assassin,1.5276,52.769,34850
Naga Siren,1.5191,54.2862,14908
Night Stalker,1.3519,48.4874,29387
Pugna,1.245,49.7841,29648
Terrorblade,1.2265,48.7577,28336
Ember Spirit,1.1995,51.6442,36399
Chen,1.1508,55.1924,6365
Batrider,1.1348,54.8355,14321
Arc Warden,1.1203,52.1254,15691
Ursa,1.1165,44.4845,51854
Dazzle,1.0426,47.7002,24916
Nyx Assassin,1.0374,48.1035,39205
Lone Druid,1.0362,58.335,14271
Drow Ranger,1.0025,46.3615,60837
Shadow Demon,0.993,51.8504,13213
Winter Wyvern,0.9529,48.0855,18465
Phoenix,0.9177,48.3121,17211
Meepo,0.9067,52.1755,21167
Leshrac,0.9024,51.7303,13986
Death Prophet,0.8778,51.1447,23455
Io,0.8209,60.5799,10449
Razor,0.8008,51.0249,27806
Lion,0.7428,49.8116,47264
Tiny,0.7396,51.0995,41697
Dark Seer,0.721,50.3646,14260
Elder Titan,0.7087,46.3222,13337
Enchantress,0.6978,53.1336,20264
Slardar,0.6946,46.7182,44854
Warlock,0.6819,45.1788,20410
Bane,0.658,51.2067,15703
Nature's Prophet,0.6358,53.887,41561
Clinkz,0.5867,47.9691,47493
Kunkka,0.5737,49.3167,54961
Morphling,0.5265,50.7743,32349
Rubick,0.5051,51.2801,42416
Bounty Hunter,0.5013,48.107,47783
Oracle,0.4692,55.6764,11213
Tidehunter,0.4308,46.6599,26721
Broodmother,0.4267,55.6786,18869
Vengeful Spirit,0.3883,44.7338,37627
Underlord,0.335,41.1767,17930
Treant Protector,0.3255,46.7578,20388
Disruptor,0.3012,47.5003,26364
Shadow Shaman,0.2988,43.5433,50382
Skywrath Mage,0.2027,45.9749,34136
Earthshaker,0.1864,45.9918,85302
Necrophos,0.1827,40.8029,92753
Windranger,0.1439,47.5033,70115
Ogre Magi,0.1287,44.9868,41750
Omniknight,0.1096,42.6382,29429
Ancient Apparition,0.0843,44.7713,23897
Lycan,0.0731,49.234,19909
Crystal Maiden,0.0713,42.7243,52607
Monkey King,0.0553,49.3708,70655
Lina,0.0358,51.2808,49461
Alchemist,0.0266,52.5228,37022
Witch Doctor,0.0212,46.7049,32230
Axe,-0.0004,44.2646,73770
Troll Warlord,-0.008,44.4793,61986
Outworld Devourer,-0.0123,48.7157,33677
Jakiro,-0.0449,43.5636,30755
Tusk,-0.0604,53.9175,25220
Doom,-0.0829,50.7403,22625
Phantom Lancer,-0.1041,45.4133,50047
Storm Spirit,-0.1229,48.7373,37975
Sven,-0.1414,43.7771,76709
Chaos Knight,-0.1493,41.5968,45602
Invoker,-0.1522,48.6638,112895
Queen of Pain,-0.1612,52.2921,40312
Magnus,-0.2053,51.8253,34431
Dragon Knight,-0.2243,46.5828,35468
Tinker,-0.2354,49.3509,41521
Clockwerk,-0.2401,45.4637,27633
Venomancer,-0.3786,44.3405,54413
Brewmaster,-0.3795,46.0161,12965
Pudge,-0.3871,44.6273,132141
Techies,-0.3911,47.8825,18088
Sand King,-0.3991,47.2977,45296
Silencer,-0.4249,43.2987,47066
Luna,-0.4577,44.9204,54227
Bristleback,-0.4807,47.5469,58355
Phantom Assassin,-0.4898,42.8195,128885
Shadow Fiend,-0.5045,48.3546,74299
Mirana,-0.5185,45.3303,75658
Lich,-0.563,42.2945,34586
Legion Commander,-0.5829,47.7496,93651
Bloodseeker,-0.6064,43.0359,100365
Enigma,-0.6946,45.1148,28075
Medusa,-0.7194,49.7789,31439
Abaddon,-0.7531,41.8402,23377
Centaur Warrunner,-0.7713,41.2135,28527
Anti-Mage,-0.7777,46.614,86755
Faceless Void,-0.7851,46.5349,61730
Puck,-0.8168,53.0088,28516
Weaver,-0.8701,44.9636,57909
Keeper of the Light,-0.9117,47.302,27836
Viper,-0.9196,44.8226,72073
Spirit Breaker,-0.9306,40.3189,75069
Sniper,-0.9335,44.7994,131216
Zeus,-0.96,39.3365,51311
Slark,-1.0725,47.9638,67088
Riki,-1.073,41.2726,71316
Spectre,-1.2691,38.5234,44251
Huskar,-1.426,47.3634,48947
Lifestealer,-1.6733,48.316,42073
Juggernaut,-1.7204,47.0709,88356
Wraith King,-1.8372,39.1563,58532
