Zeus,6.0719,46.9604,155810
Ember Spirit,5.1595,57.0422,85470
Venomancer,4.3545,50.0326,131748
Pugna,3.7751,53.6345,74754
Phoenix,3.5771,52.2499,39868
Underlord,3.4189,45.1576,41302
Clockwerk,3.2931,50.1367,62906
Spectre,2.8136,43.2957,106186
Bounty Hunter,2.8088,51.6175,125002
Lich,2.6402,46.4006,93559
Disruptor,2.4478,50.8489,63899
Skywrath Mage,2.3631,49.2311,91629
Storm Spirit,2.3567,52.4824,96579
Anti-Mage,2.2839,50.637,258791
Earth Spirit,2.245,57.8586,39714
Keeper of the Light,2.239,51.686,68442
Queen of Pain,2.2062,56.1493,103971
Techies,2.1774,51.7491,54169
Tidehunter,2.1014,49.4845,62569
Batrider,1.9406,57.2286,31147
Night Stalker,1.8558,50.2071,68052
Nyx Assassin,1.8492,50.1126,88748
Silencer,1.7853,46.4498,116924
Timbersaw,1.7584,53.4851,91274
Winter Wyvern,1.7398,50.0741,48544
Tiny,1.7304,53.5108,108477
Puck,1.5893,56.9698,72828
Jakiro,1.5857,46.1647,77336
Warlock,1.5317,47.0794,46670
Leshrac,1.5037,53.769,29318
Elder Titan,1.4539,48.1817,30607
Arc Warden,1.45,53.8829,35965
Luna,1.2663,47.65,139708
Gyrocopter,1.2402,52.6365,48947
Visage,1.2141,49.4518,23989
Meepo,1.0879,53.7816,53812
Ogre Magi,1.011,46.893,111590
Bloodseeker,0.9934,45.448,333222
Magnus,0.9925,54.4599,82378
Undying,0.967,47.4616,47571
Clinkz,0.9553,49.5178,140321
Dragon Knight,0.925,48.863,98989
Alchemist,0.9196,54.9405,94544
Sand King,0.9086,49.7815,113552
Sniper,0.8545,47.4255,442268
Earthshaker,0.8222,47.6793,234894
Kunkka,0.8171,50.8299,137417
Treant Protector,0.806,48.3741,48929
Morphling,0.7929,52.4041,76910
Doom,0.7194,52.9373,52598
Lone Druid,0.7124,59.7971,30560
Mirana,0.6973,47.5667,191800
Death Prophet,0.6469,52.3116,60975
Razor,0.5933,52.2255,64141
Bane,0.5914,52.5326,38536
Centaur Warrunner,0.5567,43.3676,68777
Outworld Devourer,0.556,50.5442,90774
Faceless Void,0.4412,48.8803,156742
Dark Seer,0.4166,51.3715,32117
Chen,0.4098,56.0189,14745
Rubick,0.3943,52.5269,97329
Spirit Breaker,0.3819,42.3299,233624
Lycan,0.2479,50.7133,45278
Viper,0.2417,46.9471,241548
Tusk,0.2378,55.8221,57728
Crystal Maiden,0.1682,43.7055,143913
Tinker,0.1317,51.0026,119137
Weaver,0.082,46.9287,159514
Pudge,-0.0073,46.0008,398795
Abaddon,-0.0227,43.414,55945
Lina,-0.0426,52.6232,134091
Drow Ranger,-0.0655,46.3532,175679
Naga Siren,-0.0848,54.1655,29480
Io,-0.1578,61.5192,25683
Juggernaut,-0.1589,49.7436,252758
Shadow Fiend,-0.2197,49.8637,211027
Slark,-0.3054,49.9447,188310
Templar Assassin,-0.319,52.3916,90461
Medusa,-0.3644,51.4875,69714
Oracle,-0.3684,56.4842,28500
Enchantress,-0.4427,53.5218,51635
Vengeful Spirit,-0.4652,44.8564,86224
Terrorblade,-0.4885,48.2246,62947
Omniknight,-0.5128,42.8537,76768
Monkey King,-0.5277,50.0943,193423
Invoker,-0.5822,49.4787,357321
Witch Doctor,-0.5917,47.2079,83130
Dazzle,-0.6,47.168,70304
Nature's Prophet,-0.6071,54.1889,106018
Sven,-0.6078,44.281,259454
Slardar,-0.7804,46.3493,118843
Lion,-0.8123,49.5519,133355
Axe,-0.8215,44.4428,266349
Shadow Shaman,-1.1099,43.0732,145529
Lifestealer,-1.225,50.0565,119303
Beastmaster,-1.3209,52.1331,23674
Ursa,-1.4311,42.8042,169121
Wraith King,-1.4854,40.16,179950
Bristleback,-1.5405,47.6857,194748
Brewmaster,-1.5549,45.8863,29220
Shadow Demon,-1.7354,50.4228,30982
Enigma,-1.7604,45.081,70411
Necrophos,-1.7698,39.8037,293578
Phantom Assassin,-1.9994,42.4481,423479
Riki,-2.0116,41.1573,217298
Legion Commander,-2.1837,47.4463,298569
Windranger,-2.2733,46.3254,219076
Troll Warlord,-2.7088,42.7769,199259
Broodmother,-2.8096,54.037,43311
Ancient Apparition,-3.664,41.844,84086
Phantom Lancer,-3.8428,42.6785,135103
Chaos Knight,-4.5489,37.9043,129344
