Wraith King,4.697,44.8662,463306
Chaos Knight,3.3408,44.6109,309796
Necrophos,3.143,42.3496,1009681
Spectre,3.0821,41.5406,351550
Zeus,2.9551,41.8663,468152
Abaddon,2.7982,45.2548,140734
Underlord,2.7147,42.8623,118365
Sven,2.3908,46.0791,759771
Lich,2.2927,44.7574,296556
Omniknight,1.9848,43.9788,228155
Spirit Breaker,1.971,42.0836,662677
Medusa,1.9575,54.456,190122
Axe,1.944,46.1504,687883
Jakiro,1.7316,45.0677,265784
Centaur Warrunner,1.5994,42.9378,193929
Silencer,1.4859,44.4076,545589
Sniper,1.4394,47.1735,1411787
Luna,1.4329,47.1141,396100
Viper,1.3816,47.4192,612177
Crystal Maiden,1.3191,43.1869,507500
Shadow Shaman,1.2812,44.0468,479966
Ursa,1.2809,44.4282,364689
Venomancer,1.2661,46.041,436671
Ancient Apparition,1.2408,46.0481,200108
Troll Warlord,1.1816,45.6351,500180
Terrorblade,1.1557,49.7438,159461
Enigma,1.1377,47.3526,235349
Phantom Lancer,1.1122,47.0197,324464
Ogre Magi,1.0982,45.9372,416579
Warlock,1.0975,45.6963,139950
Tinker,1.044,52.5794,495192
Riki,1.0157,42.4655,604671
Vengeful Spirit,0.9548,45.2842,248431
Kunkka,0.9331,51.123,502087
Dark Seer,0.8681,52.1623,95845
Pudge,0.8012,45.7028,1501498
Dragon Knight,0.7376,48.284,245493
Earthshaker,0.7128,46.8083,914633
Elder Titan,0.6969,46.7103,83277
Bloodseeker,0.6635,43.8515,928977
Undying,0.6006,46.3649,126863
Brewmaster,0.5842,47.6327,73059
Dazzle,0.5816,47.8755,218195
Witch Doctor,0.5806,47.9079,268402
Tidehunter,0.5255,47.2872,192606
Mirana,0.5174,46.5332,772506
Huskar,0.4675,50.5212,357321
Legion Commander,0.4054,49.8028,924988
Sand King,0.3158,48.9466,373188
Clockwerk,0.2889,46.3141,203899
Bristleback,0.252,49.2962,498125
Treant Protector,0.1563,47.1167,143590
Techies,0.1471,49.5503,153234
Slark,0.1353,50.4852,582544
Disruptor,0.1347,48.0717,245460
Anti-Mage,0.1259,48.1868,984952
Slardar,0.1026,46.4645,401515
Doom,0.0805,52.8487,162178
Shadow Fiend,0.0799,50.3125,907326
Skywrath Mage,0.0486,46.0288,293829
Phantom Assassin,-0.0707,42.4884,1358866
Meepo,-0.0971,53.5245,202227
Drow Ranger,-0.1039,45.3871,472623
Lion,-0.1663,50.3106,459984
Gyrocopter,-0.1685,51.3361,112895
Phoenix,-0.1779,47.9936,128417
Windranger,-0.2023,47.9136,678063
Weaver,-0.2102,45.8362,440433
Juggernaut,-0.2647,49.6154,841208
Winter Wyvern,-0.3061,47.4898,152201
Night Stalker,-0.3106,47.5457,193521
Ember Spirit,-0.3534,51.9651,295837
Razor,-0.4183,51.3123,132473
Keeper of the Light,-0.4536,48.7526,267054
Beastmaster,-0.4703,53.645,62056
Death Prophet,-0.4746,51.4482,158229
Nyx Assassin,-0.5687,47.1355,316740
Lina,-0.5696,52.8403,434520
Lycan,-0.6202,49.7752,106559
Leshrac,-0.6848,51.8064,74400
Outworld Devourer,-0.7079,49.1963,300022
Tiny,-0.8682,51.1884,290427
Timbersaw,-0.968,51.0014,257638
Rubick,-0.9761,51.9292,504242
Bounty Hunter,-1.0157,47.3712,354337
Monkey King,-1.0636,49.634,632175
Pugna,-1.0784,48.5166,265680
Faceless Void,-1.0881,46.851,491686
Naga Siren,-1.1188,53.6667,68875
Magnus,-1.2215,53.1608,315031
Visage,-1.2941,46.1752,76777
Clinkz,-1.32,46.7188,360936
Alchemist,-1.3589,53.5413,285768
Bane,-1.3645,50.747,105352
Arc Warden,-1.4231,51.4322,120372
Shadow Demon,-1.5285,50.9851,96326
Morphling,-1.5531,50.2775,261202
Storm Spirit,-1.5721,48.384,392131
Lifestealer,-1.6524,49.7718,342348
Queen of Pain,-1.7387,53.2505,379423
Batrider,-1.8262,54.3516,94321
Enchantress,-1.855,52.6099,122150
Chen,-1.9811,54.6022,42718
Nature's Prophet,-2.1274,53.7618,359679
Tusk,-2.34,54.1579,159753
Oracle,-2.47,55.6639,83228
Earth Spirit,-2.7872,54.1861,163060
Lone Druid,-2.9408,57.7477,86102
Templar Assassin,-3.1323,49.9085,277746
Puck,-3.2002,53.6214,298427
Io,-4.3625,59.6016,78127
Broodmother,-4.3879,53.325,109200
