Techies,4.414,43.1944,720
Spectre,4.0369,34.4993,1658
Brewmaster,3.4649,40.1544,518
Abaddon,3.3586,36.7298,844
Batrider,3.3138,47.411,618
Night Stalker,3.307,41.0107,1207
Templar Assassin,3.2167,44.8327,1345
Riki,2.6901,35.4347,2887
Skywrath Mage,2.6326,38.9889,1444
Tidehunter,2.4851,39.1304,1058
Tiny,2.2006,42.8484,1650
Faceless Void,2.1289,39.7408,2778
Clockwerk,2.082,38.1753,1129
Warlock,2.0806,37.2716,821
Pudge,1.9234,37.3017,6493
Ancient Apparition,1.911,37.0284,1299
Shadow Shaman,1.7727,35.7661,2343
Invoker,1.7659,40.8924,6006
Disruptor,1.7528,39.2572,1508
Zeus,1.6799,32.7956,2046
Underlord,1.6659,33.0188,742
Wraith King,1.6422,33.2356,2389
Centaur Warrunner,1.6139,34.0929,1097
Silencer,1.3419,35.6143,1929
Dragon Knight,1.2687,38.5551,1315
Phantom Assassin,1.1762,34.8136,5314
Anti-Mage,1.1418,38.9163,3839
Omniknight,1.1201,34.0772,1165
Sniper,1.1003,37.1231,5207
Legion Commander,1.0397,39.7752,4093
Lifestealer,0.7055,41.2296,1659
Shadow Demon,0.6957,41.7818,651
Axe,0.6696,35.4734,3084
Spirit Breaker,0.6587,32.3688,3318
Ember Spirit,0.6253,41.6399,1561
Lina,0.6083,42.2646,2146
Meepo,0.4872,41.8556,970
Tusk,0.4765,44.8416,979
Gyrocopter,0.4713,41.129,744
Keeper of the Light,0.4702,39.1682,1611
Bloodseeker,0.2897,34.6127,4299
Viper,0.1814,36.5108,2717
Broodmother,0.1713,46.0835,766
Bristleback,0.1702,38.7394,2491
Winter Wyvern,0.1409,37.7659,940
Lich,0.0782,33.6716,1675
Ursa,0.0751,33.9055,2097
Clinkz,0.0323,38.0512,1950
Windranger,0.03,37.8302,3217
Mirana,-0.0407,36.3227,3111
Bounty Hunter,-0.0504,38.3769,1910
Earthshaker,-0.1017,36.3298,4305
Arc Warden,-0.1094,41.6543,677
Magnus,-0.1144,42.5,1560
Monkey King,-0.128,39.7312,2902
Juggernaut,-0.3524,38.9118,3878
Slark,-0.3599,39.0516,2868
Morphling,-0.4093,40.6911,1418
Phantom Lancer,-0.4114,35.9299,1656
Jakiro,-0.4613,33.935,1385
Sand King,-0.4642,37.8869,2035
Luna,-0.5303,35.5232,2131
Chaos Knight,-0.5533,32.1263,1519
Storm Spirit,-0.5542,38.8465,1838
Shadow Fiend,-0.5795,38.7406,3224
Tinker,-0.6086,39.3753,1953
Undying,-0.6107,35.3409,880
Sven,-0.645,34.2183,3352
Phoenix,-0.6703,37.0656,777
Elder Titan,-0.7168,35.4838,558
Medusa,-0.7908,39.9277,1107
Crystal Maiden,-0.8419,32.2662,2749
Troll Warlord,-0.8577,34.0275,2689
Queen of Pain,-0.8688,42.088,1839
Lion,-0.8896,38.6971,2579
Rubick,-0.9087,40.3039,1908
Alchemist,-0.9111,41.7636,1633
Necrophos,-0.9419,30.6198,4275
Enchantress,-0.9513,41.8181,770
Nyx Assassin,-1.1698,36.484,1661
Weaver,-1.19,35.1955,2327
Bane,-1.2075,39.2812,807
Treant Protector,-1.2077,35.8733,853
Oracle,-1.2594,43.979,573
Dazzle,-1.2711,35.874,1207
Enigma,-1.2742,35.0515,1358
Venomancer,-1.3124,34.1232,2321
Timbersaw,-1.3806,39.5669,1524
Ogre Magi,-1.3889,34.0837,2221
Slardar,-1.4003,35.3846,1820
Visage,-1.4397,36.575,473
Vengeful Spirit,-1.4509,33.6486,1480
Puck,-1.5708,42.5685,1386
Death Prophet,-1.5947,39.1213,956
Naga Siren,-1.9098,41.3333,525
Razor,-1.9128,38.7347,901
Outworld Devourer,-1.9646,37.3333,1425
Earth Spirit,-2.0998,42.668,982
Witch Doctor,-2.2062,34.9968,1583
Lycan,-2.2558,37.485,835
Doom,-2.3132,39.0969,908
Terrorblade,-2.4024,35.9451,1021
Drow Ranger,-2.4048,33.7038,2249
Huskar,-2.636,36.6525,1888
Pugna,-2.6975,36.452,1336
Dark Seer,-2.7726,37.2781,676
Lone Druid,-3.3868,43.8235,680
Leshrac,-4.8421,36.3494,641
Nature's Prophet,-4.9763,39.0306,2352
Kunkka,-5.1723,34.3375,2921
Beastmaster,-7.3748,35.2272,528
Chen,-9.4067,35.1485,404
