Meepo,2.749,60.6822,38957
Chaos Knight,2.6206,50.6674,74610
Visage,2.0009,55.6288,19400
Axe,1.892,52.4653,153528
Beastmaster,1.6572,60.4286,16795
Phantom Lancer,1.6381,53.5892,74918
Templar Assassin,1.439,59.3712,58498
Enigma,1.3591,53.631,51955
Medusa,1.2837,58.4013,47790
Terrorblade,1.2001,55.2894,40874
Treant Protector,1.1477,54.1009,36223
Naga Siren,1.1251,60.5477,18767
Warlock,1.0963,52.049,38823
Dazzle,1.0508,54.2243,51049
Dragon Knight,1.0155,54.3236,60863
Wraith King,0.9587,48.1388,107082
Sand King,0.898,55.1,90263
Troll Warlord,0.8962,51.7678,109396
Omniknight,0.8731,49.7693,53555
Crystal Maiden,0.81,49.813,119545
Spectre,0.8051,46.8139,83050
Spirit Breaker,0.7186,48.1921,150620
Tiny,0.7011,57.6918,65758
Vengeful Spirit,0.6713,51.4557,61035
Slardar,0.6673,53.1675,83835
Lycan,0.6437,56.3942,27939
Ursa,0.59,50.3709,85581
Razor,0.5371,57.3835,37746
Leshrac,0.4684,57.9305,20257
Earthshaker,0.4167,52.6668,203874
Centaur Warrunner,0.3614,48.6922,49170
Techies,0.3504,55.1556,30559
Underlord,0.3438,47.5008,32831
Legion Commander,0.3263,55.0987,183868
Sven,0.3183,50.6106,157542
Kunkka,0.3156,55.6356,112241
Faceless Void,0.2594,54.0491,120420
Shadow Shaman,0.2133,49.857,121341
Shadow Demon,0.208,57.7289,25204
Riki,0.1997,48.8043,124532
Lone Druid,0.1306,64.2063,20702
Tidehunter,0.1236,52.8527,51267
Witch Doctor,0.1093,53.3026,70081
Broodmother,0.0775,62.0935,28420
Monkey King,0.0334,55.9215,135808
Luna,0.026,51.8381,93655
Shadow Fiend,-0.0163,55.3539,144593
Puck,-0.0317,60.519,57529
Lich,-0.0507,49.1604,82129
Ancient Apparition,-0.0583,51.0566,52385
Dark Seer,-0.0632,56.1932,25544
Chen,-0.0953,60.6856,11085
Night Stalker,-0.097,53.5791,50137
Timbersaw,-0.109,56.8328,58431
Outworld Devourer,-0.1394,55.1472,61276
Winter Wyvern,-0.1537,53.4978,37738
Phoenix,-0.1608,53.7676,33310
Gyrocopter,-0.1633,56.4363,30755
Abaddon,-0.1657,48.8087,37229
Brewmaster,-0.1835,52.7219,19637
Lion,-0.1946,55.4736,106492
Ogre Magi,-0.2006,51.1044,99731
Disruptor,-0.2112,53.5179,61826
Elder Titan,-0.2417,51.8442,21987
Bane,-0.2546,56.931,27918
Magnus,-0.2577,58.4483,69126
Skywrath Mage,-0.2597,51.9833,65546
Alchemist,-0.2618,58.902,58419
Undying,-0.2938,51.59,34559
Batrider,-0.3477,60.0768,24194
Morphling,-0.3588,56.5112,57700
Mirana,-0.3798,51.9171,157189
Invoker,-0.3859,54.9322,265784
Keeper of the Light,-0.4378,54.3223,63195
Storm Spirit,-0.4609,54.9597,74147
Slark,-0.4656,55.0859,120626
Tusk,-0.4791,60.2307,39870
Nyx Assassin,-0.4823,53.1297,77115
Nature's Prophet,-0.4983,59.4874,79252
Venomancer,-0.5282,50.6244,112501
Oracle,-0.5412,61.4859,21979
Drow Ranger,-0.5453,51.318,97533
Windranger,-0.5503,53.3451,137900
Lina,-0.571,57.3307,92324
Pudge,-0.5762,50.919,294713
Zeus,-0.578,45.9858,106050
Bristleback,-0.6027,53.9455,111010
Necrophos,-0.6257,46.429,207243
Queen of Pain,-0.6946,58.4401,75253
Clockwerk,-0.715,51.4561,55350
Io,-0.7549,65.9449,19351
Tinker,-0.7691,55.3912,84786
Ember Spirit,-0.7832,56.3138,66394
Silencer,-0.8633,49.2634,101493
Bounty Hunter,-0.9279,53.2259,78458
Bloodseeker,-0.9326,49.1146,196192
Phantom Assassin,-0.949,48.7725,246817
Doom,-1.0109,56.4395,39467
Arc Warden,-1.0548,56.5754,27291
Death Prophet,-1.0835,55.7997,39864
Anti-Mage,-1.1172,52.7752,171897
Lifestealer,-1.1535,55.4007,72147
Weaver,-1.1715,51.1114,96808
Earth Spirit,-1.2292,59.5981,37424
Enchantress,-1.3436,57.7358,30307
Huskar,-1.4778,53.8352,77336
Juggernaut,-1.5655,53.7342,174987
Pugna,-1.5696,53.5536,59994
Viper,-1.5998,50.6162,138412
Rubick,-1.9662,55.4926,102583
Sniper,-1.9879,50.2893,251399
Clinkz,-2.2655,51.6816,79566
