Spectre,4.3085,43.9572,250655
Zeus,3.698,43.8559,318406
Underlord,3.0707,44.2152,80366
Centaur Warrunner,2.354,44.7022,129857
Jakiro,2.1038,46.2657,174987
Ember Spirit,2.0699,54.3818,188427
Kunkka,1.9754,52.2202,328336
Nyx Assassin,1.93,50.2152,202783
Phoenix,1.9151,50.6011,82514
Wraith King,1.817,42.5641,364673
Clockwerk,1.7217,48.378,138689
Bloodseeker,1.7042,45.6877,634332
Crystal Maiden,1.5915,44.5899,304515
Lich,1.4155,44.6424,197393
Pudge,1.4007,46.9776,883713
Necrophos,1.3931,41.9648,614045
Elder Titan,1.3886,47.9621,55940
Ancient Apparition,1.3704,46.8244,127459
Viper,1.2746,47.7695,427381
Phantom Assassin,1.2712,44.7857,922179
Gyrocopter,1.2212,52.929,88356
Silencer,1.1393,45.3578,271887
Tidehunter,1.1298,48.3638,134032
Slardar,1.1289,48.1086,250059
Tinker,1.1011,52.2555,256275
Brewmaster,1.0923,48.5629,51877
Venomancer,1.0733,46.4553,291598
Treant Protector,1.058,48.543,93692
Spirit Breaker,1.0273,42.2153,447224
Warlock,0.9825,46.2031,92959
Enigma,0.8233,47.5088,151835
Pugna,0.816,50.7629,155915
Earthshaker,0.781,47.4365,550304
Sand King,0.7755,49.6775,244219
Techies,0.773,50.4007,101064
Abaddon,0.7142,43.6452,102474
Ogre Magi,0.6664,46.2,257593
Skywrath Mage,0.6229,47.2675,181355
Timbersaw,0.6086,52.6268,167523
Undying,0.5054,46.766,87369
Sniper,0.442,46.8147,872925
Bristleback,0.4291,49.6786,354283
Witch Doctor,0.3876,48.0855,175404
Chaos Knight,0.377,42.2535,217492
Arc Warden,0.3343,53.1157,71956
Invoker,0.3196,50.3845,841208
Keeper of the Light,0.3185,49.8041,159838
Vengeful Spirit,0.2905,45.2379,168834
Leshrac,0.2841,52.8212,52920
Batrider,0.2357,56.1779,63888
Omniknight,0.204,42.9309,155934
Phantom Lancer,0.1966,46.4972,234416
Bounty Hunter,0.1418,48.9412,231604
Huskar,0.1301,50.2563,252758
Lifestealer,0.1077,51.6683,220092
Disruptor,0.1067,48.3959,151147
Riki,0.1052,42.5666,397981
Shadow Shaman,0.0974,43.7048,312439
Naga Siren,0.0598,54.8148,51840
Dragon Knight,0.0266,47.8207,191467
Luna,-0.0186,46.0016,309339
Night Stalker,-0.0264,48.2049,135063
Winter Wyvern,-0.0792,48.1195,98328
Shadow Demon,-0.1463,52.3998,62212
Mirana,-0.1589,46.4757,453239
Axe,-0.1732,44.5834,508209
Sven,-0.2217,44.076,559335
Windranger,-0.2509,48.2237,401354
Drow Ranger,-0.2579,45.8614,318418
Earth Spirit,-0.4299,55.9291,95242
Slark,-0.4359,49.9503,409937
Terrorblade,-0.4462,48.2152,118114
Doom,-0.4463,52.045,103055
Rubick,-0.4498,52.0787,281568
Tiny,-0.4891,51.5461,201340
Troll Warlord,-0.499,44.504,356188
Visage,-0.5119,47.5451,46642
Dark Seer,-0.5497,50.5458,64031
Shadow Fiend,-0.5602,49.6322,460801
Ursa,-0.5641,43.1165,279902
Alchemist,-0.5689,53.9777,187279
Outworld Devourer,-0.5899,49.4547,173512
Tusk,-0.6148,55.6431,112082
Storm Spirit,-0.6484,49.5497,213787
Dazzle,-0.651,46.9595,131726
Monkey King,-0.67,50.1105,408872
Death Prophet,-0.6758,51.2188,117035
Magnus,-0.6949,53.2612,191751
Medusa,-0.7212,51.3893,136030
Lina,-0.7544,52.2864,264707
Lion,-0.7926,49.6909,298378
Faceless Void,-0.8883,47.4502,344270
Morphling,-0.9407,50.9007,168469
Weaver,-0.9455,45.6255,296873
Bane,-1.0008,51.1099,70094
Beastmaster,-1.0476,52.7979,43460
Queen of Pain,-1.0565,53.3711,217089
Clinkz,-1.0733,47.3724,259271
Oracle,-1.0792,56.4282,51935
Enchantress,-1.0966,53.2664,88046
Chen,-1.117,54.9919,27184
Puck,-1.2846,54.7467,162426
Legion Commander,-1.3557,48.2067,608863
Nature's Prophet,-1.3806,53.9754,218179
Anti-Mage,-1.3922,47.0306,598807
Broodmother,-1.4168,56.0781,71395
Templar Assassin,-1.4445,51.5668,165496
Razor,-1.4761,50.2531,106674
Lycan,-1.5182,48.9393,79382
Lone Druid,-2.0996,57.818,58333
Meepo,-2.6052,50.2879,119991
Io,-2.6182,60.1012,48771
