Wraith King,4.1961,46.6572,9229
Bristleback,3.5711,53.2844,8586
Medusa,3.4015,55.5304,4430
Techies,3.1279,53.2654,2358
Terrorblade,2.0094,51.6078,3203
Necrophos,1.9566,44.2152,16146
Abaddon,1.7767,46.2056,2820
Enchantress,1.5468,55.8072,2075
Windranger,1.3566,50.3238,10500
Timbersaw,1.2856,53.6077,5904
Luna,1.2015,48.3523,6585
Ancient Apparition,1.1699,47.4203,4361
Phoenix,1.1461,50.1455,2405
Underlord,1.1403,43.4268,2282
Winter Wyvern,1.1131,50.0,2776
Legion Commander,1.0453,51.054,14089
Centaur Warrunner,1.0144,44.496,3443
Weaver,0.9949,48.4529,7498
Broodmother,0.9733,58.5951,2292
Spectre,0.9562,42.3914,6473
Naga Siren,0.9065,55.6693,1367
Troll Warlord,0.8899,46.777,8455
Sven,0.8367,46.6855,10937
Gyrocopter,0.7959,52.8455,2091
Shadow Fiend,0.7608,51.2864,11116
Witch Doctor,0.7557,49.1105,4722
Warlock,0.7541,47.0629,2843
Omniknight,0.7226,44.6711,4166
Skywrath Mage,0.7092,48.2865,4844
Axe,0.6554,46.5518,10397
Phantom Lancer,0.6287,48.0984,5443
Viper,0.6136,48.0762,9175
Jakiro,0.5655,45.9864,5008
Vengeful Spirit,0.5649,46.7258,4505
Monkey King,0.5536,51.6981,10600
Invoker,0.5517,51.0999,22456
Lina,0.5404,53.6315,7311
Shadow Demon,0.5298,53.0712,2035
Lich,0.406,44.9982,5698
Tusk,0.3951,56.3521,2999
Alchemist,0.3759,54.4996,4767
Dazzle,0.3468,48.6696,3984
Tiny,0.341,52.4322,5016
Brewmaster,0.3226,48.2274,1354
Oracle,0.2931,57.2379,1803
Riki,0.2907,44.1743,9956
Dragon Knight,0.2871,48.8021,4049
Death Prophet,0.2716,52.3357,2633
Undying,0.263,47.3643,2580
Razor,0.2508,52.2445,2584
Storm Spirit,0.1335,50.8203,6948
Earthshaker,0.088,47.6492,17356
Outworld Devourer,0.0778,50.6217,4664
Bane,0.0675,51.9463,2235
Silencer,0.0529,45.4082,7666
Juggernaut,0.0211,50.5296,13406
Slardar,-0.0124,47.8847,6524
Leshrac,-0.0793,52.5542,1566
Morphling,-0.0924,52.4037,5013
Nature's Prophet,-0.1422,55.2535,7357
Faceless Void,-0.1756,48.7802,9756
Enigma,-0.1987,47.2589,4086
Zeus,-0.2049,41.8839,7134
Mirana,-0.21,47.3017,12471
Tidehunter,-0.2364,47.6135,3457
Sniper,-0.2466,47.0634,17708
Sand King,-0.2479,49.3405,6976
Venomancer,-0.2797,46.19,9134
Chaos Knight,-0.3361,43.314,5003
Ursa,-0.347,44.5246,6237
Shadow Shaman,-0.3784,44.7349,8528
Earth Spirit,-0.4113,56.0212,3006
Lone Druid,-0.4119,58.5223,1719
Magnus,-0.4617,53.6268,5542
Rubick,-0.4859,52.0685,7759
Kunkka,-0.4908,50.0537,9302
Doom,-0.5021,52.2965,2765
Lion,-0.5124,50.3607,9287
Tinker,-0.6223,50.6694,7170
Disruptor,-0.6856,48.0912,4820
Dark Seer,-0.7186,50.6766,1995
Anti-Mage,-0.7292,48.3966,14532
Slark,-0.7404,49.9741,9687
Pugna,-0.7515,49.6453,4653
Crystal Maiden,-0.7624,43.2878,9520
Drow Ranger,-0.8092,46.3428,7123
Nyx Assassin,-0.8262,48.0011,7004
Ogre Magi,-0.9148,45.6103,7700
Elder Titan,-0.935,46.4214,1495
Ember Spirit,-0.987,51.4427,5233
Treant Protector,-0.9929,47.2605,2683
Pudge,-1.012,45.9044,23074
Io,-1.092,60.8317,1611
Chen,-1.2412,54.9661,886
Bounty Hunter,-1.324,48.3727,6084
Lycan,-1.3672,49.682,2359
Bloodseeker,-1.3684,44.1414,14705
Arc Warden,-1.371,51.8226,2030
Huskar,-1.3945,49.1016,5566
Templar Assassin,-1.417,51.6878,4088
Beastmaster,-1.6347,52.4539,1304
Spirit Breaker,-1.6485,41.1017,10783
Meepo,-1.7263,51.0295,2914
Puck,-1.7789,53.8853,4903
Lifestealer,-1.8766,50.0344,5806
Visage,-1.8873,47.3393,1447
Clockwerk,-2.1499,45.0853,4161
Clinkz,-2.5841,46.7053,5509
Queen of Pain,-2.6111,51.8301,6311
Batrider,-2.6257,52.9979,1968
Night Stalker,-2.9027,46.0349,6469
Phantom Assassin,-3.1882,41.9358,17708
