Meepo,3.6419,56.5239,72502
Visage,3.2605,51.5743,34523
Tidehunter,2.1542,49.4657,91162
Chen,2.0864,58.0135,19935
Chaos Knight,2.0033,44.4183,128805
Warlock,1.7641,47.1729,66235
Io,1.4932,63.8999,38842
Centaur Warrunner,1.4224,44.0613,87074
Enigma,1.2306,48.0294,97763
Abaddon,1.188,44.5101,66960
Spectre,1.1676,41.3477,149846
Phantom Lancer,1.1454,47.6435,132553
Sand King,1.0989,49.9318,163505
Underlord,1.0362,42.384,58515
Crystal Maiden,1.0061,44.3299,203032
Lich,0.9916,44.5347,129124
Spirit Breaker,0.9911,42.739,263555
Oracle,0.9888,58.2122,40342
Shadow Shaman,0.9597,44.9576,191071
Beastmaster,0.9232,54.5813,30417
Legion Commander,0.8593,50.2675,346540
Storm Spirit,0.8417,50.9574,137085
Ogre Magi,0.8031,46.5363,165546
Shadow Demon,0.7957,53.2329,52383
Axe,0.7568,45.8546,267842
Broodmother,0.7549,57.8481,49604
Anti-Mage,0.728,49.1227,321399
Dazzle,0.7278,48.4601,88875
Terrorblade,0.7078,49.4156,73078
Nyx Assassin,0.7016,48.8886,133976
Pugna,0.6864,50.4823,100853
Ancient Apparition,0.6675,46.2111,92244
Earthshaker,0.596,47.3469,372829
Leshrac,0.5914,52.8647,36077
Lion,0.531,50.8822,176313
Dark Seer,0.5014,51.5016,45251
Vengeful Spirit,0.4829,45.6882,107995
Disruptor,0.4455,48.7411,108196
Luna,0.4254,46.732,157162
Necrophos,0.4194,41.6287,378712
Pudge,0.4127,46.2686,566126
Witch Doctor,0.3971,48.1339,112189
Mirana,0.3952,47.1584,291282
Morphling,0.3888,52.0416,107587
Night Stalker,0.3564,48.613,89836
Skywrath Mage,0.3266,47.0755,113972
Queen of Pain,0.3081,54.3431,139324
Troll Warlord,0.2809,45.6343,192193
Zeus,0.2732,41.0325,177135
Venomancer,0.2614,45.8069,199996
Viper,0.2489,46.9085,219930
Elder Titan,0.2259,46.7817,41063
Shadow Fiend,0.2062,50.2564,265729
Lone Druid,0.2036,59.5176,38854
Treant Protector,0.1676,47.6295,64145
Nature's Prophet,0.1129,55.0493,146416
Winter Wyvern,0.0976,48.3172,66618
Slark,0.0944,50.3237,221921
Brewmaster,0.082,47.5161,35369
Techies,0.054,49.5195,61303
Faceless Void,0.0515,48.434,209549
Bane,0.0266,51.9857,48621
Jakiro,0.0178,44.3643,112241
Keeper of the Light,-0.069,49.3109,109649
Monkey King,-0.092,50.5102,247809
Phantom Assassin,-0.099,43.9438,431187
Dragon Knight,-0.1354,47.7371,99809
Lycan,-0.1394,50.2896,50573
Clockwerk,-0.1633,46.4694,95934
Phoenix,-0.1646,48.3275,59854
Tiny,-0.1718,51.5944,121612
Magnus,-0.1764,53.4133,130005
Arc Warden,-0.1884,52.2665,49833
Lina,-0.1905,52.5178,164207
Earth Spirit,-0.2039,55.7014,70921
Undying,-0.2078,46.1201,62348
Bristleback,-0.2119,48.9622,186121
Wraith King,-0.2599,41.2286,179795
Batrider,-0.2721,55.1197,43264
Riki,-0.2997,42.671,224248
Tinker,-0.3403,50.5334,160836
Ursa,-0.3708,43.8196,146626
Razor,-0.3765,51.1984,65293
Omniknight,-0.3872,42.7498,101867
Windranger,-0.4189,48.0634,248711
Silencer,-0.4502,44.0193,178349
Medusa,-0.4534,51.4117,84469
Rubick,-0.463,51.7559,193342
Bloodseeker,-0.5044,43.9204,352813
Naga Siren,-0.5091,53.7737,34223
Doom,-0.6041,51.6311,71604
Slardar,-0.625,46.4027,154745
Gyrocopter,-0.6338,50.6832,54961
Ember Spirit,-0.6574,51.2096,127677
Templar Assassin,-0.6691,52.0425,98456
Sven,-0.6856,44.0854,261247
Timbersaw,-0.6997,51.0069,114061
Drow Ranger,-0.7086,45.6503,170636
Enchantress,-0.7727,53.1717,53504
Huskar,-0.7997,49.17,137417
Bounty Hunter,-0.9656,47.7843,143478
Weaver,-1.0765,45.6957,173467
Tusk,-1.1377,54.5602,76158
Invoker,-1.1966,48.8769,502087
Clinkz,-1.2567,47.256,131035
Death Prophet,-1.2739,50.3057,64263
Outworld Devourer,-1.3993,48.5254,120747
Alchemist,-1.4096,52.6266,112025
Puck,-1.629,53.8946,111883
Sniper,-1.716,45.0263,429853
Juggernaut,-2.1852,47.7797,328336
Lifestealer,-2.284,48.9707,139957
