Anti-Mage,3.5905,52.4355,788068
Bristleback,2.985,52.8712,434421
Bloodseeker,2.2197,46.4671,766294
Drow Ranger,2.0351,48.6638,354086
Phantom Lancer,1.9855,48.7831,271032
Sniper,1.8873,48.557,968070
Huskar,1.8011,52.5536,298569
Clinkz,1.7747,50.863,264170
Silencer,1.6706,46.2783,293295
Zeus,1.6619,42.0366,332089
Terrorblade,1.5304,50.8157,129271
Warlock,1.3582,46.9775,102647
Juggernaut,1.2989,51.7932,608863
Spectre,1.2019,40.8936,271820
Weaver,1.1854,48.2469,338382
Centaur Warrunner,1.1189,43.6275,147196
Naga Siren,1.1045,56.5385,57000
Chaos Knight,1.0773,43.1154,269189
Undying,1.0756,47.7654,98094
Viper,1.0736,47.9721,452127
Underlord,1.0538,42.2602,90352
Necrophos,0.9286,41.7288,685689
Venomancer,0.8965,46.6486,312991
Bounty Hunter,0.8851,50.1748,272495
Broodmother,0.7642,59.2663,86010
Lycan,0.6742,51.8206,87303
Elder Titan,0.6501,47.529,63620
Arc Warden,0.5885,53.9259,79344
Axe,0.5653,45.6248,591125
Ember Spirit,0.5512,53.3151,216897
Nature's Prophet,0.5454,56.7698,266400
Luna,0.5442,47.0498,298220
Jakiro,0.4925,44.9012,183868
Brewmaster,0.4793,48.293,58263
Enchantress,0.4407,55.5218,96915
Sven,0.4183,45.0781,586067
Slark,0.4041,51.3126,452432
Pudge,0.2514,46.249,1052240
Techies,0.2396,50.291,118182
Death Prophet,0.2393,52.6915,120581
Storm Spirit,0.2013,50.9511,252795
Gyrocopter,0.1644,52.2503,93651
Queen of Pain,0.1632,55.2847,247204
Shadow Shaman,0.1595,44.0749,345094
Dark Seer,0.1328,51.7714,69660
Ogre Magi,0.0876,45.9668,273508
Abaddon,0.0782,43.1796,118609
Leshrac,0.0756,53.1016,57840
Enigma,0.0594,47.0315,179203
Doom,0.0572,53.136,117694
Spirit Breaker,0.0566,41.4407,503970
Skywrath Mage,0.0541,47.0128,211557
Vengeful Spirit,0.0463,45.3181,185908
Crystal Maiden,0.0429,43.2083,353774
Nyx Assassin,0.0411,48.629,208830
Disruptor,0.0397,48.7528,155437
Phantom Assassin,0.0046,43.9061,983219
Keeper of the Light,-0.011,49.9004,177335
Ancient Apparition,-0.0137,45.6745,143568
Riki,-0.0197,42.4727,529613
Windranger,-0.0429,48.8552,471620
Meepo,-0.0484,53.6308,133701
Night Stalker,-0.0863,48.5661,141434
Earthshaker,-0.0927,46.9401,625530
Tinker,-0.1034,51.5247,314616
Mirana,-0.1079,46.8974,510241
Omniknight,-0.1869,42.7495,176327
Witch Doctor,-0.2647,47.7874,194051
Clockwerk,-0.265,46.6295,147044
Pugna,-0.273,50.0602,182618
Puck,-0.2759,56.45,179371
Ursa,-0.2979,43.6922,309597
Alchemist,-0.2983,54.9401,221419
Lich,-0.3582,43.0881,209220
Outworld Devourer,-0.3664,50.1901,220926
Invoker,-0.3843,50.1971,924988
Shadow Fiend,-0.3986,50.2702,519932
Wraith King,-0.4069,40.4345,401570
Phoenix,-0.4357,48.4618,91734
Faceless Void,-0.4531,48.3261,373123
Lifestealer,-0.5217,51.5396,262204
Lina,-0.6098,52.987,297597
Tidehunter,-0.6415,46.848,141594
Treant Protector,-0.6488,47.0703,105627
Visage,-0.6505,47.805,50434
Rubick,-0.6741,52.2623,263792
Morphling,-0.6809,51.6639,179816
Chen,-0.6815,56.1411,31517
Tiny,-0.7614,51.7634,222833
Razor,-0.765,51.5443,122415
Kunkka,-0.8281,49.7324,346540
Lone Druid,-0.8453,59.9158,65113
Dragon Knight,-0.8862,47.253,196967
Beastmaster,-0.898,53.4913,47718
Slardar,-0.9221,46.3097,279654
Timbersaw,-0.9612,51.4999,204043
Batrider,-1.0461,55.3448,69862
Bane,-1.1897,51.4462,83213
Monkey King,-1.2421,49.9955,453910
Tusk,-1.3143,55.485,123909
Sand King,-1.3514,47.8415,272004
Earth Spirit,-1.358,55.4078,98228
Troll Warlord,-1.3706,43.8567,415961
Lion,-1.4375,49.4666,319583
Magnus,-1.4477,52.9964,211265
Templar Assassin,-1.4821,52.036,179733
Medusa,-1.5916,50.9406,150218
Shadow Demon,-1.9426,51.0742,83639
Dazzle,-2.1946,45.5352,184132
Winter Wyvern,-2.6684,45.5398,140780
Io,-3.1672,60.3406,56181
Oracle,-3.8188,54.1866,63750
