Visage,5.2622,51.5495,7486
Tidehunter,5.2492,50.6391,18306
Io,4.3196,63.1724,8309
Shadow Demon,3.9993,54.0326,9200
Meepo,3.7117,54.1306,13545
Winter Wyvern,2.8627,49.2106,12416
Timbersaw,2.7531,52.2226,21123
Earth Spirit,2.6174,55.799,11269
Techies,2.6071,50.0841,11880
Broodmother,2.5768,56.9204,12138
Naga Siren,2.5371,54.424,8612
Phantom Lancer,2.3436,47.0421,28281
Chen,2.246,55.4453,4839
Dark Seer,2.1649,51.0039,9662
Oracle,2.0767,56.4179,7962
Treant Protector,1.9246,47.5899,13568
Arc Warden,1.859,52.0388,10202
Underlord,1.525,41.6878,11790
Terrorblade,1.4037,48.169,15921
Brewmaster,1.3806,47.0357,8400
Templar Assassin,1.3575,51.7834,20466
Omniknight,1.2209,43.0322,18679
Lone Druid,1.1711,57.5328,8755
Faceless Void,1.1443,47.6124,36690
Beastmaster,1.1213,52.3513,7570
Slark,1.0812,49.2226,40396
Axe,1.027,44.4936,44966
Batrider,0.9917,53.8279,9313
Lich,0.9695,43.0838,23257
Warlock,0.8963,44.6651,13440
Elder Titan,0.8793,45.7545,8515
Ember Spirit,0.843,50.4864,23125
Death Prophet,0.752,50.2118,14632
Enchantress,0.7443,52.3329,13095
Bounty Hunter,0.7235,47.5578,28889
Tinker,0.7072,49.4761,26247
Chaos Knight,0.7008,41.7313,25899
Puck,0.657,53.6159,18308
Alchemist,0.6536,52.304,22786
Morphling,0.6311,50.0734,20410
Dragon Knight,0.5482,46.589,21123
Phoenix,0.4906,47.1182,11573
Enigma,0.4518,45.5048,17530
Troll Warlord,0.4499,44.1868,36452
Ancient Apparition,0.4414,44.3916,16208
Sand King,0.4266,47.33,28783
Nature's Prophet,0.404,52.8099,27741
Tusk,0.3506,53.4607,15589
Storm Spirit,0.3293,48.3969,24235
Magnus,0.2538,51.4543,21763
Invoker,0.2068,48.1935,74400
Witch Doctor,0.1803,46.1051,21798
Bane,0.1761,49.9141,10480
Night Stalker,0.1255,46.5207,17547
Abaddon,0.0588,41.9652,14512
Ogre Magi,0.0304,44.16,27817
Earthshaker,0.0024,45.0783,55845
Slardar,-0.0367,45.2672,26644
Tiny,-0.1227,49.4613,25064
Spirit Breaker,-0.13,40.3737,46233
Ursa,-0.1652,42.5416,30563
Dazzle,-0.1784,45.7386,16509
Monkey King,-0.1873,48.3633,43411
Necrophos,-0.1914,39.7938,60841
Shadow Shaman,-0.2503,42.3082,33549
Undying,-0.2584,44.4278,13406
Vengeful Spirit,-0.2627,43.3853,22473
Skywrath Mage,-0.3048,44.7383,22417
Centaur Warrunner,-0.3391,40.9633,17916
Crystal Maiden,-0.4022,41.5739,34945
Lycan,-0.4423,47.9331,11975
Spectre,-0.4439,38.6604,27113
Queen of Pain,-0.4577,51.1811,25314
Lion,-0.5284,47.8044,30562
Keeper of the Light,-0.5309,46.9069,18946
Mirana,-0.5397,44.5701,46769
Clinkz,-0.5615,46.1032,28562
Rubick,-0.5615,49.4439,27876
Doom,-0.6135,49.405,14958
Phantom Assassin,-0.6462,41.9428,76683
Riki,-0.6478,40.9736,43977
Disruptor,-0.6561,45.7974,17787
Legion Commander,-0.6766,46.8983,57840
Bloodseeker,-0.7242,42.2102,62409
Bristleback,-0.7269,46.5496,35764
Juggernaut,-0.7732,47.1787,52920
Windranger,-0.7803,45.8761,45516
Zeus,-0.808,38.8147,32753
Lina,-0.8441,49.6245,31563
Jakiro,-0.8445,42.0694,20257
Pudge,-0.8669,43.4921,87402
Nyx Assassin,-0.8781,45.4795,27973
Silencer,-0.8922,42.1401,31222
Kunkka,-0.8932,47.1352,36077
Clockwerk,-0.8991,44.0795,18394
Gyrocopter,-0.9339,48.2696,13986
Wraith King,-0.9601,39.3091,35320
Razor,-0.9662,48.4729,15553
Venomancer,-1.0207,43.0061,34795
Outworld Devourer,-1.0469,46.9317,19995
Weaver,-1.0945,44.0156,34674
Sven,-1.209,42.0551,46351
Drow Ranger,-1.2542,43.4777,34482
Shadow Fiend,-1.3684,46.7768,45871
Luna,-1.3686,43.3178,31472
Anti-Mage,-1.5047,45.1921,57625
Medusa,-1.5176,48.197,18775
Lifestealer,-1.7162,47.4924,25722
Huskar,-1.8063,46.2309,29318
Pugna,-1.9643,45.8516,23142
Sniper,-2.4797,42.6863,76685
Viper,-2.5312,42.5719,42528
