Spectre,5.4842,44.8176,8336
Techies,3.4086,51.659,3074
Zeus,3.3651,43.3618,8888
Tiny,3.2162,53.4392,7240
Elder Titan,3.1174,48.6233,1925
Tinker,3.0071,52.3595,8455
Pudge,2.7192,47.1633,29277
Nyx Assassin,2.4495,49.343,6850
Ember Spirit,2.224,52.771,5774
Bloodseeker,2.1628,45.4136,20245
Alchemist,2.0424,54.335,6655
Viper,2.0077,47.4508,12828
Kunkka,1.9746,50.5482,10671
Lina,1.9003,53.105,8792
Keeper of the Light,1.8761,49.9655,5806
Earthshaker,1.8708,47.3501,18435
Timbersaw,1.8072,52.2383,6143
Centaur Warrunner,1.8057,43.1925,5068
Invoker,1.8034,50.2995,26875
Silencer,1.715,45.0793,8190
Axe,1.6044,45.4604,15365
Batrider,1.509,55.407,2395
Outworld Devourer,1.4934,50.1294,6178
Jakiro,1.4704,44.9307,5346
Slardar,1.4564,47.3714,8712
Pugna,1.3937,49.8916,4616
Underlord,1.2817,41.5245,2755
Chen,1.0593,55.4766,986
Crystal Maiden,1.0142,43.0102,10358
Phoenix,0.9846,48.0514,2489
Shadow Shaman,0.9579,44.0503,9698
Wraith King,0.9446,41.4674,10999
Sniper,0.9241,46.1592,24331
Clockwerk,0.8268,46.1401,4495
Ogre Magi,0.8192,45.3502,8452
Gyrocopter,0.7832,50.9673,2998
Bounty Hunter,0.7555,48.5075,7471
Huskar,0.7268,49.275,8897
Sven,0.6615,44.5258,16642
Skywrath Mage,0.6533,46.2717,5740
Visage,0.6079,47.9757,1482
Witch Doctor,0.5852,46.9961,5443
Lone Druid,0.5821,57.738,2016
Drow Ranger,0.5361,45.6787,9974
Warlock,0.5022,44.8373,3167
Night Stalker,0.4709,47.5196,5080
Mirana,0.3832,45.9165,13065
Rubick,0.3779,51.0348,7634
Luna,0.3543,45.5402,8913
Puck,0.3233,54.1296,5291
Queen of Pain,0.2782,52.8291,7087
Legion Commander,0.1564,48.2857,19571
Doom,0.1133,51.0375,3325
Lycan,0.0681,49.2363,3012
Shadow Fiend,0.0206,48.6707,13466
Spirit Breaker,0.0037,40.6476,13248
Storm Spirit,-0.1166,48.6609,6833
Vengeful Spirit,-0.1415,44.0193,5593
Brewmaster,-0.2267,45.6824,1795
Lion,-0.2561,48.6988,10183
Disruptor,-0.306,46.5243,5294
Bristleback,-0.3461,47.5469,12087
Enchantress,-0.3593,52.0483,2978
Naga Siren,-0.4001,52.5172,1887
Tusk,-0.5269,53.5913,3773
Treant Protector,-0.5463,45.7526,3202
Morphling,-0.5838,50.0091,5441
Earth Spirit,-0.5874,53.8991,2757
Anti-Mage,-0.5882,46.597,16192
Arc Warden,-0.6143,50.698,2292
Necrophos,-0.6255,39.7853,18263
Venomancer,-0.6594,43.8483,9339
Dragon Knight,-0.7252,45.8101,6110
Undying,-0.8271,44.2664,3183
Meepo,-0.8402,50.0415,3613
Beastmaster,-0.8562,51.379,1559
Nature's Prophet,-0.9023,52.6384,7675
Clinkz,-0.9024,46.428,7349
Leshrac,-0.9242,49.794,1942
Ancient Apparition,-0.9409,43.3288,4422
Riki,-0.9656,40.9524,12263
Lich,-0.9789,41.6333,6000
Bane,-0.9847,48.9667,2855
Sand King,-0.9886,46.6699,8108
Monkey King,-1.0118,48.2886,11628
Shadow Demon,-1.2546,49.317,2123
Io,-1.2632,58.7703,1659
Tidehunter,-1.4014,44.471,4178
Oracle,-1.4239,53.5433,1778
Chaos Knight,-1.4268,40.1602,7114
Omniknight,-1.436,40.4554,5050
Juggernaut,-1.455,47.2243,17167
Death Prophet,-1.6421,48.5046,3678
Ursa,-1.6533,41.1686,9721
Winter Wyvern,-1.713,45.1716,3117
Windranger,-1.7719,45.3818,12386
Weaver,-1.8081,43.7318,9620
Razor,-1.8407,48.2322,4186
Broodmother,-1.8418,53.8552,2542
Abaddon,-2.0931,40.2312,3373
Medusa,-2.1246,48.0218,4398
Dark Seer,-2.3075,47.1201,2205
Troll Warlord,-2.5527,41.4214,12607
Dazzle,-2.5695,43.7597,4495
Terrorblade,-2.5805,45.0012,4071
Enigma,-2.606,42.8357,5346
Slark,-2.7142,46.1401,12332
Phantom Assassin,-2.7221,40.4124,24198
Magnus,-2.7244,49.4805,6449
Phantom Lancer,-3.2405,42.2692,7412
Templar Assassin,-3.3145,47.8898,5521
Faceless Void,-3.727,43.3842,11004
