Meepo,3.1443,52.9158,4647
Underlord,3.0026,41.8829,3314
Chen,2.8843,56.2841,1281
Undying,2.7338,46.5955,3936
Necrophos,2.5133,41.2664,24921
Warlock,2.3638,45.397,3954
Leshrac,2.3625,51.9881,2364
Phoenix,2.3033,48.1118,3363
Abaddon,2.1584,43.1893,4214
Terrorblade,2.0067,48.413,4726
Arc Warden,1.9028,52.107,2990
Outworld Devourer,1.5951,48.973,7206
Night Stalker,1.3603,47.131,5943
Enigma,1.3479,45.5377,6006
Ogre Magi,1.3313,44.5109,10366
Troll Warlord,1.3059,43.8409,13679
Sand King,1.2997,47.6611,9962
Phantom Lancer,1.1867,45.3635,8994
Omniknight,1.0995,41.6442,5936
Beastmaster,1.0951,52.1975,1843
Batrider,1.0223,53.7329,2853
Ursa,1.0071,42.4694,10245
Broodmother,0.9749,55.6691,3325
Pugna,0.9725,48.1848,6666
Razor,0.9481,49.8425,4446
Ancient Apparition,0.9414,43.8902,5393
Dark Seer,0.9168,49.1941,2854
Shadow Shaman,0.9159,42.6218,12144
Earth Spirit,0.8971,54.3274,3836
Timbersaw,0.8937,50.0831,7214
Nyx Assassin,0.858,46.4318,8828
Tidehunter,0.8158,45.3932,5340
Queen of Pain,0.7986,52.1716,9624
Anti-Mage,0.7872,46.5898,20747
Death Prophet,0.7621,49.7283,4786
Sven,0.7464,43.271,18049
Kunkka,0.6987,48.03,12767
Crystal Maiden,0.6981,41.2911,12872
Dazzle,0.6826,45.7437,5627
Enchantress,0.6593,51.91,3691
Venomancer,0.6531,43.762,12440
Visage,0.6331,46.6935,1981
Faceless Void,0.6024,46.2993,13795
Jakiro,0.5966,42.6577,6735
Lycan,0.5954,48.5145,3568
Bane,0.5788,49.3306,3436
Bristleback,0.5609,47.161,13403
Bounty Hunter,0.5541,47.0123,9623
Morphling,0.5529,49.9277,6922
Elder Titan,0.5137,44.5917,2339
Slardar,0.4936,45.1089,9681
Medusa,0.4887,49.4384,5609
Magnus,0.4872,51.5057,7704
Lich,0.4754,41.6794,7800
Witch Doctor,0.4671,45.5419,7178
Luna,0.4376,44.2842,10751
Riki,0.3642,40.8276,15634
Treant Protector,0.3547,45.3488,3956
Lone Druid,0.3531,56.4163,2517
Winter Wyvern,0.3066,45.9325,3823
Shadow Fiend,0.3025,47.6526,18020
Ember Spirit,0.2404,49.5438,7563
Juggernaut,0.2225,47.5303,20671
Vengeful Spirit,0.2149,43.0102,6810
Monkey King,0.2049,48.2028,14968
Legion Commander,0.1961,47.0622,22041
Zeus,0.1896,38.7418,11636
Tinker,0.1711,48.285,10496
Bloodseeker,0.1514,42.1945,23394
Huskar,0.1212,47.4019,10046
Skywrath Mage,0.1049,44.3704,7203
Lion,0.0808,47.7627,12292
Mirana,0.0792,44.2797,17001
Rubick,-0.0434,49.3778,11493
Disruptor,-0.0717,45.4502,6297
Axe,-0.1055,42.4868,16937
Shadow Demon,-0.1113,49.2609,2706
Oracle,-0.1509,53.7557,2383
Naga Siren,-0.1527,51.5646,2205
Earthshaker,-0.1694,44.1242,22695
Windranger,-0.1695,45.5998,17022
Clockwerk,-0.2794,43.6609,5545
Nature's Prophet,-0.2826,52.0837,9982
Invoker,-0.2974,47.1771,33565
Pudge,-0.3042,43.1945,32856
Chaos Knight,-0.324,39.8731,8196
Silencer,-0.3439,41.6391,10603
Puck,-0.3604,52.2868,7084
Doom,-0.3889,49.2878,4072
Wraith King,-0.3898,38.7489,12501
Viper,-0.3918,43.7866,15708
Clinkz,-0.3918,45.6272,9319
Keeper of the Light,-0.4065,46.3684,7311
Alchemist,-0.436,50.6206,7412
Tusk,-0.4519,52.4888,4500
Storm Spirit,-0.4892,47.0066,9020
Spectre,-0.6058,37.3281,9237
Dragon Knight,-0.6302,44.6042,6607
Slark,-0.6573,46.8587,14580
Centaur Warrunner,-0.6721,39.303,5366
Weaver,-0.7257,43.4493,11892
Drow Ranger,-0.7556,43.0548,11994
Phantom Assassin,-0.8333,40.7195,30769
Sniper,-0.845,43.2418,31303
Gyrocopter,-0.8822,47.9883,3430
Tiny,-0.9765,47.9644,8106
Spirit Breaker,-1.1732,38.0702,16966
Brewmaster,-1.1736,43.3688,2066
Io,-1.2899,57.7353,2146
Templar Assassin,-1.6639,48.3174,6716
Lifestealer,-1.837,46.8949,8792
Techies,-2.1706,44.6216,3700
