Ursa,1.9872,45.705,11176
Slark,1.8122,51.6011,16769
Wraith King,1.68,42.9182,16373
Troll Warlord,1.5907,46.3851,14800
Legion Commander,1.4432,50.543,25042
Ancient Apparition,1.317,46.5087,6545
Bloodseeker,1.2706,45.4787,25867
Crystal Maiden,1.2277,43.9642,16916
Necrophos,1.2042,42.2406,27715
Bounty Hunter,1.048,49.8218,10104
Abaddon,1.0058,44.2762,4359
Zeus,0.9665,41.7107,13047
Anti-Mage,0.8766,48.9484,25202
Juggernaut,0.8603,50.4392,24475
Disruptor,0.85,48.6775,7940
Jakiro,0.8359,45.1092,8240
Luna,0.7589,46.8737,12075
Tiny,0.7505,52.0626,8872
Timbersaw,0.7447,52.2707,7861
Leshrac,0.7395,52.6186,2444
Pudge,0.6622,46.2947,38972
Chaos Knight,0.6572,43.1079,8713
Spirit Breaker,0.6201,41.9795,20136
Puck,0.6028,55.7013,8305
Underlord,0.5666,41.5742,3608
Faceless Void,0.5518,48.5437,15073
Keeper of the Light,0.534,49.6392,9287
Terrorblade,0.4884,49.1509,5182
Mirana,0.4412,46.8824,20673
Slardar,0.4221,47.3084,11053
Huskar,0.4197,50.0192,10376
Storm Spirit,0.4096,50.2334,10708
Drow Ranger,0.3824,46.4581,13143
Omniknight,0.3414,43.073,6814
Windranger,0.3405,48.3988,18393
Skywrath Mage,0.3387,46.8822,8195
Sven,0.331,45.1004,21257
Shadow Fiend,0.3243,49.9974,19357
Riki,0.2886,42.9807,16754
Clockwerk,0.2852,46.5116,6235
Brewmaster,0.2608,47.1516,2282
Meepo,0.2515,52.2788,5178
Monkey King,0.2243,50.5475,16254
Ember Spirit,0.2241,51.8689,8454
Sand King,0.2209,48.8763,11480
Lifestealer,0.208,51.3011,10183
Shadow Shaman,0.184,44.0491,16359
Invoker,0.1706,49.9046,37762
Elder Titan,0.133,46.4783,2513
Earthshaker,0.1204,46.6413,28419
Dazzle,0.0986,47.4194,6607
Axe,0.0805,44.8973,19578
Vengeful Spirit,0.0762,45.1192,7673
Warlock,0.0544,45.2619,4390
Oracle,0.0308,56.356,2651
Phoenix,0.008,48.0215,3715
Queen of Pain,0.0063,53.7494,10655
Earth Spirit,-0.0009,55.8678,4661
Morphling,-0.0092,51.7018,7874
Tinker,-0.0501,50.3908,12024
Broodmother,-0.0617,56.896,3241
Centaur Warrunner,-0.0713,42.1444,5913
Weaver,-0.0865,46.3552,13101
Lich,-0.087,43.2656,9897
Beastmaster,-0.1026,53.2705,1911
Winter Wyvern,-0.1158,47.768,4794
Lina,-0.1162,52.2372,12292
Nyx Assassin,-0.1397,47.7154,9827
Naga Siren,-0.2019,53.8494,2299
Night Stalker,-0.226,47.7985,6473
Lycan,-0.2272,49.972,3574
Witch Doctor,-0.2321,47.0964,8748
Enchantress,-0.2733,53.2808,3810
Enigma,-0.3481,46.0685,6677
Io,-0.3548,61.3028,2579
Phantom Assassin,-0.3597,43.3569,34841
Dark Seer,-0.3691,50.1771,3105
Magnus,-0.3868,52.9852,8810
Techies,-0.3943,48.7693,3941
Treant Protector,-0.4222,46.8339,4264
Bristleback,-0.4316,48.4757,15385
Gyrocopter,-0.4799,50.7196,3474
Clinkz,-0.5254,47.78,10586
Phantom Lancer,-0.5328,45.9158,9084
Ogre Magi,-0.5662,44.7957,13883
Kunkka,-0.595,49.0584,14656
Templar Assassin,-0.5963,51.747,7069
Dragon Knight,-0.6467,46.8574,7653
Sniper,-0.6481,45.6683,34606
Outworld Devourer,-0.6521,48.9925,7891
Silencer,-0.6908,43.4982,12612
Bane,-0.6936,50.3318,3616
Alchemist,-0.7019,52.6906,7935
Viper,-0.7105,45.7435,17080
Rubick,-0.72,51.0722,14736
Pugna,-0.895,48.5849,7173
Death Prophet,-0.9037,50.3337,5094
Venomancer,-0.9048,44.4782,13148
Razor,-1.021,50.1213,4531
Shadow Demon,-1.0848,50.5959,3188
Tusk,-1.1119,54.1955,5041
Undying,-1.1142,44.8914,4052
Tidehunter,-1.1942,45.5934,5957
Nature's Prophet,-1.4688,53.2729,11259
Medusa,-1.4754,49.7495,6388
Batrider,-1.4757,53.5171,3227
Doom,-1.5372,50.4238,4365
Lone Druid,-1.8123,56.541,2706
Spectre,-2.0126,38.0643,10498
Chen,-2.5097,52.9829,1408
Visage,-2.8837,45.2838,2237
Arc Warden,-2.9184,49.4121,3317
