Visage,5.9526,46.7391,552
Shadow Demon,4.897,48.7465,718
Arc Warden,4.7501,49.2647,816
Chen,4.5767,52.0304,394
Undying,4.2689,42.9282,1004
Techies,3.4788,45.0052,951
Io,3.3566,56.1764,680
Elder Titan,2.9125,41.8569,657
Treant Protector,2.5688,42.366,989
Juggernaut,2.5146,44.2685,4737
Doom,2.4328,46.5549,1074
Naga Siren,2.3798,48.3916,715
Silencer,2.3765,39.338,2387
Ancient Apparition,2.1513,40.031,1289
Underlord,1.9652,36.0552,796
Clockwerk,1.9286,40.7593,1396
Winter Wyvern,1.8706,42.2396,1018
Jakiro,1.5959,38.6833,1595
Dazzle,1.5251,41.3848,1242
Dark Seer,1.5065,44.3089,738
Wraith King,1.469,35.7972,2841
Tidehunter,1.4295,40.8134,1426
Pudge,1.4093,39.604,7224
Pugna,1.3708,43.2005,1456
Lion,1.1972,43.4589,2706
Disruptor,1.1489,41.4408,1513
Earthshaker,1.1219,40.1769,5085
Puck,1.0404,47.8991,1547
Mirana,1.0077,40.0365,3834
Templar Assassin,0.9797,45.3995,1652
Dragon Knight,0.9418,40.9743,1601
Nyx Assassin,0.924,41.2601,1968
Invoker,0.8734,42.8818,6926
Axe,0.8671,38.3928,3696
Storm Spirit,0.8568,42.9643,2132
Riki,0.8556,36.4438,3515
Ember Spirit,0.8471,44.6096,1883
Rubick,0.7978,44.7027,2237
Phoenix,0.7888,41.2735,848
Faceless Void,0.7769,41.206,3383
Sven,0.7347,38.2322,3892
Meepo,0.7096,44.8334,1171
Witch Doctor,0.6695,40.5607,1605
Earth Spirit,0.6459,48.1865,965
Anti-Mage,0.6323,41.1852,4708
Magnus,0.6287,45.9788,1890
Skywrath Mage,0.6202,39.7706,1657
Spectre,0.4475,33.7466,2258
Monkey King,0.4277,42.9935,3561
Tiny,0.3549,43.81,1979
Beastmaster,0.3357,45.735,551
Bounty Hunter,0.3228,41.4814,2295
Huskar,0.3062,42.2394,2197
Spirit Breaker,0.2757,34.7183,3586
Razor,0.1923,43.5577,1203
Shadow Shaman,0.1794,36.9795,2642
Keeper of the Light,0.0025,41.4776,1719
Ogre Magi,-0.0086,38.1487,2312
Batrider,-0.0196,46.8586,764
Warlock,-0.0334,37.9098,976
Oracle,-0.0491,47.9699,665
Phantom Lancer,-0.0643,39.0004,2041
Ursa,-0.0816,36.4853,2390
Shadow Fiend,-0.1135,41.9157,3915
Sniper,-0.1244,38.7859,6639
Omniknight,-0.1882,35.5187,1388
Lycan,-0.2034,42.2797,965
Queen of Pain,-0.2576,45.4379,2192
Medusa,-0.309,43.1501,1365
Windranger,-0.3477,40.2219,3784
Slardar,-0.4303,39.0569,2248
Vengeful Spirit,-0.4878,37.3247,1712
Zeus,-0.5289,33.4005,2479
Troll Warlord,-0.587,37.0172,3185
Gyrocopter,-0.6025,42.8023,1042
Outworld Devourer,-0.6557,41.3551,1712
Chaos Knight,-0.6697,34.7384,1969
Bane,-0.6751,42.5814,829
Bloodseeker,-0.7701,36.3901,5147
Tinker,-0.801,41.9368,2344
Lina,-0.8924,43.5836,2517
Alchemist,-0.899,44.5373,1913
Weaver,-0.9459,38.1637,2919
Bristleback,-1.0169,40.3561,2976
Lifestealer,-1.0627,42.2619,2016
Crystal Maiden,-1.0899,34.7434,2884
Viper,-1.0934,38.0464,3317
Brewmaster,-1.1777,38.2608,575
Slark,-1.1982,41.0105,3404
Terrorblade,-1.22,39.8473,1310
Legion Commander,-1.2611,40.4221,4975
Enigma,-1.2997,37.7663,1549
Death Prophet,-1.312,42.1577,1103
Kunkka,-1.3729,40.6774,3041
Timbersaw,-1.4664,42.2459,1683
Night Stalker,-1.5221,39.014,1420
Morphling,-1.6745,42.1968,1839
Luna,-1.7096,37.1279,2688
Drow Ranger,-1.7336,37.082,2961
Nature's Prophet,-1.8019,44.8628,2443
Lich,-1.8742,34.5044,1907
Necrophos,-2.1187,32.2697,4983
Broodmother,-2.1548,46.5517,870
Centaur Warrunner,-2.2423,33.021,1281
Tusk,-2.5563,44.609,1215
Leshrac,-2.5891,41.374,655
Sand King,-2.6043,38.5714,2380
Phantom Assassin,-2.6591,34.1662,6243
Clinkz,-2.721,38.1424,2218
Venomancer,-2.7757,35.4634,2848
Abaddon,-2.9445,33.2042,1033
Enchantress,-3.4275,42.1232,876
