Slardar,2.2601,53.0264,9318
Omniknight,2.1435,48.8774,5835
Tidehunter,1.9962,52.7698,5632
Winter Wyvern,1.6243,53.4455,3744
Outworld Devourer,1.6055,55.1305,7007
Chen,1.5724,61.0806,1277
Weaver,1.431,51.7468,12136
Undying,1.2863,51.2706,3817
Bane,1.2404,56.1595,3109
Bloodseeker,1.1463,49.2517,22921
Faceless Void,1.1356,52.9656,13437
Tusk,1.1272,60.2986,4554
Lycan,1.1143,55.2386,3646
Pugna,1.1024,54.4762,5909
Doom,1.0334,56.9064,3989
Timbersaw,1.0179,56.3472,6877
Queen of Pain,0.9198,58.4222,8810
Ancient Apparition,0.8847,49.9898,4917
Visage,0.8699,53.1234,2001
Elder Titan,0.8537,51.1149,2287
Venomancer,0.7665,50.0494,11123
Night Stalker,0.7563,52.6764,5978
Shadow Shaman,0.7408,48.6087,11860
Bounty Hunter,0.7162,53.3283,9419
Earth Spirit,0.6576,60.1992,3613
Brewmaster,0.6379,51.4338,2162
Necrophos,0.6263,45.6507,21452
Ember Spirit,0.5778,56.0339,7433
Monkey King,0.576,54.715,14899
Lone Druid,0.5502,62.872,2688
Clinkz,0.5264,52.7192,10683
Juggernaut,0.5157,53.942,23668
Silencer,0.4928,48.6358,9933
Drow Ranger,0.4363,50.3976,12701
Storm Spirit,0.4294,54.0733,8531
Vengeful Spirit,0.3757,49.3462,6730
Windranger,0.3649,52.2792,15597
Phantom Assassin,0.356,47.9292,32018
Centaur Warrunner,0.3479,46.528,5242
Troll Warlord,0.3278,49.0221,14112
Death Prophet,0.3254,55.4957,5204
Naga Siren,0.3205,58.3128,2442
Oracle,0.2717,60.2994,2204
Dark Seer,0.2186,54.6455,2906
Tiny,0.1833,55.3072,8055
Ogre Magi,0.1692,49.5053,9805
Axe,0.112,48.8254,17921
Underlord,0.1066,45.039,3326
Anti-Mage,0.0702,52.0374,21277
Dazzle,0.0675,51.2684,5085
Puck,0.0638,58.8379,6523
Skywrath Mage,0.0315,50.4653,6769
Kunkka,0.0069,53.4911,11916
Warlock,-0.0018,49.1122,3999
Terrorblade,-0.0293,52.4958,5429
Ursa,-0.0546,47.5529,10380
Legion Commander,-0.0555,52.9549,21811
Batrider,-0.0607,58.749,2766
Enchantress,-0.0953,57.3107,3659
Dragon Knight,-0.1027,51.304,8052
Razor,-0.1416,54.8976,4543
Treant Protector,-0.164,50.986,3803
Jakiro,-0.1823,48.0267,6740
Shadow Fiend,-0.1897,53.3298,17253
Disruptor,-0.1972,51.4711,5574
Enigma,-0.1986,50.1024,5856
Alchemist,-0.2344,56.9973,7853
Mirana,-0.2389,50.1169,16252
Crystal Maiden,-0.2464,46.5204,12128
Sven,-0.2644,48.4359,20588
Riki,-0.3648,46.2583,16263
Earthshaker,-0.3719,50.0572,20958
Chaos Knight,-0.4048,45.9048,9145
Lina,-0.435,55.7157,10751
Lifestealer,-0.4452,54.4597,8913
Magnus,-0.4475,56.7041,7652
Wraith King,-0.4566,44.8026,13988
Witch Doctor,-0.507,50.7198,7015
Pudge,-0.5472,49.0899,31371
Clockwerk,-0.5476,49.5538,5267
Spirit Breaker,-0.5676,44.8023,17104
Nature's Prophet,-0.5955,57.9127,9630
Leshrac,-0.6472,55.029,2406
Invoker,-0.6939,52.9658,30261
Templar Assassin,-0.7066,55.4718,6771
Lion,-0.7087,53.1262,12075
Sniper,-0.7164,49.5099,33979
Io,-0.7326,64.4767,2131
Arc Warden,-0.8537,55.3946,2901
Viper,-0.9227,49.4336,17215
Zeus,-0.9379,43.7737,12094
Lich,-0.9643,46.3758,7795
Nyx Assassin,-0.9964,50.7181,7867
Techies,-1.021,51.9786,3740
Morphling,-1.0218,54.4713,6743
Sand King,-1.0376,51.4634,9737
Medusa,-1.0616,54.0139,5730
Phoenix,-1.1574,50.6775,3173
Keeper of the Light,-1.2564,51.6476,6585
Meepo,-1.3603,54.4311,4694
Gyrocopter,-1.3896,53.6743,3851
Abaddon,-1.4095,45.6769,4129
Rubick,-1.4442,54.1286,10645
Huskar,-1.5593,51.8744,10163
Slark,-1.5639,52.1138,14689
Broodmother,-1.5642,59.1966,3311
Phantom Lancer,-1.6362,48.6645,10184
Tinker,-1.664,52.5867,9742
Beastmaster,-1.7276,55.4197,1882
Shadow Demon,-2.0073,53.4712,2852
Spectre,-2.2683,41.794,9487
Bristleback,-2.7515,50.0515,14537
