Chaos Knight,3.0645,42.3583,83372
Phantom Lancer,3.0474,46.2849,79609
Visage,1.8146,46.6752,20197
Lifestealer,1.661,49.4951,82703
Meepo,1.5424,50.7869,49113
Naga Siren,1.2637,52.0164,22118
Crystal Maiden,1.1462,41.3749,121165
Vengeful Spirit,1.1161,43.1388,67941
Ancient Apparition,1.0975,43.469,53086
Legion Commander,0.9703,47.0033,211266
Slardar,0.9602,44.7145,101960
Omniknight,0.9098,41.0195,61361
Beastmaster,0.9089,50.9578,19157
Centaur Warrunner,0.8581,40.4017,55109
Witch Doctor,0.85,45.2951,67579
Terrorblade,0.8318,46.1828,48269
Ogre Magi,0.7643,43.2833,103266
Monkey King,0.7537,47.9001,156079
Dazzle,0.731,45.1669,52182
Broodmother,0.7213,54.038,28789
Lycan,0.6905,47.7242,32539
Chen,0.6848,52.7542,11328
Pudge,0.6568,43.2714,341331
Sand King,0.6373,46.0955,104572
Warlock,0.633,42.7944,41447
Treant Protector,0.6233,44.8139,39307
Keeper of the Light,0.5982,46.6133,64857
Underlord,0.5867,38.9436,35518
Nature's Prophet,0.5794,51.8706,84946
Troll Warlord,0.533,42.6883,121846
Shadow Fiend,0.466,47.1038,170451
Spirit Breaker,0.4592,39.194,155794
Storm Spirit,0.4448,47.14,85125
Tusk,0.4296,52.4693,45497
Arc Warden,0.4286,49.3709,30840
Phantom Assassin,0.4123,41.2694,261159
Nyx Assassin,0.3695,45.222,85434
Slark,0.3693,47.1939,138168
Mirana,0.3682,43.8726,187919
Lich,0.3487,40.7848,79179
Jakiro,0.3265,41.551,69127
Invoker,0.3166,46.8392,315033
Shadow Shaman,0.3012,41.1858,114243
Bounty Hunter,0.2987,45.7387,84224
Bristleback,0.2838,46.1142,113891
Gyrocopter,0.2789,48.1746,34431
Lion,0.2644,47.203,108173
Juggernaut,0.2579,46.7387,191751
Luna,0.2291,43.3026,99846
Anti-Mage,0.2243,45.3263,201523
Windranger,0.2094,45.3596,152360
Brewmaster,0.1726,44.3326,21668
Axe,0.1704,42.1066,172721
Undying,0.1602,43.287,37584
Bane,0.1445,48.6031,28957
Weaver,0.1024,43.631,109131
Dark Seer,0.097,47.6108,29508
Faceless Void,0.0785,45.1364,132826
Night Stalker,0.0533,44.9757,56795
Phoenix,0.033,45.1976,37232
Shadow Demon,0.0273,48.8038,26627
Necrophos,0.0117,38.2588,239380
Outworld Devourer,-0.0022,46.5633,71640
Io,-0.003,58.0359,20794
Kunkka,-0.0054,46.5866,130005
Pugna,-0.0058,46.3863,60632
Clockwerk,-0.0157,43.3813,60141
Enchantress,-0.0296,50.372,31444
Skywrath Mage,-0.0333,43.4737,68324
Puck,-0.0444,51.8269,68665
Dragon Knight,-0.0681,44.5191,61897
Techies,-0.0752,46.0298,33689
Ursa,-0.0938,40.9724,89421
Medusa,-0.1199,48.2866,54104
Disruptor,-0.1477,44.8053,66588
Abaddon,-0.151,40.0513,40538
Morphling,-0.1567,48.0001,69206
Venomancer,-0.1728,42.2026,119393
Leshrac,-0.1759,48.5456,21763
Drow Ranger,-0.1806,42.9528,109313
Tiny,-0.2072,48.0908,77129
Zeus,-0.2225,37.5718,105981
Queen of Pain,-0.2361,50.2068,87269
Lina,-0.2629,48.9368,100311
Earthshaker,-0.2727,43.2799,253152
Elder Titan,-0.3018,43.0004,25216
Viper,-0.3326,43.1126,132467
Lone Druid,-0.3409,55.0855,23970
Silencer,-0.3772,40.9298,126834
Riki,-0.4009,39.5025,133042
Wraith King,-0.4273,38.0467,111371
Ember Spirit,-0.4607,47.9194,77983
Earth Spirit,-0.4863,51.6503,43961
Winter Wyvern,-0.5435,44.3354,43216
Death Prophet,-0.5996,47.5664,39387
Spectre,-0.6477,36.57,96929
Rubick,-0.6706,47.9738,163835
Timbersaw,-0.7197,47.5196,71261
Batrider,-0.737,50.9808,27783
Bloodseeker,-0.7691,40.5432,212911
Clinkz,-0.778,44.444,82281
Razor,-0.7836,47.3373,41707
Oracle,-0.8429,52.4373,22545
Tidehunter,-0.8464,43.0788,60626
Doom,-0.9977,47.7333,44824
Templar Assassin,-1.0277,48.1854,62909
Enigma,-1.0345,42.4319,68974
Alchemist,-1.0682,49.4279,70978
Huskar,-1.0829,45.54,82378
Sven,-1.1112,40.5334,169640
Tinker,-1.3837,46.0781,98181
Sniper,-1.3924,42.1134,265053
