Chaos Knight,5.8581,46.613,117583
Visage,3.9729,50.5249,14001
Undying,3.2494,48.0961,30044
Enigma,2.4683,47.6731,43341
Tinker,2.426,51.4416,64718
Shadow Demon,2.323,52.7216,19749
Sven,2.1173,45.2822,124890
Techies,2.0803,49.8304,27130
Storm Spirit,1.9646,50.2648,59290
Omniknight,1.8292,43.6944,44802
Puck,1.8057,55.1776,41901
Meepo,1.7815,52.5797,31689
Queen of Pain,1.6969,53.6658,61186
Chen,1.6802,55.3019,8808
Necrophos,1.6758,41.5313,159246
Lifestealer,1.6526,51.0754,59461
Brewmaster,1.5295,47.3814,17739
Death Prophet,1.5131,51.2966,34628
Naga Siren,1.4968,53.8504,21322
Skywrath Mage,1.4837,46.6595,51235
Pugna,1.4564,49.472,46024
Leshrac,1.4467,51.8029,18775
Legion Commander,1.4307,49.0593,150218
Terrorblade,1.3574,48.339,44854
Abaddon,1.3182,43.2559,33815
Shadow Fiend,1.2556,49.4791,119505
Lion,1.2411,49.7647,82034
Silencer,1.2114,44.2524,80556
Warlock,1.1875,45.068,31732
Beastmaster,1.1612,52.784,15571
Templar Assassin,1.1388,51.929,47796
Tiny,1.1125,50.9883,59745
Batrider,1.0579,54.3329,20194
Winter Wyvern,1.033,47.6137,28078
Wraith King,1.0174,41.2051,87705
Bloodseeker,1.0034,43.8849,165043
Spirit Breaker,0.9794,41.4403,114239
Doom,0.9063,51.2506,35740
Bane,0.8856,50.9482,22568
Axe,0.8714,44.4774,117790
Dazzle,0.868,46.9663,37710
Razor,0.7706,50.5106,37895
Enchantress,0.7693,52.753,27079
Morphling,0.7495,50.5042,47895
Dragon Knight,0.7387,46.966,52589
Gyrocopter,0.7135,50.221,31439
Lycan,0.7038,49.3526,26801
Timbersaw,0.6462,50.4821,48839
Tidehunter,0.6338,46.2806,41553
Dark Seer,0.5627,49.6981,21039
Windranger,0.5326,47.3181,109514
Earth Spirit,0.5176,54.1254,24046
Juggernaut,0.5169,48.6106,136032
Luna,0.5156,45.2631,78649
Oracle,0.4838,55.2706,15558
Lina,0.4736,51.2324,75093
Phantom Lancer,0.4506,45.3095,97635
Ember Spirit,0.4463,50.4167,56864
Phoenix,0.4007,47.2406,25713
Witch Doctor,0.3789,46.4872,50203
Rubick,0.3684,50.6573,65872
Kunkka,0.3607,48.5882,84469
Slardar,0.3598,45.8077,73577
Ogre Magi,0.3556,44.6053,67140
Crystal Maiden,0.3312,42.3334,81451
Outworld Devourer,0.322,48.5038,61057
Huskar,0.3007,48.5132,69715
Elder Titan,0.2301,45.2448,19295
Sand King,0.2173,47.345,70434
Nature's Prophet,0.2002,53.0288,61921
Shadow Shaman,0.1978,42.816,81014
Ancient Apparition,0.1652,44.2382,38643
Magnus,0.154,51.7133,54104
Vengeful Spirit,0.1523,43.8849,52191
Earthshaker,0.1319,45.3609,141655
Arc Warden,0.1266,50.6417,22361
Clinkz,0.041,46.8911,66970
Tusk,-0.0076,53.5447,34022
Night Stalker,-0.0311,46.5566,42531
Zeus,-0.0842,39.4841,82119
Io,-0.1899,59.2168,14658
Underlord,-0.2853,39.8462,27315
Disruptor,-0.3151,46.3261,41918
Centaur Warrunner,-0.318,40.9711,43987
Viper,-0.3883,44.7268,111233
Pudge,-0.4139,44.0079,206297
Bounty Hunter,-0.4454,46.6375,69294
Lone Druid,-0.4478,56.4745,19793
Treant Protector,-0.5483,45.3062,28804
Venomancer,-0.5904,43.5129,90727
Weaver,-0.6132,44.6101,87415
Clockwerk,-0.6164,44.4943,40985
Ursa,-0.6499,42.1358,73384
Alchemist,-0.6968,51.3585,56310
Spectre,-0.7172,38.316,78946
Bristleback,-0.7378,46.7505,90799
Drow Ranger,-1.0459,43.7979,85061
Phantom Assassin,-1.0902,41.6446,196904
Mirana,-1.2045,44.0931,123602
Jakiro,-1.3845,41.5986,47790
Troll Warlord,-1.4891,42.438,93541
Monkey King,-1.4929,47.3855,105625
Faceless Void,-1.7593,45.0288,98257
Lich,-1.8181,40.4066,52922
Slark,-1.9003,46.6405,100670
Broodmother,-2.0407,52.7753,25186
Nyx Assassin,-2.0768,44.4547,78716
Riki,-2.3787,39.3629,111671
Invoker,-3.0354,45.5439,190122
Keeper of the Light,-3.1144,44.5435,55146
Sniper,-3.2108,42.2227,218830
Anti-Mage,-3.5535,43.5265,189420
