Anti-Mage,7.5262,52.8311,140029
Storm Spirit,5.3566,52.8142,49871
Arc Warden,3.9212,53.6766,18563
Shadow Shaman,3.7851,45.5602,66501
Spirit Breaker,3.6559,43.2558,93222
Morphling,3.648,52.5898,39057
Zeus,3.532,42.2869,66342
Queen of Pain,3.34,54.4593,53539
Night Stalker,3.2254,49.0649,29518
Faceless Void,2.9849,48.8472,72522
Clockwerk,2.8119,47.1889,28922
Spectre,2.5833,40.8949,49654
Juggernaut,2.5578,49.7124,119992
Wraith King,2.402,41.8365,69499
Bounty Hunter,2.3419,48.6099,54100
Ogre Magi,2.2881,45.7544,55905
Broodmother,2.2747,56.2807,19106
Viper,2.2373,46.4928,82260
Skywrath Mage,2.1834,46.6096,40350
Doom,1.9553,51.5029,23886
Phantom Assassin,1.9102,43.5931,187878
Bane,1.8136,51.0876,16503
Pudge,1.7466,45.1522,204942
Phoenix,1.7171,47.8128,19637
Treant Protector,1.6058,46.7338,21830
Mirana,1.5837,45.964,106518
Necrophos,1.4628,40.6351,135021
Keeper of the Light,1.451,48.3362,36002
Pugna,1.3459,48.5976,34477
Dragon Knight,1.3434,46.8246,38484
Luna,1.3055,45.2929,63862
Nature's Prophet,1.2744,53.2622,55514
Chaos Knight,1.2293,41.5885,45236
Phantom Lancer,1.2166,45.3884,49658
Ancient Apparition,1.1978,44.5454,29700
Brewmaster,1.1946,46.303,12686
Rubick,1.1426,50.6198,57833
Silencer,1.1327,43.4696,54622
Tidehunter,1.095,46.0176,27609
Visage,1.0397,46.7769,12333
Lifestealer,0.8771,49.5318,47848
Abaddon,0.8512,42.1229,22337
Venomancer,0.8346,44.1795,60245
Nyx Assassin,0.7334,46.5155,40580
Death Prophet,0.7072,49.6978,24325
Undying,0.594,44.6993,20837
Bloodseeker,0.5775,42.7674,133597
Io,0.5189,59.0967,13285
Templar Assassin,0.5082,50.5058,39144
Lycan,0.4972,48.3683,19122
Shadow Demon,0.4748,50.0475,14736
Puck,0.4339,52.9982,38356
Drow Ranger,0.4216,44.4768,72386
Disruptor,0.399,46.2863,33498
Vengeful Spirit,0.3953,43.4161,38101
Dazzle,0.3633,45.7146,30091
Slark,0.3032,47.9807,82358
Omniknight,0.1784,41.36,32483
Razor,0.118,49.068,24142
Weaver,0.0959,44.5643,65907
Chen,-0.0707,52.704,7914
Centaur Warrunner,-0.1527,40.4938,27298
Slardar,-0.1839,44.5493,51150
Clinkz,-0.28,45.8197,56587
Crystal Maiden,-0.2851,41.02,71170
Sniper,-0.339,43.9974,184754
Beastmaster,-0.3633,50.4016,10956
Earth Spirit,-0.4124,52.3951,23861
Oracle,-0.4663,53.4793,12876
Alchemist,-0.4906,50.7595,44766
Lion,-0.5467,47.267,63412
Legion Commander,-0.6524,46.3691,133701
Ember Spirit,-0.6649,48.5216,55027
Windranger,-0.7584,45.3358,94422
Gyrocopter,-0.8828,47.8244,21167
Batrider,-1.0067,51.4069,15210
Techies,-1.0588,45.8995,24900
Witch Doctor,-1.0642,44.3134,39875
Invoker,-1.0775,46.4754,202227
Tinker,-1.1166,47.1846,64771
Troll Warlord,-1.129,42.059,73713
Naga Siren,-1.1901,50.2411,12854
Tusk,-1.2017,51.5187,25350
Huskar,-1.27,46.2183,53812
Enchantress,-1.4397,49.7158,21118
Enigma,-1.4638,43.0097,37638
Dark Seer,-1.5417,46.7905,15501
Magnus,-1.5675,49.213,49113
Warlock,-1.701,41.4612,22802
Monkey King,-1.7507,46.366,95598
Tiny,-1.7972,47.3413,45417
Medusa,-1.8042,47.4202,31689
Riki,-1.8522,39.156,90788
Sand King,-1.8821,44.5418,55651
Ursa,-1.9035,40.2014,57289
Outworld Devourer,-1.9069,45.5492,39847
Bristleback,-2.1636,44.6256,72586
Underlord,-2.255,37.2344,18644
Terrorblade,-2.2652,43.9812,26891
Timbersaw,-2.3796,46.7021,43407
Lone Druid,-2.3918,53.618,15105
Shadow Fiend,-2.5497,45.1258,110502
Lich,-2.5873,38.8914,72849
Lina,-2.7579,47.3015,61277
Jakiro,-2.9683,39.3177,38957
Axe,-3.2619,39.9167,122693
Earthshaker,-3.3029,41.6407,211024
Leshrac,-3.6113,45.8693,13545
Elder Titan,-4.0759,40.1595,14913
Kunkka,-4.1432,43.4768,72503
Winter Wyvern,-6.7583,38.8763,56600
Sven,-7.1847,36.1373,158869
