Troll Warlord,1.1585,49.6685,273988
Weaver,1.1163,51.1375,258534
Razor,1.0534,56.1756,90468
Drow Ranger,0.9662,50.5302,262142
Lich,0.8894,47.5207,173743
Silencer,0.859,48.4447,259760
Sven,0.852,48.6783,393158
Ursa,0.8378,48.1467,199137
Death Prophet,0.8108,55.9375,87587
Windranger,0.7997,52.5917,362184
Ancient Apparition,0.7995,49.5423,128256
Omniknight,0.7556,47.0307,131816
Witch Doctor,0.7158,51.7644,153221
Shadow Shaman,0.696,47.7696,274532
Vengeful Spirit,0.6959,49.0607,155450
Enigma,0.68,50.7145,133658
Chaos Knight,0.6109,46.0419,169567
Clockwerk,0.607,50.5238,137630
Jakiro,0.6066,48.0828,157189
Undying,0.5998,50.2131,79053
Crystal Maiden,0.572,46.9266,291779
Wraith King,0.5582,44.9818,258660
Phantom Assassin,0.5555,47.6019,657756
Riki,0.4908,46.4435,335541
Sniper,0.4894,50.2275,703636
Medusa,0.4677,55.9068,123602
Monkey King,0.387,54.4548,367846
Spirit Breaker,0.3817,45.0871,375464
Necrophos,0.3612,44.4507,578541
Legion Commander,0.2959,53.1027,510243
Elder Titan,0.2743,50.0886,51876
Juggernaut,0.2666,53.5245,453241
Warlock,0.2228,48.7466,85370
Faceless Void,0.219,51.9293,302819
Invoker,0.1337,53.4668,772510
Phoenix,0.0891,51.9416,80138
Lina,0.0371,56.3305,238398
Brewmaster,0.033,50.7367,45468
Sand King,0.0309,52.2132,232351
Luna,0.027,49.5136,229886
Dragon Knight,0.0186,51.1578,135121
Skywrath Mage,0.0114,49.9738,160698
Dazzle,-0.0181,50.9701,123486
Viper,-0.0645,49.7902,322264
Ogre Magi,-0.0844,48.8001,237569
Shadow Fiend,-0.0862,53.3979,416750
Lifestealer,-0.0887,54.6503,179181
Gyrocopter,-0.1306,54.6702,75659
Nature's Prophet,-0.138,58.4871,202918
Earthshaker,-0.145,49.8685,553251
Underlord,-0.146,44.1248,76517
Lion,-0.151,53.6443,264380
Bristleback,-0.1854,52.3026,260899
Enchantress,-0.2081,57.3089,71563
Pugna,-0.2403,52.9324,146211
Leshrac,-0.2672,55.4298,46769
Night Stalker,-0.3271,51.2106,121588
Abaddon,-0.3292,45.9791,89745
Tiny,-0.3419,54.9185,173528
Slardar,-0.3752,49.8744,255221
Bloodseeker,-0.4035,47.0738,514823
Phantom Lancer,-0.4071,49.2559,173914
Venomancer,-0.41,48.2755,287243
Disruptor,-0.415,51.1767,147223
Centaur Warrunner,-0.4395,45.1251,119357
Lycan,-0.4864,53.307,66312
Pudge,-0.5055,48.6176,859328
Keeper of the Light,-0.5228,52.2387,158478
Dark Seer,-0.5734,53.8101,60076
Kunkka,-0.5762,52.8419,291284
Outworld Devourer,-0.6304,52.7162,163718
Bane,-0.6634,54.7225,63641
Beastmaster,-0.6906,56.4024,39477
Nyx Assassin,-0.7094,50.7429,194437
Clinkz,-0.7329,51.055,187533
Timbersaw,-0.7652,54.4069,152964
Anti-Mage,-0.7742,50.976,495931
Winter Wyvern,-0.7753,50.7009,92657
Chen,-0.7984,58.5115,24684
Storm Spirit,-0.8194,52.6637,195402
Morphling,-0.8224,54.306,155222
Huskar,-0.8688,52.4332,191800
Doom,-0.9232,54.7862,95838
Alchemist,-0.95,56.6744,154777
Slark,-1.0155,52.6288,341085
Terrorblade,-1.017,50.9189,101424
Tidehunter,-1.0326,49.3935,115912
Naga Siren,-1.0574,56.742,45083
Treant Protector,-1.0842,49.5635,86033
Batrider,-1.0848,57.9887,60879
Magnus,-1.1015,56.1273,187919
Axe,-1.1497,47.0916,373351
Visage,-1.1777,50.1499,43677
Tusk,-1.2261,58.1345,100319
Rubick,-1.256,54.5382,272099
Queen of Pain,-1.2895,56.3871,208269
Spectre,-1.2948,41.5756,226301
Techies,-1.3962,51.3389,85514
Zeus,-1.4362,42.0812,275227
Templar Assassin,-1.5164,54.6809,140303
Tinker,-1.715,52.5903,244064
Ember Spirit,-1.7336,53.5846,174145
Shadow Demon,-1.847,53.8509,60530
Lone Druid,-1.8692,61.1617,52505
Oracle,-1.93,58.7757,50759
Bounty Hunter,-1.9555,50.0657,231078
Broodmother,-1.9791,58.5296,61140
Io,-2.0018,63.798,43738
Meepo,-2.1435,54.0359,106518
Puck,-2.3424,56.9028,158992
Earth Spirit,-2.5165,57.0605,99242
Arc Warden,-2.5518,53.2615,68479
