Spectre,2.3823,41.6297,192247
Anti-Mage,2.2838,49.9581,423140
Underlord,1.9403,42.4749,69787
Abaddon,1.8524,44.3967,81506
Centaur Warrunner,1.7325,43.5625,104668
Wraith King,1.6745,42.2291,246583
Crystal Maiden,1.5762,44.0904,243851
Axe,1.569,45.8646,355182
Bloodseeker,1.5623,45.0468,492372
Undying,1.5211,47.2241,73312
Warlock,1.3787,46.0366,76791
Meepo,1.3229,53.6339,95598
Legion Commander,1.242,50.0041,453912
Medusa,1.2342,52.6144,105625
Omniknight,1.1945,43.6091,115939
Lycan,1.1576,51.0598,63780
Invoker,1.1337,50.3659,632177
Drow Ranger,0.8682,46.4743,234269
Pudge,0.8295,45.8731,727003
Spirit Breaker,0.8186,41.6335,358055
Ember Spirit,0.7757,52.1429,159310
Alchemist,0.7644,54.4123,147029
Treant Protector,0.749,47.5355,79431
Silencer,0.7243,44.4307,208779
Earthshaker,0.7232,46.7565,441198
Lifestealer,0.6879,51.4226,163253
Juggernaut,0.664,49.8894,408874
Rubick,0.6353,52.2994,207855
Dazzle,0.6069,47.6503,105292
Death Prophet,0.5765,51.6788,84044
Enigma,0.5521,46.5998,120687
Elder Titan,0.5397,46.4078,46268
Huskar,0.5327,49.9051,193425
Jakiro,0.5153,44.078,135809
Disruptor,0.4716,48.0999,121210
Shadow Fiend,0.4672,49.8952,353096
Ursa,0.4199,43.7257,213405
Faceless Void,0.4076,48.1138,264379
Sven,0.3947,44.3101,368974
Chaos Knight,0.3924,41.8747,171077
Doom,0.3545,52.0874,88674
Ogre Magi,0.2317,45.2117,194069
Shadow Shaman,0.2316,43.4042,238608
Dragon Knight,0.2312,47.4141,131794
Dark Seer,0.2109,50.5908,53735
Vengeful Spirit,0.1897,44.5793,138562
Clockwerk,0.1556,46.065,115821
Kunkka,0.1114,49.4897,247809
Weaver,0.0905,46.1138,233468
Outworld Devourer,0.0735,49.4088,135419
Witch Doctor,0.033,47.0612,136025
Nyx Assassin,0.025,47.5097,163716
Winter Wyvern,0.0191,47.5516,79358
Timbersaw,0.0116,51.2426,173262
Riki,-0.0026,42.0546,313257
Pugna,-0.0203,49.1175,123060
Leshrac,-0.0342,51.6354,43412
Sand King,-0.0371,48.1166,193775
Bane,-0.0651,51.3055,57448
Tidehunter,-0.0975,46.4212,103403
Lion,-0.1001,49.6328,214644
Puck,-0.1152,54.9603,126695
Bristleback,-0.1268,48.3888,253705
Gyrocopter,-0.1341,50.6291,70655
Arc Warden,-0.1669,51.7364,61015
Razor,-0.1692,50.8491,85502
Viper,-0.1701,45.7451,298117
Phantom Lancer,-0.1965,45.522,176321
Troll Warlord,-0.2019,44.3259,269894
Necrophos,-0.2158,40.101,468337
Naga Siren,-0.2554,53.548,42375
Keeper of the Light,-0.2687,48.4482,137074
Luna,-0.2712,45.2531,210750
Zeus,-0.2735,39.4787,239159
Nature's Prophet,-0.2844,54.1968,184411
Slark,-0.347,49.2661,295217
Brewmaster,-0.3472,46.3423,43293
Ancient Apparition,-0.3808,44.3642,107332
Storm Spirit,-0.3915,49.0704,173626
Phoenix,-0.3994,47.3935,71516
Lina,-0.4037,51.7696,208825
Earth Spirit,-0.4139,55.0027,82314
Skywrath Mage,-0.4873,45.4896,144167
Night Stalker,-0.4914,47.0145,120720
Mirana,-0.4917,45.5451,367846
Venomancer,-0.5245,44.2427,236258
Morphling,-0.5354,50.5152,137224
Lich,-0.5561,42.0837,160979
Shadow Demon,-0.5669,51.111,50629
Terrorblade,-0.5686,47.4021,94329
Broodmother,-0.5759,56.0885,63726
Tiny,-0.6049,50.5867,159621
Tusk,-0.6146,54.6246,89564
Visage,-0.6211,46.7426,41966
Beastmaster,-0.631,52.4432,39128
Slardar,-0.6565,45.6371,191699
Oracle,-0.6966,55.9084,44961
Sniper,-0.7314,45.1788,600783
Enchantress,-0.7392,52.7198,69380
Windranger,-0.7858,47.0003,340287
Queen of Pain,-0.8292,52.6798,172563
Magnus,-0.9385,52.0998,156079
Techies,-0.9542,47.7979,82014
Lone Druid,-1.038,57.8716,48008
Io,-1.1093,60.5987,40986
Clinkz,-1.195,46.6058,188427
Bounty Hunter,-1.2081,46.8346,200027
Chen,-1.2682,53.9195,23064
Phantom Assassin,-1.3716,41.9562,613704
Templar Assassin,-1.4928,50.646,128235
Tinker,-1.5056,48.7304,195420
Batrider,-2.3561,52.4938,57502
