Visage,4.3759,48.7893,6360
Arc Warden,4.1351,52.423,9946
Templar Assassin,4.1148,52.5859,20998
Broodmother,3.5596,56.0095,11673
Shadow Demon,3.5323,51.6888,8201
Clinkz,3.0695,47.7183,28576
Bounty Hunter,2.6708,47.5532,28568
Riki,2.4779,42.0292,42813
Lycan,2.4358,48.9047,12600
Chen,2.3478,53.6511,4300
Oracle,2.0603,54.5131,6747
Faceless Void,2.0351,46.552,41459
Bane,1.7712,49.6242,9582
Earth Spirit,1.7468,53.0606,10145
Batrider,1.7223,52.6732,8847
Chaos Knight,1.7082,40.8349,26350
Weaver,1.6248,44.7289,34680
Night Stalker,1.585,46.0737,17765
Treant Protector,1.5817,45.3779,12462
Phantom Lancer,1.5523,44.3994,29363
Enchantress,1.5081,51.2093,12238
Dazzle,1.4741,45.4952,14973
Winter Wyvern,1.4238,45.9158,11214
Io,1.3652,58.3024,6739
Slardar,1.343,44.7249,26502
Ancient Apparition,1.3031,43.3717,14574
Techies,1.2652,46.8744,12094
Silencer,1.2289,42.301,28926
Undying,1.216,44.0165,12309
Phantom Assassin,1.1983,41.6995,75092
Meepo,1.1841,49.7588,12854
Tinker,1.1514,48.0306,25669
Wraith King,1.1289,39.4302,35417
Vengeful Spirit,1.0933,42.8303,22414
Razor,1.0276,48.5493,16855
Nature's Prophet,0.9857,51.5028,25917
Nyx Assassin,0.8194,45.2554,23785
Shadow Shaman,0.8132,41.4499,30567
Windranger,0.8023,45.4936,40654
Tusk,0.7221,51.9437,15228
Ursa,0.7105,41.5109,31411
Tidehunter,0.7017,44.3033,16615
Drow Ranger,0.6666,43.4308,36801
Spirit Breaker,0.6298,39.2089,44120
Lifestealer,0.5476,47.8051,25309
Doom,0.5399,48.667,14067
Clockwerk,0.5217,43.6058,16046
Viper,0.4261,43.4753,41596
Brewmaster,0.3671,44.1421,8160
Skywrath Mage,0.268,43.4258,20497
Invoker,0.1997,46.3332,68875
Beastmaster,0.1936,49.535,7205
Morphling,0.1555,47.7298,20197
Kunkka,0.1192,46.2262,34223
Phoenix,0.0604,44.8184,10576
Mirana,0.0602,43.2579,45083
Troll Warlord,0.0507,41.9387,36663
Queen of Pain,0.047,49.7919,24753
Lich,-0.0039,40.2665,21308
Slark,-0.0637,46.2697,39568
Warlock,-0.1385,41.7673,12742
Abaddon,-0.1623,39.8708,14399
Lion,-0.1654,46.2809,29295
Lone Druid,-0.2117,54.2684,9254
Monkey King,-0.2267,46.4519,42375
Huskar,-0.2647,45.8344,29480
Keeper of the Light,-0.3389,45.2256,17081
Rubick,-0.3607,47.7721,25653
Storm Spirit,-0.3875,45.829,23280
Pudge,-0.3898,42.0098,76682
Terrorblade,-0.4402,44.4653,17580
Spectre,-0.4716,36.7759,28331
Ogre Magi,-0.4794,41.7969,25064
Ember Spirit,-0.5276,47.2707,23596
Witch Doctor,-0.5862,43.4875,19555
Omniknight,-0.6437,39.3331,18234
Elder Titan,-0.6658,42.3323,8412
Pugna,-0.6692,45.2512,18110
Bristleback,-0.707,44.6958,34963
Bloodseeker,-0.7383,40.3293,60720
Death Prophet,-0.7589,46.8399,14430
Dark Seer,-0.7597,46.2084,9165
Enigma,-0.7962,42.4066,17443
Luna,-0.8234,41.9695,33734
Disruptor,-0.83,43.7565,16217
Juggernaut,-0.9045,45.1851,51840
Crystal Maiden,-0.9166,39.2049,31746
Anti-Mage,-0.9475,43.8297,55711
Lina,-0.9962,47.6105,29296
Puck,-1.0328,50.0871,17202
Shadow Fiend,-1.152,45.1052,45110
Centaur Warrunner,-1.1875,38.2577,17586
Underlord,-1.2796,37.0343,11006
Timbersaw,-1.3314,46.3599,20975
Magnus,-1.3785,47.9835,22118
Tiny,-1.5609,46.1866,25319
Alchemist,-1.6067,48.2182,23657
Jakiro,-1.6075,39.4522,18767
Gyrocopter,-1.6082,45.7137,14908
Dragon Knight,-1.6139,42.6037,21815
Medusa,-1.6781,46.1495,21322
Venomancer,-1.7211,40.4639,32550
Sven,-1.7695,39.7017,51441
Zeus,-1.9213,35.8754,30854
Outworld Devourer,-2.0806,44.0466,20560
Sniper,-2.1826,41.0931,77429
Sand King,-2.3729,42.7627,27994
Legion Commander,-2.395,43.4614,57000
Earthshaker,-2.5079,40.9412,60980
Leshrac,-2.5412,45.5759,8612
Axe,-2.7248,39.1359,45531
Necrophos,-3.2145,35.1122,53742
