Tidehunter,4.3519,47.0139,60565
Io,4.2721,61.4634,29014
Oracle,3.4059,55.6028,28423
Visage,3.3594,46.8755,27125
Chen,3.2343,54.2196,15961
Warlock,2.9932,43.8099,46688
Elder Titan,2.7871,44.8107,27268
Lich,2.7383,41.7418,92914
Ancient Apparition,2.6869,43.6586,65089
Techies,2.6278,47.383,57740
Enigma,2.5972,44.7598,67784
Shadow Demon,2.5388,50.072,32607
Witch Doctor,2.4446,45.5085,83224
Abaddon,2.1898,41.0037,47242
Omniknight,2.0156,40.7258,67812
Ursa,2.0108,41.6166,112294
Undying,1.9486,43.7189,43416
Venomancer,1.7835,42.7119,138109
Skywrath Mage,1.7516,43.8416,88197
Lifestealer,1.7408,48.2504,92793
Silencer,1.7089,41.6252,120511
Underlord,1.6796,38.6132,40297
Dazzle,1.5994,44.654,64236
Winter Wyvern,1.5718,45.1223,48599
Shadow Shaman,1.5405,40.9431,145194
Disruptor,1.5343,45.1377,73309
Phoenix,1.4909,45.3244,41225
Sniper,1.4721,43.2826,333854
Wraith King,1.4524,38.417,138074
Death Prophet,1.3693,48.2366,48855
Bristleback,1.3539,45.799,137077
Sven,1.2375,41.3467,202074
Riki,1.2091,39.6003,172491
Brewmaster,1.206,43.9926,26509
Viper,1.1869,43.1775,166561
Invoker,1.1475,46.2379,359681
Bane,1.0529,48.2062,37128
Centaur Warrunner,1.0084,39.1391,60267
Enchantress,0.9853,50.1278,43020
Troll Warlord,0.9726,41.6987,147839
Drow Ranger,0.9641,42.6715,132116
Juggernaut,0.9228,46.0245,218179
Lion,0.8793,46.454,129909
Lycan,0.8545,46.5392,38445
Lone Druid,0.8273,55.0959,30053
Outworld Devourer,0.7863,46.0147,76219
Arc Warden,0.781,48.4088,38179
Jakiro,0.7103,40.5132,79253
Dragon Knight,0.6137,43.8216,74130
Dark Seer,0.5957,46.7748,32774
Weaver,0.5953,42.7091,133044
Razor,0.5951,47.4039,47996
Huskar,0.569,45.811,106018
Pugna,0.5558,45.5822,75389
Ogre Magi,0.5484,41.6657,117113
Vengeful Spirit,0.4575,41.0537,79659
Windranger,0.3663,44.1004,201905
Earth Spirit,0.2948,51.1388,46581
Treant Protector,0.2578,43.0266,48556
Keeper of the Light,0.2376,44.8666,81049
Nyx Assassin,0.2147,43.6993,93633
Luna,0.1993,41.8588,121475
Bloodseeker,0.1788,39.9931,273697
Faceless Void,0.1531,43.8409,148838
Clinkz,0.1197,43.9355,108641
Pudge,0.1005,41.386,403324
Crystal Maiden,0.0875,38.8678,152437
Phantom Lancer,0.0321,41.8935,95480
Doom,0.0241,47.4389,52967
Beastmaster,0.0132,48.7203,23015
Rubick,-0.0075,47.3706,112082
Terrorblade,-0.0227,43.9456,53903
Monkey King,-0.0236,45.8031,184411
Clockwerk,-0.0518,41.9471,67554
Necrophos,-0.0855,36.695,282902
Medusa,-0.1006,46.9711,61921
Puck,-0.1076,50.4631,73626
Chaos Knight,-0.1268,37.7624,92645
Lina,-0.1555,47.7135,122569
Leshrac,-0.1978,47.19,27741
Tiny,-0.2115,46.7465,91733
Tusk,-0.2121,50.5232,52176
Zeus,-0.2787,36.0187,133572
Kunkka,-0.2924,44.9506,146416
Axe,-0.2933,40.2618,191514
Morphling,-0.3404,46.4701,81166
Gyrocopter,-0.4191,46.1129,41561
Magnus,-0.5536,48.1293,84946
Slardar,-0.5785,41.8312,104986
Ember Spirit,-0.6017,46.44,87388
Queen of Pain,-0.6029,48.5314,99245
Night Stalker,-0.6173,42.9229,62258
Timbersaw,-0.6356,46.2562,85930
Mirana,-0.6581,41.5128,202918
Earthshaker,-0.7017,41.4887,271642
Bounty Hunter,-0.7432,43.3075,110692
Templar Assassin,-0.8384,47.0451,73659
Naga Siren,-0.879,48.4971,25917
Broodmother,-1.0633,50.9831,38905
Shadow Fiend,-1.1052,44.255,194624
Meepo,-1.1272,46.7377,55514
Tinker,-1.1851,44.9082,121579
Batrider,-1.2008,49.2003,32266
Slark,-1.311,44.2059,166991
Phantom Assassin,-1.3115,38.3176,333700
Anti-Mage,-1.5026,42.3329,241044
Spirit Breaker,-1.5781,35.7469,230224
Legion Commander,-1.6102,43.2299,266403
Sand King,-1.6584,42.4542,113275
Alchemist,-1.7211,47.4552,86806
Spectre,-1.9328,33.7945,112175
Storm Spirit,-2.6916,42.6353,102401
