Spectre,2.9568,52.0303,22237
Bristleback,2.3327,61.424,33355
Centaur Warrunner,1.6218,53.0593,12241
Spirit Breaker,1.6163,52.0003,36094
Riki,1.3693,53.1922,32642
Dragon Knight,1.2487,58.588,14165
Axe,1.2405,55.4488,38724
Phantom Assassin,1.1856,53.9892,64950
Viper,1.1743,57.2201,31620
Tidehunter,1.0897,57.6637,11189
Omniknight,1.0589,53.0221,13302
Chaos Knight,1.0291,52.5944,16015
Troll Warlord,0.9003,55.095,28979
Razor,0.8473,62.0531,7861
Slark,0.8406,60.6338,30605
Brewmaster,0.8243,57.4199,4124
Sven,0.782,54.8973,38623
Outworld Devourer,0.7449,60.5249,15848
Treant Protector,0.6377,57.6947,7999
Slardar,0.6075,57.1456,20509
Huskar,0.5844,60.2177,21218
Abaddon,0.3832,52.8343,8256
Underlord,0.1296,50.007,7071
Tiny,0.0962,61.5417,16176
Lycan,0.0928,60.2678,6720
Crystal Maiden,-0.0328,51.904,28387
Jakiro,-0.0479,53.5673,14044
Phantom Lancer,-0.0522,55.8643,17274
Vengeful Spirit,-0.0643,54.381,13159
Shadow Shaman,-0.143,53.0612,25333
Winter Wyvern,-0.4125,57.2193,8214
Venomancer,-0.5168,54.3177,27109
Ursa,-0.5223,52.3513,21413
Ogre Magi,-0.5291,54.3485,23180
Night Stalker,-0.5369,57.2232,12266
Bounty Hunter,-0.5456,57.9541,18877
Naga Siren,-0.6381,63.5601,3938
Monkey King,-0.6522,59.6552,30807
Timbersaw,-0.6537,61.1799,16458
Mirana,-0.7133,55.3467,38678
Clockwerk,-0.758,54.9631,11666
Bloodseeker,-0.7779,52.7714,51308
Beastmaster,-0.7917,62.7854,3547
Leshrac,-0.798,61.087,4379
Faceless Void,-0.857,56.8861,30830
Earthshaker,-0.883,55.2453,52303
Weaver,-0.9055,55.0531,25390
Lifestealer,-0.9234,60.2146,18263
Wraith King,-0.9527,49.2477,26255
Sand King,-0.9894,57.4809,21842
Broodmother,-1.0086,66.6083,6286
Disruptor,-1.0294,56.5158,14104
Alchemist,-1.0435,62.8121,16578
Enigma,-1.0771,54.8265,13291
Witch Doctor,-1.1024,55.8522,14379
Lich,-1.1683,51.3584,16636
Luna,-1.1772,54.3492,21452
Legion Commander,-1.1811,57.8481,47680
Storm Spirit,-1.1851,58.5685,19630
Undying,-1.222,54.2302,7931
Dazzle,-1.263,55.8346,14294
Shadow Fiend,-1.2833,58.3571,38129
Phoenix,-1.3693,56.3154,7165
Clinkz,-1.4771,56.4919,19270
Lone Druid,-1.4924,67.7302,4983
Elder Titan,-1.5118,54.2058,4684
Kunkka,-1.5533,58.0103,27121
Templar Assassin,-1.555,60.8876,12955
Windranger,-1.5604,56.2802,36551
Juggernaut,-1.5653,57.9692,44841
Pudge,-1.6391,53.6309,75958
Gyrocopter,-1.7212,59.2884,6212
Silencer,-1.7916,51.6017,24691
Drow Ranger,-1.8068,53.6288,22872
Nature's Prophet,-1.8205,63.5842,21985
Bane,-1.8773,59.1621,6827
Warlock,-1.9205,52.5167,8066
Zeus,-2.0175,47.4345,24849
Nyx Assassin,-2.0242,55.5241,19469
Tusk,-2.0386,63.6548,8854
Rubick,-2.0495,60.0859,26061
Magnus,-2.1458,61.6154,17382
Invoker,-2.201,57.6386,73095
Lion,-2.2023,57.7608,27716
Terrorblade,-2.2597,55.9741,9742
Batrider,-2.3216,63.1219,5849
Earth Spirit,-2.3413,64.0774,8162
Dark Seer,-2.3607,58.039,5834
Enchantress,-2.3718,61.226,6574
Chen,-2.4522,63.3333,2340
Anti-Mage,-2.7926,55.0643,47074
Techies,-2.908,55.8165,7281
Meepo,-2.9294,59.0636,9825
Keeper of the Light,-3.0122,55.7847,16146
Sniper,-3.0743,52.7521,62060
Shadow Demon,-3.0882,58.9043,6772
Puck,-3.1049,62.4414,15155
Io,-3.1083,69.3801,4275
Morphling,-3.1578,58.6552,15765
Skywrath Mage,-3.222,52.6497,15681
Doom,-3.2405,58.8371,9098
Tinker,-3.2578,57.1141,23411
Queen of Pain,-3.2655,60.8025,20361
Ancient Apparition,-3.314,50.9417,14601
Medusa,-3.3292,57.7208,11197
Death Prophet,-3.5396,57.4997,9247
Visage,-3.6323,54.1092,4064
Ember Spirit,-3.8148,57.7679,16568
Lina,-3.8218,58.7335,24921
Oracle,-4.1666,62.916,5528
Arc Warden,-4.3545,57.997,6121
Pugna,-4.5942,54.5921,14808
