Keeper of the Light,2.9585,54.0032,72516
Storm Spirit,1.7309,53.4294,61672
Morphling,1.7294,54.8792,47794
Tinker,1.5513,53.9689,69640
Clinkz,1.2627,51.4892,64530
Pugna,1.2334,52.6519,45117
Ancient Apparition,1.1961,48.6714,39403
Nyx Assassin,1.0747,50.9879,66094
Brewmaster,1.0741,50.3357,18315
Weaver,1.0492,49.6283,82076
Silencer,1.033,47.488,76276
Anti-Mage,1.0146,51.1038,136980
Invoker,0.938,52.4545,193522
Windranger,0.8969,51.0584,106993
Nature's Prophet,0.8679,57.077,62258
Monkey King,0.8481,52.9854,120720
Faceless Void,0.7536,50.8482,94723
Phoenix,0.7138,50.966,27120
Shadow Shaman,0.6793,46.6816,85267
Drow Ranger,0.6251,48.8195,79712
Riki,0.6207,45.6149,105391
Shadow Fiend,0.6057,52.2659,111145
Lion,0.5404,52.4867,75280
Skywrath Mage,0.4024,48.9888,51873
Pudge,0.3744,48.1004,220476
Arc Warden,0.3617,54.2893,22509
Legion Commander,0.3234,51.4338,141434
Zeus,0.307,43.271,80079
Juggernaut,0.2978,51.795,135063
Ursa,0.2612,46.4312,74325
Phantom Assassin,0.2046,46.1733,184561
Lifestealer,0.2029,53.044,62056
Lone Druid,0.2028,60.5202,18531
Rubick,0.1819,53.8608,66293
Mirana,0.1728,48.7893,121588
Earth Spirit,0.1231,57.1713,29555
Spectre,0.094,42.5441,68564
Magnus,0.0628,55.0242,56795
Techies,0.0548,51.19,27435
Jakiro,0.0461,46.4218,50138
Medusa,0.0364,53.4433,42531
Alchemist,0.0194,55.4667,52810
Queen of Pain,0.0162,55.4067,63189
Timbersaw,0.0035,53.2452,51691
Disruptor,-0.0472,49.9925,47013
Earthshaker,-0.0931,48.5488,156873
Warlock,-0.1171,47.1742,30116
Slark,-0.1387,51.7194,98522
Sven,-0.1428,46.5541,119027
Troll Warlord,-0.155,47.1257,92650
Outworld Devourer,-0.161,51.4397,51431
Elder Titan,-0.1781,48.2488,19016
Bane,-0.1991,53.2624,23234
Leshrac,-0.2507,53.4792,17547
Lich,-0.2526,45.3489,59084
Kunkka,-0.2543,51.3869,89836
Sniper,-0.2621,48.1771,181173
Enchantress,-0.2639,55.1128,26531
Clockwerk,-0.2708,48.2405,46691
Ogre Magi,-0.2727,47.3887,70253
Ember Spirit,-0.2915,53.091,56356
Templar Assassin,-0.3037,53.8965,48120
Vengeful Spirit,-0.31,46.8402,50954
Abaddon,-0.3109,45.0314,34185
Puck,-0.3169,56.468,46382
Centaur Warrunner,-0.3255,44.3899,42602
Dazzle,-0.336,49.1616,38170
Shadow Demon,-0.3537,53.4116,19741
Axe,-0.3582,46.7159,118833
Oracle,-0.3775,57.8347,17282
Lina,-0.3896,53.7866,73481
Omniknight,-0.4225,44.8543,46593
Crystal Maiden,-0.4358,44.9915,82311
Chen,-0.4879,56.4936,8824
Witch Doctor,-0.494,49.0247,49216
Wraith King,-0.551,43.0966,85726
Enigma,-0.6841,47.9345,41419
Slardar,-0.712,48.1665,71585
Tusk,-0.7196,56.2455,35441
Batrider,-0.7324,55.9372,21045
Luna,-0.7331,47.4549,76226
Io,-0.7569,62.0771,15550
Bristleback,-0.7728,50.1132,90924
Doom,-0.7962,52.9492,35111
Tiny,-0.7989,52.5037,57773
Bounty Hunter,-0.9452,49.5503,68605
Visage,-0.9953,48.8711,15547
Treant Protector,-0.9956,48.2606,31419
Lycan,-1.009,51.0398,28082
Necrophos,-1.024,42.4749,159607
Terrorblade,-1.0377,49.3629,37518
Sand King,-1.0908,49.4685,75450
Winter Wyvern,-1.0914,48.8752,28984
Beastmaster,-1.1644,53.8325,15825
Undying,-1.1862,47.0313,30216
Death Prophet,-1.2456,51.9267,32931
Viper,-1.2523,47.3067,106731
Underlord,-1.2944,42.2349,28197
Gyrocopter,-1.3862,51.5125,29387
Tidehunter,-1.409,47.649,41537
Dragon Knight,-1.441,48.2124,50124
Spirit Breaker,-1.4931,42.5344,124880
Broodmother,-1.5217,56.7124,24991
Bloodseeker,-1.5782,44.9254,159048
Phantom Lancer,-1.6888,46.673,63135
Venomancer,-1.7269,45.8296,90976
Naga Siren,-1.7351,53.9262,17765
Razor,-1.7417,51.3982,36474
Chaos Knight,-1.8031,42.7077,62340
Huskar,-1.866,49.792,68053
Dark Seer,-1.8894,50.6227,21518
Meepo,-3.2322,50.935,29518
