Outworld Devourer,2.5685,54.3333,103443
Tinker,1.9007,54.4863,133338
Medusa,1.8758,55.5452,78716
Phoenix,1.5502,51.9186,41879
Crystal Maiden,1.5446,46.8686,131621
Wraith King,1.4474,44.9481,126568
Storm Spirit,1.4365,53.2939,111005
Pugna,1.3166,52.8916,86473
Invoker,1.3017,52.8644,316740
Necrophos,1.2736,44.5178,280914
Lich,1.1734,46.7134,89000
Abaddon,1.1266,46.44,47472
Keeper of the Light,1.1184,52.3006,81674
Weaver,1.0541,49.6803,120275
Bristleback,1.0071,51.935,117826
Ancient Apparition,0.9981,48.4713,66367
Timbersaw,0.9632,54.3635,71548
Windranger,0.9064,51.1529,161199
Sand King,0.8251,51.4389,117277
Dazzle,0.6462,50.209,54524
Mirana,0.6298,49.257,194437
Skywrath Mage,0.5908,49.2059,89166
Luna,0.5805,48.7656,105320
Leshrac,0.5531,54.5204,27973
Jakiro,0.5301,46.8702,77115
Enigma,0.3901,49.0436,62006
Earthshaker,0.3089,48.9526,258689
Lina,0.2748,54.6288,116001
Queen of Pain,0.2683,55.8877,96404
Witch Doctor,0.2471,49.8203,74295
Batrider,0.2216,57.2574,34523
Clockwerk,0.2078,48.7417,72683
Puck,0.1858,57.2679,75234
Monkey King,0.1709,52.4902,163716
Silencer,0.1688,46.6068,134255
Zeus,0.1563,42.9871,138753
Centaur Warrunner,0.1552,44.7881,61936
Legion Commander,0.148,51.3709,208830
Bloodseeker,0.1392,46.4689,233993
Arc Warden,0.1186,54.2204,32248
Dark Seer,0.0861,52.7764,30993
Winter Wyvern,0.0762,50.1217,42289
Oracle,0.0636,58.6139,26045
Ogre Magi,0.0603,47.72,105792
Shadow Fiend,0.0343,51.8388,161348
Spectre,0.0339,42.3204,110580
Shadow Demon,0.0099,53.9704,30072
Faceless Void,-0.0524,50.1467,149924
Slark,-0.0666,51.9056,142736
Disruptor,-0.0739,50.0377,72799
Warlock,-0.0938,47.1852,44978
Morphling,-0.1253,53.2038,75237
Alchemist,-0.1574,55.4901,71465
Nature's Prophet,-0.1657,56.3006,93633
Sniper,-0.17,48.2919,274696
Elder Titan,-0.1855,48.2687,26224
Underlord,-0.1907,43.209,42093
Vengeful Spirit,-0.2366,46.9028,72405
Terrorblade,-0.2665,50.2142,51565
Lion,-0.2738,51.8144,117554
Troll Warlord,-0.2754,47.0061,124037
Spirit Breaker,-0.3081,43.5377,169313
Shadow Shaman,-0.3255,45.6643,133971
Magnus,-0.4024,54.7779,85434
Phantom Lancer,-0.4471,47.9173,83882
Rubick,-0.4513,53.4127,115772
Slardar,-0.4675,48.4332,119767
Enchantress,-0.4802,55.0796,35741
Earth Spirit,-0.4928,56.8595,46446
Phantom Assassin,-0.5009,45.5044,266706
Pudge,-0.5053,47.3501,336656
Brewmaster,-0.5167,48.7595,23499
Undying,-0.5405,47.6997,41539
Bane,-0.5591,53.0546,33064
Venomancer,-0.5636,46.9308,154653
Treant Protector,-0.6061,48.698,41554
Visage,-0.6287,49.3031,21670
Kunkka,-0.653,51.1113,133976
Riki,-0.6691,44.3205,163448
Doom,-0.7429,53.186,53185
Chen,-0.7535,56.4597,12485
Drow Ranger,-0.7549,47.4978,111464
Omniknight,-0.7867,44.4322,62943
Meepo,-0.8354,53.4844,40580
Ursa,-0.8479,45.317,94172
Razor,-0.954,52.3268,48627
Chaos Knight,-0.965,43.4589,82991
Anti-Mage,-0.9673,49.3285,205595
Sven,-0.9922,45.7266,164685
Axe,-1.019,46.0732,168653
Tidehunter,-1.0275,48.0572,61641
Ember Spirit,-1.0392,52.5263,93298
Tiny,-1.0408,52.4041,79715
Night Stalker,-1.0427,49.012,66094
Tusk,-1.0726,56.1225,48207
Naga Siren,-1.1187,54.7445,23785
Gyrocopter,-1.1312,51.8964,39205
Beastmaster,-1.1823,53.9761,20359
Lycan,-1.1989,50.9407,34122
Bounty Hunter,-1.2566,49.3166,122186
Techies,-1.2635,49.9386,36693
Death Prophet,-1.3994,51.8958,44123
Io,-1.4934,61.6831,21424
Clinkz,-1.5607,48.7765,92321
Broodmother,-1.6719,56.7927,32888
Dragon Knight,-1.7049,47.9895,64785
Lone Druid,-1.7636,58.8154,25359
Huskar,-1.8506,49.8878,88749
Juggernaut,-1.9568,49.7847,202783
Viper,-2.2486,46.3527,139679
Lifestealer,-2.4606,50.5341,88263
Templar Assassin,-2.7485,51.5961,64154
