Ursa,1.9911,50.2788,9145
Tiny,1.6433,57.4071,7351
Wraith King,1.4288,47.364,12159
Timbersaw,1.4138,57.3931,6736
Batrider,1.1869,60.6783,2683
Riki,1.1058,48.368,14032
Slardar,1.0732,52.4966,9793
Skywrath Mage,1.0339,52.1475,6752
Shadow Fiend,1.0118,55.1311,16127
Zeus,0.9737,46.3891,10690
Bristleback,0.9167,54.2968,13126
Drow Ranger,0.8427,51.4598,10515
Phantom Assassin,0.774,48.9525,28307
Keeper of the Light,0.7596,54.3896,7700
Medusa,0.708,56.4308,4976
Lion,0.7,55.2042,13883
Clinkz,0.6542,53.4766,8744
Dragon Knight,0.5996,52.6567,6267
Lich,0.5687,48.5853,8589
Crystal Maiden,0.5073,47.9226,14538
Monkey King,0.4009,55.1777,13529
Templar Assassin,0.3774,57.1785,5997
Troll Warlord,0.3603,49.7216,12574
Sven,0.3359,49.6688,17363
Shadow Shaman,0.2375,48.7749,12775
Windranger,0.2331,52.8077,15653
Pugna,0.2149,54.2299,5993
Razor,0.2052,55.8326,3729
Bloodseeker,0.1957,49.0279,21502
Omniknight,0.1602,47.5123,5849
Centaur Warrunner,0.1336,46.9775,5211
Axe,0.1302,49.5089,16700
Ancient Apparition,0.1267,49.8631,5846
Spectre,0.1064,44.8729,9206
Pudge,0.0989,50.3416,32343
Earthshaker,0.0747,51.151,23630
Queen of Pain,0.0143,58.1468,8623
Legion Commander,-0.0375,53.6158,19774
Io,-0.0455,65.9162,2221
Alchemist,-0.0574,57.7628,6866
Anti-Mage,-0.0611,52.5639,20067
Spirit Breaker,-0.0769,45.9621,16655
Mirana,-0.0925,50.9255,16909
Underlord,-0.1268,45.505,3059
Necrophos,-0.13,45.6514,23180
Bounty Hunter,-0.1479,53.0979,8441
Luna,-0.1669,50.4946,9805
Venomancer,-0.1734,49.7807,11633
Oracle,-0.1812,60.5562,2373
Gyrocopter,-0.1854,55.4621,2856
Doom,-0.2279,56.2531,3934
Sand King,-0.2571,52.9093,9985
Abaddon,-0.262,47.5606,3751
Ember Spirit,-0.2909,55.7952,7230
Night Stalker,-0.2956,52.252,5728
Silencer,-0.308,48.4972,10780
Invoker,-0.3083,53.9462,31828
Lycan,-0.3318,54.3415,3121
Vengeful Spirit,-0.3454,49.2764,6703
Winter Wyvern,-0.3633,52.0622,4049
Jakiro,-0.3674,48.4957,7246
Visage,-0.3791,52.47,1923
Witch Doctor,-0.4397,51.4591,7470
Weaver,-0.4498,50.5374,11071
Dazzle,-0.4572,51.4051,5978
Juggernaut,-0.4573,53.6653,19916
Viper,-0.4611,50.5364,14168
Enchantress,-0.5057,57.44,3125
Huskar,-0.5496,53.5069,8369
Faceless Void,-0.5855,51.927,12947
Tinker,-0.6569,54.2493,9731
Slark,-0.667,53.6375,13979
Outworld Devourer,-0.6692,53.4679,6834
Sniper,-0.6976,50.1468,27230
Magnus,-0.7522,57.0569,7815
Death Prophet,-0.7553,54.9466,4215
Chen,-0.7563,59.2249,1187
Disruptor,-0.7719,51.5668,6797
Puck,-0.7759,58.6379,6593
Naga Siren,-0.7937,57.6144,1878
Brewmaster,-0.8412,50.5458,1832
Nyx Assassin,-0.8415,51.5377,8031
Lone Druid,-0.8882,61.8512,2312
Terrorblade,-0.8894,52.2238,4182
Techies,-0.8937,52.7469,3331
Lifestealer,-0.8963,54.6433,8453
Storm Spirit,-0.9492,53.3403,8532
Tidehunter,-0.9754,50.3742,5344
Arc Warden,-0.9876,55.899,2814
Tusk,-1.0133,58.6843,4226
Clockwerk,-1.0221,49.7297,5365
Kunkka,-1.0236,53.1328,12369
Nature's Prophet,-1.0591,58.0952,9660
Phoenix,-1.0823,51.4243,3370
Rubick,-1.2338,54.9967,10777
Beastmaster,-1.2775,56.5068,1752
Enigma,-1.2787,49.6618,6210
Shadow Demon,-1.2842,54.8579,2676
Lina,-1.3012,55.489,10366
Warlock,-1.3567,48.3719,4054
Bane,-1.4814,54.0198,3321
Elder Titan,-1.5653,49.2543,2280
Morphling,-1.6415,54.4969,6749
Dark Seer,-1.7431,53.2504,2815
Chaos Knight,-1.8243,45.1995,7166
Undying,-1.9485,48.5851,3746
Treant Protector,-1.9587,49.7902,3814
Broodmother,-2.5234,58.7356,2879
Phantom Lancer,-2.5951,48.3624,7725
Leshrac,-2.9508,53.2172,2067
Earth Spirit,-3.0249,57.0988,3895
Meepo,-3.0412,53.3208,4276
