Spectre,3.429,50.517,74553
Slark,2.5981,59.0776,111670
Chaos Knight,2.1335,51.2875,67262
Wraith King,1.9848,50.2423,93033
Lifestealer,1.7539,59.329,66052
Phantom Assassin,1.6754,52.2023,223743
Legion Commander,1.5245,57.2503,176329
Storm Spirit,1.4697,57.9166,62552
Spirit Breaker,1.3167,49.8674,132407
Centaur Warrunner,1.2072,50.6526,43589
Viper,1.1861,54.3489,117671
Bounty Hunter,1.1852,56.3724,70311
Abaddon,1.1475,51.2413,34439
Ember Spirit,1.0797,59.1984,55944
Brewmaster,1.058,55.0766,18723
Riki,0.9463,50.6246,113664
Treant Protector,0.9463,54.9694,32207
Nyx Assassin,0.9095,55.5677,62943
Kunkka,0.8929,57.2505,101868
Juggernaut,0.8813,57.0692,155935
Phantom Lancer,0.8594,53.9007,69563
Tidehunter,0.8034,54.6053,42516
Huskar,0.7989,57.1467,76769
Shadow Shaman,0.7297,51.4455,94632
Slardar,0.6467,54.2258,77522
Clockwerk,0.6076,53.8584,44370
Visage,0.5542,55.1949,15621
Bristleback,0.536,56.1082,97916
Arc Warden,0.5225,59.2151,23825
Pudge,0.4974,52.9157,246781
Warlock,0.4498,52.4824,32428
Batrider,0.4498,61.8989,21191
Night Stalker,0.39,55.1456,46593
Anti-Mage,0.3824,55.2369,147175
Ogre Magi,0.3522,52.7279,80902
Alchemist,0.2986,60.5122,56848
Tiny,0.236,58.2827,61586
Naga Siren,0.1989,60.6668,18234
Techies,0.1111,55.9935,30216
Lycan,0.107,56.9154,26253
Winter Wyvern,0.0382,54.7608,32967
Tusk,0.0272,61.7615,35752
Witch Doctor,0.0255,54.2784,55149
Skywrath Mage,0.0168,53.3433,59835
Dragon Knight,-0.0432,54.3327,51884
Zeus,-0.058,47.6063,85686
Broodmother,-0.0758,62.9312,24781
Silencer,-0.0822,51.1406,100818
Sven,-0.1265,51.2939,145327
Underlord,-0.1814,48.1009,27540
Disruptor,-0.2193,54.5788,53834
Templar Assassin,-0.2357,58.7223,50342
Meepo,-0.2833,58.6399,32483
Lion,-0.2909,56.4233,87042
Gyrocopter,-0.3051,57.3617,29429
Invoker,-0.3527,56.0212,228158
Puck,-0.3614,61.18,47285
Earthshaker,-0.3918,52.9926,168193
Mirana,-0.4012,52.9692,131816
Beastmaster,-0.4444,59.3235,15611
Phoenix,-0.572,54.4148,28608
Monkey King,-0.575,56.3908,115939
Ursa,-0.6104,50.3012,84137
Tinker,-0.6109,56.5995,75444
Dazzle,-0.6126,53.6393,49583
Bane,-0.64,57.5924,25578
Crystal Maiden,-0.6559,49.4934,98310
Vengeful Spirit,-0.6837,51.1961,54090
Sand King,-0.6867,54.6032,77109
Troll Warlord,-0.7412,51.2833,104297
Keeper of the Light,-0.754,55.0568,52048
Magnus,-0.76,58.9804,61361
Oracle,-0.7678,62.259,19610
Queen of Pain,-0.7719,59.3934,66733
Doom,-0.807,57.7229,39033
Pugna,-0.8478,55.3259,49644
Jakiro,-0.8715,50.2306,53555
Venomancer,-0.8994,51.3527,95506
Elder Titan,-0.9149,52.2434,19746
Earth Spirit,-0.9242,60.8582,28941
Axe,-0.9365,50.8924,138832
Clinkz,-1.0904,53.9127,70870
Sniper,-1.1266,52.1192,212248
Shadow Fiend,-1.1707,55.3163,126657
Terrorblade,-1.1764,53.9687,38526
Faceless Void,-1.2115,53.7014,107079
Shadow Demon,-1.311,57.2198,22438
Morphling,-1.3871,56.532,51201
Leshrac,-1.5054,56.9677,18679
Rubick,-1.5422,56.946,87971
Death Prophet,-1.5878,56.3352,34758
Chen,-1.6154,60.0965,9117
Windranger,-1.6273,53.3896,121576
Lich,-1.6349,48.6992,64042
Lone Druid,-1.7058,63.3336,18622
Timbersaw,-1.7163,56.2932,55488
Ancient Apparition,-1.7182,50.4874,48515
Bloodseeker,-1.7264,49.5165,185764
Nature's Prophet,-1.7432,59.2741,67812
Necrophos,-1.7766,46.531,190997
Io,-1.7988,65.8199,16691
Weaver,-1.8149,51.5792,91562
Razor,-1.8341,56.053,35709
Medusa,-1.8564,56.3064,44803
Luna,-1.8731,51.0636,81230
Enchantress,-1.8853,58.2369,28087
Lina,-1.9699,56.998,80094
Dark Seer,-2.0624,55.2032,22390
Undying,-2.3205,50.6273,32040
Drow Ranger,-2.6768,50.3364,89772
Outworld Devourer,-2.8651,53.5067,58045
Enigma,-3.6135,49.7437,51120
