Legion Commander,2.9239,45.8133,63750
Ember Spirit,2.3627,47.6309,23279
Batrider,2.2765,50.7592,11393
Skywrath Mage,2.1251,42.7646,23489
Techies,2.0604,45.2211,10557
Storm Spirit,1.9253,45.6163,24215
Abaddon,1.8931,39.4543,12683
Lich,1.5371,39.2947,26375
Dark Seer,1.508,45.9868,11836
Underlord,1.4836,37.3164,10963
Tidehunter,1.3973,42.5354,15855
Centaur Warrunner,1.3768,38.3197,16164
Earth Spirit,1.2698,50.1141,13583
Queen of Pain,1.2156,48.4698,25618
Necrophos,1.2019,36.8429,79220
Clockwerk,1.1846,41.7891,18098
Wraith King,1.1821,37.0073,32353
Warlock,1.1499,40.5861,12386
Spectre,1.1495,35.8649,26689
Slark,1.0853,44.9106,38993
Pudge,1.0197,40.7976,93079
Ogre Magi,1.0178,40.7745,30752
Zeus,0.9403,36.1523,32399
Winter Wyvern,0.9354,42.9594,13401
Phoenix,0.9338,43.2187,11694
Crystal Maiden,0.8693,38.4555,37178
Invoker,0.7832,44.336,83228
Venomancer,0.7706,40.3733,39479
Magnus,0.7092,47.5626,22545
Treant Protector,0.6974,42.0436,12468
Bounty Hunter,0.628,43.1419,27435
Keeper of the Light,0.6101,43.6788,21175
Rubick,0.606,46.221,30670
Silencer,0.5843,39.2227,33784
Mirana,0.5187,41.2242,50759
Windranger,0.5152,42.7518,47364
Disruptor,0.4419,42.5251,20957
Meepo,0.3872,46.5206,12876
Slardar,0.3491,41.3076,28433
Ancient Apparition,0.3271,39.9005,24927
Pugna,0.2788,43.7102,20732
Timbersaw,0.2751,45.4866,19265
Lion,0.2569,44.216,33221
Omniknight,0.2489,37.7409,19610
Shadow Shaman,0.2381,38.4478,36413
Ursa,0.2222,38.5805,30689
Spirit Breaker,0.1931,36.348,46704
Io,0.1678,54.6554,7271
Morphling,0.1522,45.2725,20434
Earthshaker,0.1448,40.8829,62992
Arc Warden,0.139,45.9875,10081
Faceless Void,0.1317,42.3147,39563
Night Stalker,0.1042,42.1652,17282
Riki,0.0103,37.2435,39964
Juggernaut,0.0,43.5717,51935
Troll Warlord,-0.0028,39.4288,37995
Lifestealer,-0.0208,44.8168,23393
Puck,-0.0231,48.615,18990
Tiny,-0.0397,45.2255,22505
Jakiro,-0.0439,38.514,21979
Sven,-0.0542,38.8096,48001
Monkey King,-0.1208,44.0915,44961
Huskar,-0.1305,43.5157,28500
Elder Titan,-0.1819,40.3619,7792
Witch Doctor,-0.1892,41.4131,21201
Axe,-0.2644,38.9663,46340
Enigma,-0.2872,40.4475,17608
Lina,-0.2943,45.8223,31417
Dragon Knight,-0.307,41.4347,17857
Shadow Fiend,-0.3127,43.4361,46086
Visage,-0.3496,41.5846,7320
Dazzle,-0.3579,41.2111,20014
Sand King,-0.3706,42.2305,29159
Tinker,-0.3876,44.0856,27839
Gyrocopter,-0.5485,44.3235,11213
Doom,-0.5655,45.1119,15231
Nyx Assassin,-0.6306,41.386,26045
Phantom Assassin,-0.6347,37.6211,75726
Medusa,-0.6514,44.7293,15558
Sniper,-0.7368,39.8923,74711
Undying,-0.8352,39.5265,11787
Viper,-0.9116,39.7626,41036
Enchantress,-0.9211,46.3501,10973
Shadow Demon,-1.0174,44.6876,9092
Luna,-1.0529,39.2882,29057
Death Prophet,-1.0589,44.0985,12463
Anti-Mage,-1.0992,41.2391,54167
Bloodseeker,-1.1555,37.4984,63496
Lycan,-1.4549,42.5943,10384
Chaos Knight,-1.4657,35.2953,23105
Tusk,-1.4853,47.3203,13696
Weaver,-1.4976,39.2982,32177
Bristleback,-1.5233,41.4733,31859
Clinkz,-1.6086,40.7651,27185
Brewmaster,-1.6281,39.6949,7278
Templar Assassin,-1.6464,44.523,18797
Vengeful Spirit,-1.6522,37.6944,21019
Bane,-1.7513,43.6515,10790
Alchemist,-1.7586,45.6394,20261
Outworld Devourer,-1.8425,41.8227,20716
Drow Ranger,-1.8674,38.5583,31713
Kunkka,-1.9536,41.7877,40342
Lone Druid,-1.9747,50.0441,7919
Naga Siren,-2.0563,45.4868,6747
Leshrac,-2.0752,43.582,7962
Terrorblade,-2.2095,40.2749,14550
Phantom Lancer,-2.5219,38.0147,23483
Broodmother,-2.9861,47.0491,10336
Razor,-3.1736,41.9642,12992
Nature's Prophet,-3.823,44.3971,28423
Beastmaster,-4.6694,42.196,7131
Chen,-4.8776,43.9159,4520
