Anti-Mage,3.7794,52.0164,15299
Timbersaw,3.4245,55.1974,5647
Oracle,3.2723,59.6537,1502
Ember Spirit,3.1893,55.0709,5571
Omniknight,3.0232,46.4405,4186
Storm Spirit,2.6116,52.7329,6129
Clockwerk,2.5699,49.3218,3613
Slark,2.5692,52.619,9698
Chen,2.5401,58.2312,735
Morphling,2.4979,54.4558,5072
Troll Warlord,2.3209,47.6117,9128
Wraith King,2.1739,44.157,8891
Abaddon,2.0238,45.9044,2869
Axe,1.9788,47.252,12391
Dragon Knight,1.9492,49.9104,5023
Leshrac,1.8372,53.9713,1536
Terrorblade,1.7719,50.8245,3335
Dazzle,1.7445,49.5365,3884
Bristleback,1.734,50.9411,10147
Winter Wyvern,1.648,50.0,2734
Treant Protector,1.4684,49.2252,2517
Kunkka,1.4679,51.4128,9060
Ursa,1.4425,45.7258,7136
Io,1.323,62.6666,1425
Ancient Apparition,1.2778,47.0108,3680
Chaos Knight,1.1707,44.2323,5973
Centaur Warrunner,1.1537,44.0607,3822
Meepo,1.0334,53.2786,2928
Invoker,0.9962,50.9275,23396
Earth Spirit,0.9735,56.809,2482
Brewmaster,0.8977,48.2686,1444
Gyrocopter,0.8815,52.4103,2427
Batrider,0.8753,56.0309,1940
Clinkz,0.8507,49.5605,5916
Underlord,0.8361,42.5586,2345
Alchemist,0.7653,54.3616,5491
Lion,0.7012,51.0074,7891
Vengeful Spirit,0.6998,46.3148,4586
Slardar,0.6867,48.0292,6698
Faceless Void,0.6646,49.0474,9711
Dark Seer,0.618,51.4944,1907
Naga Siren,0.6125,54.8387,1426
Legion Commander,0.6047,50.0778,16047
Tidehunter,0.5908,47.8971,3733
Ogre Magi,0.564,46.532,6834
Undying,0.5111,47.0802,2466
Bounty Hunter,0.4529,49.5883,5951
Shadow Shaman,0.3973,44.956,7732
Rubick,0.3667,52.3625,7005
Shadow Demon,0.3333,52.3043,1866
Bane,0.2847,51.608,1990
Monkey King,0.2531,50.8764,9584
Lone Druid,0.2396,58.6448,1712
Nature's Prophet,0.2357,55.0677,6127
Medusa,0.2325,51.7849,4482
Tiny,0.1676,51.719,5381
Doom,0.1475,52.4162,2835
Weaver,0.0825,47.0131,7851
Phoenix,0.054,48.489,2184
Sand King,0.0324,49.0712,6837
Phantom Lancer,0.0138,46.9408,5786
Juggernaut,-0.002,49.9665,13441
Tusk,-0.0401,55.3666,3000
Huskar,-0.057,49.8786,6594
Sven,-0.0711,45.2834,12806
Keeper of the Light,-0.0788,49.3782,4664
Beastmaster,-0.0889,53.5007,1314
Riki,-0.0967,43.2577,10234
Queen of Pain,-0.2009,53.6683,5970
Pudge,-0.2376,46.0222,22161
Bloodseeker,-0.2533,44.6359,15781
Magnus,-0.2658,53.2774,5492
Crystal Maiden,-0.4183,43.0859,8179
Mirana,-0.4375,46.5417,11798
Spirit Breaker,-0.4416,41.7089,11235
Viper,-0.4952,46.4612,10159
Zeus,-0.4977,41.051,7174
Night Stalker,-0.5063,47.9351,4068
Jakiro,-0.5611,44.3319,4446
Lycan,-0.5841,49.9361,2349
Skywrath Mage,-0.5863,46.4504,4564
Drow Ranger,-0.6305,45.97,7618
Spectre,-0.6863,40.2163,6562
Witch Doctor,-0.7131,47.0966,4512
Techies,-0.7138,48.8168,2282
Earthshaker,-0.9161,46.1817,15413
Templar Assassin,-0.9714,51.5939,4078
Shadow Fiend,-0.9726,49.0904,11709
Death Prophet,-1.1075,50.4121,3033
Lich,-1.1739,42.9066,4906
Enigma,-1.2334,45.6738,4103
Phantom Assassin,-1.2524,43.1505,18549
Windranger,-1.317,47.223,9921
Elder Titan,-1.3545,45.4323,1642
Venomancer,-1.4694,44.4947,7729
Lifestealer,-1.4956,49.8705,6178
Lina,-1.5589,51.0269,7206
Razor,-1.572,49.8695,3066
Luna,-1.782,44.8694,7007
Warlock,-1.8922,43.8271,2754
Disruptor,-1.9996,46.2298,4350
Puck,-2.0985,53.0112,4699
Visage,-2.4845,46.1916,1221
Sniper,-2.6031,44.4692,21507
Necrophos,-2.6038,39.475,15848
Arc Warden,-2.6567,49.9455,1838
Nyx Assassin,-2.6711,45.6133,7899
Broodmother,-2.7537,54.1992,2048
Tinker,-2.8436,47.9373,6642
Enchantress,-2.9372,50.7119,2177
Silencer,-2.9448,41.9167,7930
Pugna,-6.1492,43.6616,5025
