Drow Ranger,2.7197,56.0182,509132
Anti-Mage,2.427,58.129,933803
Riki,2.4042,51.3027,622086
Sniper,1.235,54.4733,1482676
Zeus,1.0673,47.0576,488705
Clinkz,0.9993,56.8233,393495
Keeper of the Light,0.8417,57.4319,223212
Silencer,0.8356,51.565,354238
Spectre,0.6791,46.0479,366911
Shadow Shaman,0.6625,50.7354,470190
Jakiro,0.6433,51.2274,246817
Spirit Breaker,0.5761,47.8188,698042
Lifestealer,0.5687,59.6298,325773
Abaddon,0.524,49.8249,145925
Wraith King,0.4961,47.1565,573941
Ancient Apparition,0.469,52.4391,176555
Enchantress,0.4543,62.8249,133501
Lycan,0.4414,58.3306,116174
Ursa,0.4102,50.6417,415588
Disruptor,0.3014,55.4528,198466
Viper,0.199,53.5225,667898
Invoker,0.1144,57.5115,1358874
Witch Doctor,0.0979,54.6979,262968
Faceless Void,0.086,55.4714,496592
Vengeful Spirit,0.049,51.55,242772
Huskar,-0.0374,57.5521,423482
Crystal Maiden,-0.0503,49.1387,473482
Bloodseeker,-0.0769,50.3567,984524
Monkey King,-0.0979,58.0435,613706
Sven,-0.1321,50.7131,841093
Rubick,-0.1377,59.4735,331497
Warlock,-0.1743,51.4932,134909
Outworld Devourer,-0.2073,56.9573,250907
Underlord,-0.2383,46.7336,114990
Slardar,-0.2466,53.4139,360275
Arc Warden,-0.2811,59.7632,101611
Windranger,-0.3575,55.1798,669485
Undying,-0.3881,52.4416,127639
Bounty Hunter,-0.4138,55.3465,357710
Nyx Assassin,-0.4333,54.4955,266706
Centaur Warrunner,-0.4337,47.8651,195988
Chaos Knight,-0.4481,47.282,384567
Winter Wyvern,-0.493,54.6303,153261
Phantom Lancer,-0.5178,52.4899,393702
Venomancer,-0.5265,51.3359,390504
Brewmaster,-0.5737,53.5319,77380
Elder Titan,-0.6153,52.4346,81881
Skywrath Mage,-0.6208,52.6676,278932
Weaver,-0.626,52.7182,465034
Clockwerk,-0.6299,52.5001,183388
Legion Commander,-0.6888,56.0936,983224
Treant Protector,-0.7072,53.4065,138644
Luna,-0.756,51.9906,441612
Enigma,-0.8013,52.4952,230983
Necrophos,-0.8895,45.6283,934888
Mirana,-0.9167,52.398,657756
Troll Warlord,-0.9564,50.5513,615448
Lich,-0.9828,48.3543,292491
Medusa,-1.0103,58.3553,196904
Kunkka,-1.0708,56.0563,431191
Doom,-1.0895,58.5512,145693
Omniknight,-1.0938,47.7976,223743
Night Stalker,-1.1278,53.8266,184561
Earthshaker,-1.1345,52.1684,791877
Storm Spirit,-1.1598,56.0791,307148
Ogre Magi,-1.3436,50.6227,386498
Lina,-1.3597,59.3093,420984
Visage,-1.3689,53.3946,67488
Lion,-1.3757,56.3545,454341
Shadow Demon,-1.4243,58.2159,88493
Nature's Prophet,-1.454,61.6825,333702
Pudge,-1.4849,50.8403,1386531
Gyrocopter,-1.5176,57.1807,128886
Leshrac,-1.557,58.0571,76683
Dazzle,-1.6662,52.6076,197802
Death Prophet,-1.6976,57.5818,176396
Beastmaster,-1.7488,59.3388,61437
Pugna,-1.7973,55.0035,236390
Terrorblade,-1.7997,53.6153,169278
Dragon Knight,-1.8725,52.6926,293318
Ember Spirit,-1.921,57.3444,268727
Alchemist,-1.9957,60.2339,288321
Juggernaut,-2.0919,55.2142,922182
Lone Druid,-2.1548,65.8132,83585
Tidehunter,-2.1701,51.4653,189852
Axe,-2.218,48.8748,905048
Chen,-2.2387,61.5028,41442
Techies,-2.2937,54.2432,169232
Phoenix,-2.3245,52.7422,115871
Magnus,-2.4007,58.7305,261159
Slark,-2.4335,55.2159,656336
Bristleback,-2.5425,53.7397,603470
Shadow Fiend,-2.5458,54.7529,710026
Batrider,-2.6176,60.5113,88585
Dark Seer,-2.622,55.3437,93754
Sand King,-2.6392,52.9088,360059
Tiny,-2.6504,56.6226,313295
Oracle,-2.6659,62.3788,75726
Earth Spirit,-2.6681,60.9051,126912
Broodmother,-2.7927,62.3884,108589
Templar Assassin,-2.8385,57.4514,243054
Bane,-2.8697,56.3633,110233
Queen of Pain,-3.0547,58.8045,327917
Tusk,-3.2448,60.4119,160556
Puck,-3.4391,60.0844,236479
Naga Siren,-3.4933,58.3004,75092
Morphling,-3.6066,55.2021,247021
Meepo,-3.8599,56.4068,187878
Timbersaw,-4.0504,54.953,282343
Tinker,-4.0506,54.0485,429081
Razor,-4.4271,54.3272,178831
Io,-4.8464,65.9396,72263
