Wraith King,7.5882,52.3431,16516
Arc Warden,4.2819,60.271,2361
Silencer,4.2355,52.0795,7646
Huskar,4.1665,57.2439,9753
Ursa,3.961,51.2591,9967
Vengeful Spirit,3.7468,52.4714,5523
Templar Assassin,3.5486,59.3788,5667
Chaos Knight,3.5238,49.5815,8723
Viper,3.4859,53.389,13765
Shadow Demon,3.2729,58.4645,2032
Lifestealer,3.2068,57.7307,7412
Winter Wyvern,3.1559,54.6566,2942
Shadow Shaman,2.7919,50.358,9357
Clinkz,2.7804,54.6076,8182
Brewmaster,2.7775,53.3296,1832
Chen,2.7464,61.7647,1020
Abaddon,2.7058,49.6583,3512
Lich,2.6559,49.7685,6480
Ogre Magi,2.6097,51.6375,7725
Ancient Apparition,2.56,51.3919,4131
Bounty Hunter,2.4847,54.7409,8184
Drow Ranger,2.3596,51.9808,11056
Clockwerk,2.1376,51.9816,4138
Morphling,2.0021,57.1351,5557
Visage,1.9336,53.8512,1519
Slardar,1.9328,52.3637,7742
Skywrath Mage,1.9134,52.0518,5556
Night Stalker,1.842,53.431,4911
Dazzle,1.8004,52.7006,4036
Luna,1.6586,51.3354,10184
Terrorblade,1.5895,53.7866,4265
Bane,1.4877,56.0137,2619
Enchantress,1.4688,58.4795,3078
Death Prophet,1.3024,56.0817,4308
Broodmother,1.2723,61.6228,2736
Faceless Void,1.198,52.682,10850
Slark,1.127,54.3748,11989
Monkey King,1.1203,54.8658,12228
Weaver,1.1109,51.106,10081
Lycan,1.0833,54.8111,3045
Treant Protector,1.0517,51.9069,3094
Pugna,0.9943,53.9926,4884
Nyx Assassin,0.9311,52.3218,6202
Venomancer,0.9093,49.8908,8701
Witch Doctor,0.8707,51.7847,5351
Windranger,0.8407,52.3992,12754
Undying,0.7938,50.4479,3237
Zeus,0.702,45.2043,9300
Pudge,0.6632,49.8533,24556
Lion,0.642,54.0841,9084
Razor,0.6392,55.3207,4022
Rubick,0.4063,55.5363,6945
Dragon Knight,0.3416,51.415,6325
Techies,0.2904,52.9825,3269
Spirit Breaker,0.276,45.3785,15071
Troll Warlord,0.2434,48.6486,11951
Beastmaster,0.207,57.0191,1617
Nature's Prophet,0.1651,58.2063,7482
Mirana,0.1616,50.1871,12290
Juggernaut,0.135,53.221,17696
Elder Titan,0.1101,50.0251,1989
Invoker,0.0997,53.3319,24430
Phantom Assassin,0.0298,47.38,28512
Doom,0.0207,55.4696,3492
Outworld Devourer,-0.0709,53.0591,5786
Disruptor,-0.1051,51.2328,4583
Medusa,-0.1953,54.6629,7270
Gyrocopter,-0.2057,54.5377,3537
Bloodseeker,-0.2179,47.7065,20886
Batrider,-0.2306,58.0892,2219
Oracle,-0.4694,59.0029,1705
Io,-0.4936,64.07,1656
Sniper,-0.4989,49.3811,27227
Storm Spirit,-0.6088,52.672,7410
Lone Druid,-0.6415,60.9995,2041
Keeper of the Light,-0.6638,51.9015,5443
Necrophos,-0.7143,44.1356,17274
Warlock,-0.7693,48.0326,3304
Omniknight,-0.7789,45.6264,5076
Underlord,-0.9465,43.7454,2734
Riki,-1.0138,45.3782,13696
Tidehunter,-1.0202,49.353,4251
Tinker,-1.0293,52.8551,8073
Lina,-1.1157,54.6364,8994
Centaur Warrunner,-1.1208,44.7892,4318
Phoenix,-1.1801,50.3255,2611
Kunkka,-1.2184,51.9236,9955
Tusk,-1.2664,57.3501,3721
Bristleback,-1.3462,51.0926,12630
Queen of Pain,-1.3528,55.7211,7516
Dark Seer,-1.363,52.5898,2143
Enigma,-1.3637,48.6105,4822
Earth Spirit,-1.4567,57.476,2615
Jakiro,-1.7039,46.2176,5301
Shadow Fiend,-1.7158,51.4979,13719
Ember Spirit,-1.9738,53.113,7565
Legion Commander,-2.0463,50.7508,19645
Spectre,-2.2178,41.6644,7570
Alchemist,-2.2516,54.5386,6654
Anti-Mage,-2.5125,49.2782,18150
Puck,-2.5953,55.6772,5205
Meepo,-2.6777,52.6646,3659
Crystal Maiden,-3.119,43.4368,9980
Naga Siren,-3.2081,54.1883,2113
Earthshaker,-3.3789,47.2202,34464
Magnus,-3.5062,53.1836,5968
Tiny,-3.703,51.0028,6980
Leshrac,-3.8322,51.3104,1984
Sand King,-4.6999,47.4873,9114
Sven,-4.9348,43.8977,24917
Axe,-5.1832,43.5164,17398
Timbersaw,-5.3026,49.5857,6276
