Winter Wyvern,3.3057,53.1914,1316
Sand King,3.2688,53.7345,3307
Axe,3.1649,50.0103,4847
Templar Assassin,2.5985,56.5427,2071
Dazzle,2.5715,51.9131,1751
Chaos Knight,2.5504,47.3322,2474
Centaur Warrunner,2.4128,47.0747,1846
Treant Protector,2.3993,51.716,1282
Spectre,2.1185,44.8105,3035
Dark Seer,2.0366,54.3876,1037
Tiny,1.9759,54.9295,2485
Slark,1.7598,53.3236,4122
Earthshaker,1.6448,50.1232,7300
Tinker,1.5234,53.6939,3032
Clockwerk,1.5146,49.8505,2008
Invoker,1.4772,52.9009,9204
Enigma,1.2667,49.7844,1856
Mirana,1.2665,49.7609,5229
Magnus,1.2501,56.1258,2669
Sven,1.2079,48.1329,4874
Phantom Lancer,1.1623,49.6744,2611
Legion Commander,1.1191,52.0882,6393
Luna,1.1096,49.3224,3173
Phantom Assassin,1.097,46.9149,7893
Elder Titan,1.0807,49.5391,868
Crystal Maiden,1.0756,46.2704,4089
Pudge,1.067,48.7833,10192
Ogre Magi,0.9759,48.5756,3370
Faceless Void,0.9182,50.8389,4589
Pugna,0.8813,52.2345,2081
Lich,0.7214,46.5022,2716
Warlock,0.6997,48.124,1386
Skywrath Mage,0.6279,49.2685,2324
Ancient Apparition,0.6011,47.9788,2078
Riki,0.5626,45.6171,4472
Terrorblade,0.5506,51.121,1561
Io,0.4917,62.9343,777
Windranger,0.4091,50.4273,4914
Tusk,0.3548,57.064,1451
Jakiro,0.3242,46.9124,2170
Monkey King,0.2558,52.3468,4751
Naga Siren,0.1711,55.751,739
Lion,0.1694,51.9784,3715
Batrider,0.1007,56.5495,939
Bristleback,0.086,50.8989,3782
Viper,0.0838,48.6346,4431
Razor,0.0243,52.9367,1328
Venomancer,0.0163,47.6135,4358
Omniknight,0.0157,45.1776,1970
Necrophos,0.0144,43.6845,7165
Slardar,0.0107,48.9678,2955
Outworld Devourer,0.0033,51.5109,2184
Bounty Hunter,-0.0024,50.674,2893
Lycan,-0.0061,52.014,1142
Shadow Demon,-0.0313,53.3684,950
Timbersaw,-0.1753,53.0303,2310
Bane,-0.2098,52.5833,1200
Medusa,-0.231,52.7541,1761
Ember Spirit,-0.2422,53.08,2500
Wraith King,-0.2537,43.5979,3741
Chen,-0.3023,56.6893,441
Undying,-0.3093,47.8804,1439
Techies,-0.3262,50.7403,1013
Ursa,-0.3719,45.6742,3352
Rubick,-0.4113,53.0253,3702
Dragon Knight,-0.4953,49.0604,1969
Visage,-0.5058,49.7866,703
Tidehunter,-0.5658,48.3516,1911
Death Prophet,-0.586,52.4017,1374
Underlord,-0.6039,42.9249,1265
Spirit Breaker,-0.6753,43.2939,5167
Kunkka,-0.6754,50.8478,4246
Beastmaster,-0.7006,54.274,737
Vengeful Spirit,-0.7134,46.5893,2243
Earth Spirit,-0.7434,56.3837,1355
Disruptor,-0.809,49.0187,2344
Meepo,-0.8365,52.8315,1342
Lone Druid,-0.8659,58.7264,848
Lifestealer,-0.8851,51.9485,2489
Shadow Fiend,-0.9701,50.6192,5006
Witch Doctor,-1.0465,48.372,2365
Leshrac,-1.0507,52.4691,810
Storm Spirit,-1.0579,50.6177,2752
Gyrocopter,-1.1099,51.8486,1163
Zeus,-1.1178,42.2766,3347
Queen of Pain,-1.1203,54.1419,2861
Broodmother,-1.142,57.1428,1106
Keeper of the Light,-1.1518,49.8544,2405
Sniper,-1.2192,47.2641,7822
Puck,-1.2561,55.1871,2111
Morphling,-1.2888,52.112,2320
Doom,-1.3143,52.3809,1449
Nature's Prophet,-1.323,54.8772,3178
Silencer,-1.4205,45.1656,3713
Brewmaster,-1.4815,47.4642,769
Weaver,-1.547,47.0686,3599
Alchemist,-1.6229,53.3742,2282
Shadow Shaman,-1.6304,44.7182,3815
Drow Ranger,-1.7056,46.5719,3238
Juggernaut,-1.7638,49.8562,5915
Nyx Assassin,-1.7903,48.1182,2976
Bloodseeker,-2.04,44.6987,6904
Lina,-2.1586,51.8881,3363
Enchantress,-2.1888,52.8998,1138
Abaddon,-2.3825,43.2209,1453
Oracle,-2.6967,54.8972,827
Night Stalker,-2.921,47.1321,2005
Troll Warlord,-2.9298,44.2931,4775
Huskar,-3.1156,48.4236,2823
Arc Warden,-3.5457,50.5324,1033
Anti-Mage,-4.1525,46.2663,5812
Clinkz,-4.9663,45.4481,2823
