Naga Siren,3.4311,52.6199,1355
Slark,2.7608,47.73,8877
Queen of Pain,2.7267,51.4052,8077
Phantom Lancer,2.4829,44.3334,5206
Elder Titan,2.1843,43.9864,1480
Ancient Apparition,2.1467,42.7986,3666
Shadow Demon,2.1319,49.0379,1819
Outworld Devourer,2.0828,46.9887,4699
Morphling,1.8789,48.7292,4328
Skywrath Mage,1.841,43.7924,4567
Chen,1.8177,52.4128,746
Keeper of the Light,1.7592,46.1146,4903
Invoker,1.751,46.4369,23744
Beastmaster,1.5694,50.0827,1208
Mirana,1.5546,43.3395,11816
Visage,1.5461,45.238,1218
Sand King,1.5225,45.4437,6727
Winter Wyvern,1.5031,44.7761,2412
Leshrac,1.4998,48.5211,1420
Kunkka,1.4836,46.3219,8741
Crystal Maiden,1.4634,39.8573,7991
Phoenix,1.4381,44.8128,2111
Omniknight,1.3102,39.6924,3512
Witch Doctor,1.2351,43.9788,4152
Pugna,1.2299,46.0025,3865
Io,1.2124,57.4314,1386
Lycan,1.1831,46.6449,2146
Slardar,1.1572,43.412,6436
Spirit Breaker,1.1226,38.1448,11223
Juggernaut,1.1158,45.9281,13053
Terrorblade,1.1113,45.0708,3033
Bounty Hunter,1.0878,45.1436,5673
Lich,0.971,39.9792,4830
Batrider,0.9644,51.0048,1841
Bane,0.9238,47.1726,2016
Dark Seer,0.9142,46.7002,1788
Necrophos,0.8012,37.5626,15156
Vengeful Spirit,0.7423,41.2865,4275
Tinker,0.7171,46.327,7460
Nature's Prophet,0.6756,50.3985,6272
Timbersaw,0.6621,47.3378,4301
Night Stalker,0.6435,44.0062,3854
Clinkz,0.6113,44.266,5293
Treant Protector,0.578,43.2409,2382
Phantom Assassin,0.5322,39.7184,18183
Bloodseeker,0.518,40.2955,14416
Dazzle,0.5093,43.2256,3373
Drow Ranger,0.5034,42.0103,7372
Earthshaker,0.4867,42.3875,16368
Ogre Magi,0.4647,41.362,6593
Faceless Void,0.4598,43.7598,9479
Lina,0.2608,47.7131,7084
Magnus,0.2293,48.6538,5683
Tusk,0.179,50.4794,2920
Rubick,0.1152,47.0023,7506
Chaos Knight,0.0991,38.1723,4629
Weaver,0.0474,41.9184,7183
Troll Warlord,0.0121,40.3294,8195
Centaur Warrunner,0.0103,37.8872,3228
Silencer,0.0075,39.7048,8266
Oracle,-0.0511,51.1502,1478
Pudge,-0.0623,41.125,21527
Ursa,-0.0632,39.2292,5631
Windranger,-0.0655,43.348,9982
Gyrocopter,-0.0705,46.3356,2115
Clockwerk,-0.079,41.5639,3568
Tiny,-0.0919,46.3686,4943
Zeus,-0.1147,36.3864,6769
Enigma,-0.179,41.6603,3927
Storm Spirit,-0.1826,44.8641,6221
Shadow Shaman,-0.2192,39.2914,7536
Bristleback,-0.2595,43.9738,7791
Lifestealer,-0.4037,45.8703,5291
Luna,-0.4057,41.162,6523
Arc Warden,-0.4283,47.1311,1952
Jakiro,-0.4467,39.3695,4346
Enchantress,-0.4513,48.1481,1998
Warlock,-0.4581,40.2261,2476
Abaddon,-0.4675,38.3626,2333
Brewmaster,-0.4961,41.7813,1235
Tidehunter,-0.5126,41.7076,3455
Techies,-0.5412,43.9167,2211
Nyx Assassin,-0.5489,42.6383,5943
Viper,-0.5564,41.3546,8681
Undying,-0.6103,40.8791,2275
Axe,-0.6406,39.731,10113
Shadow Fiend,-0.6605,44.3006,11361
Spectre,-0.7021,35.1704,5897
Medusa,-0.7361,45.7064,3284
Anti-Mage,-0.7757,42.7425,13710
Razor,-0.8108,45.5524,2507
Lion,-0.9514,44.2986,8305
Wraith King,-1.0016,36.0542,7228
Death Prophet,-1.0275,45.4121,2572
Venomancer,-1.0399,39.8364,7950
Underlord,-1.0424,35.6118,2092
Lone Druid,-1.1017,52.1317,1548
Monkey King,-1.1689,44.4253,9301
Ember Spirit,-1.2048,45.587,4940
Meepo,-1.2817,45.8484,3023
Alchemist,-1.4296,47.0718,4508
Doom,-1.4843,45.6586,2672
Sniper,-1.5666,40.308,18242
Earth Spirit,-1.624,49.0825,2834
Legion Commander,-1.7041,42.8934,13762
Broodmother,-1.7446,50.1114,1794
Riki,-1.7461,36.6362,9638
Disruptor,-1.7473,41.3682,4692
Sven,-1.7565,38.6459,11344
Dragon Knight,-1.7967,41.1145,3894
Huskar,-1.8128,43.0798,5773
Templar Assassin,-2.5544,44.9195,4163
